;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
13; Mazda MPV II (LW)  ; 2001 ; 280 000 ; 218 000 ;" Москва
"; 24 апреля; 4,3; 2.0 л; 122 л.с.; автомат; бензин; АИ-95; передний; 14.5 с; Япония; 5; 5, 7; 4750; 1830; 1745; 2840; 866/1600; 1600; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые;; 180; 14.5; АИ-95; переднее, поперечное; 1991; нет; 122 / 90 при 5800; 175 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 9.7; 83 × 92
14; Mazda 3 II (BL)  ; 2011 ; 520 000 ; 101 283 ;" Санкт-Петербург
"; 24 апреля; 4,2; 1.6 л; 105 л.с.; автомат; бензин; АИ-95; передний; 13.1 с; Япония; 4; 5; 4580; 1755; 1470; 2640; 430; 1195; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 177; 13.1; АИ-95; переднее, поперечное; 1598; нет; 105 / 77 при 6000; 145 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 78 × 83.6
15; Mazda 6 III  ; 2013 ; 930 000 ; 84 684 ;" Москва
"; 23 марта; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16; Mazda Demio I (DW)  ; 1999 ; 140 000 ; 170 000 ;" Москва
"; 24 апреля; 3,8; 1.3 л; 72 л.с.; автомат; бензин; АИ-95; передний;; Япония; 5; 5; 3808; 1670; 1540; 2390; 330/560;; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные;;; АИ-95;; 1324; нет; 72 / 53 при 5500; 105 при 3500; рядное; 4; 4; распределенный впрыск (многоточечный); 9.4; 71 × 83.6
17; Mazda 6 III  ; 2014 ; 919 000 ; 60 000 ;" Санкт-Петербург
"; 23 марта; 4,5; 2.0 л; 150 л.с.; автомат; бензин; АИ-95; передний; 10.5 с; Япония; 4; 5; 4870; 1840; 1450; 2830; 483; 1330; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 207; 10.5; АИ-95; переднее, поперечное; 1998; нет; 150 / 110 при 6000; 210 при 4000; рядное; 4; 4; непосредственный впрыск (прямой); 14; 83.5 × 91.2
18; Mazda 6 II (GH)  ; 2008 ; 490 000 ; 127 000 ;" Рязань
"; 24 апреля; 4,4; 2.0 л; 147 л.с.; автомат; бензин; АИ-95; передний; 10.8 с; Япония; 4; 5; 4755; 1795; 1440; 2725; 501; 1395; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 204; 10.8; АИ-95; переднее, поперечное; 1999; нет; 147 / 108 при 6500; 184 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 87.5 × 83.1
19; Mazda 6 I (GG)  ; 2004 ; 320 000 ; 205 000 ;" Москва
"; 24 апреля; 4,4; 1.8 л; 120 л.с.; механика; бензин; АИ-95; передний; 11 с; Япония; 5; 5; 4670; 1780; 1435; 2675; 492/1660; 1270; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 194; 11; АИ-95; переднее, поперечное; 1798; нет; 120 / 88 при 5500; 165 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 83 × 83.1
20; Mazda 3 II (BL)  ; 2011 ; 545 400 ; 75 000 ;" Санкт-Петербург
"; 23 апреля; 4,2; 1.6 л; 105 л.с.; автомат; бензин; АИ-95; передний; 13.1 с; Япония; 4; 5; 4580; 1755; 1470; 2640; 430; 1195; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 177; 13.1; АИ-95; переднее, поперечное; 1598; нет; 105 / 77 при 6000; 145 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 78 × 83.6
21; Mazda 6 III  ; 2015 ; 1 159 900 ; 78 078 ;" Псков
"; 23 апреля; 4,5; 2.0 л; 150 л.с.; автомат; бензин; АИ-95; передний; 10.5 с; Япония; 4; 5; 4870; 1840; 1450; 2830; 483; 1330; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 207; 10.5; АИ-95; переднее, поперечное; 1998; нет; 150 / 110 при 6000; 210 при 4000; рядное; 4; 4; непосредственный впрыск (прямой); 14; 83.5 × 91.2
22; Mazda 6 I (GG)  ; 2003 ; 230 000 ; 145 000 ;" Рязань
"; 24 апреля; 4,4; 2.3 л; 166 л.с.; автомат; бензин; АИ-95; передний; 10 с; Япония; 4; 5; 4670; 1780; 1435; 2675; 500;; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 210; 10; АИ-95; переднее, поперечное; 2261; нет; 166 / 122 при 6500; 207 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.6; 87.5 × 94
