;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
65; Rolls-Royce Ghost I Рестайлинг (Series II)  ; 2017 ; 24 900 000 ; Нов;" Москва
"; 7 сентября 2017;  ; 6.6 л; 570 л.с.; автомат; бензин; АИ-95; задний; 4.9 с; Великобритания; 4; 5; 5399; 1948; 1550; 3295; 490; 2360; автомат; 8; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 250; 4.9; АИ-95; переднее, продольное; 6592; турбонаддув; 570 / 420 при 5250; 820 при 1500; V-образное; 12; 4; непосредственный впрыск (прямой); 10; 89 × 88.3
66; Rolls-Royce Wraith  ; 2017 ; 26 950 000 ; Нов;" Люберцы
"; 6 сентября 2017;  ; 6.6 л; 632 л.с.; автомат; бензин; АИ-95; задний; 4.6 с; Великобритания; 2; 4; 5269; 1947; 1507; 3112; 470; 2360; автомат; 8; задний; независимая, пневмоэлемент;; дисковые вентилируемые; дисковые вентилируемые; 250; 4.6; АИ-95; переднее, продольное; 6592; турбонаддув; 632 / 465 при 5600; 800 при 1500 – 5500; V-образное; 12; 4; непосредственный впрыск (прямой); 10; 89 × 88.3
67; Rolls-Royce Wraith  ; 2018 ; 27 750 000 ; Нов;" Москва
"; 6 сентября 2017;  ; 6.6 л; 632 л.с.; автомат; бензин; АИ-95; задний; 4.6 с; Великобритания; 2; 4; 5269; 1947; 1507; 3112; 470; 2360; автомат; 8; задний; независимая, пневмоэлемент;; дисковые вентилируемые; дисковые вентилируемые; 250; 4.6; АИ-95; переднее, продольное; 6592; турбонаддув; 632 / 465 при 5600; 800 при 1500 – 5500; V-образное; 12; 4; непосредственный впрыск (прямой); 10; 89 × 88.3
68; Rolls-Royce Wraith  ; 2017 ; 26 500 000 ; Нов;" Нижний Новгород
"; 22 августа 2017;  ; 6.6 л; 632 л.с.; автомат; бензин; АИ-95; задний; 4.6 с; Великобритания; 2; 4; 5269; 1947; 1507; 3112; 470; 2360; автомат; 8; задний; независимая, пневмоэлемент;; дисковые вентилируемые; дисковые вентилируемые; 250; 4.6; АИ-95; переднее, продольное; 6592; турбонаддув; 632 / 465 при 5600; 800 при 1500 – 5500; V-образное; 12; 4; непосредственный впрыск (прямой); 10; 89 × 88.3
69; Rolls-Royce Wraith  ; 2017 ; 24 450 000 ; Нов;" Нижний Новгород
"; 22 августа 2017;  ; 6.6 л; 632 л.с.; автомат; бензин; АИ-95; задний; 4.6 с; Великобритания; 2; 4; 5269; 1947; 1507; 3112; 470; 2360; автомат; 8; задний; независимая, пневмоэлемент;; дисковые вентилируемые; дисковые вентилируемые; 250; 4.6; АИ-95; переднее, продольное; 6592; турбонаддув; 632 / 465 при 5600; 800 при 1500 – 5500; V-образное; 12; 4; непосредственный впрыск (прямой); 10; 89 × 88.3
70; Rolls-Royce Wraith Black Badge  ; 2018 ; 30 950 000 ; Нов;" Набережные Челны
"; 17 августа 2017;  ; 6.6 л; 632 л.с.; автомат; бензин; АИ-95; задний; 4.5 с; Великобритания; 2; 4; 5269; 1947; 1507; 3112; 470; 2360; автомат; 8; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 250; 4.5; АИ-95; переднее, продольное; 6592; турбонаддув; 632 / 465 при 5600; 870 при 1700 – 4500; V-образное; 12; 4; непосредственный впрыск (прямой); 10; 89 × 88.3
71; Rolls-Royce Wraith  ; 2017 ; 18 470 000 ; Нов;" Краснодар
"; 18 июля 2017;  ; 6.6 л; 632 л.с.; автомат; бензин; АИ-95; задний; 4.6 с; Великобритания; 2; 4; 5269; 1947; 1507; 3112; 470; 2360; автомат; 8; задний; независимая, пневмоэлемент;; дисковые вентилируемые; дисковые вентилируемые; 250; 4.6; АИ-95; переднее, продольное; 6592; турбонаддув; 632 / 465 при 5600; 800 при 1500 – 5500; V-образное; 12; 4; непосредственный впрыск (прямой); 10; 89 × 88.3
72; Rolls-Royce Wraith  ; 2017 ; 26 600 000 ; Нов;" Москва
"; 18 июля 2017;  ; 6.6 л; 632 л.с.; автомат; бензин; АИ-95; задний; 4.6 с; Великобритания; 2; 4; 5269; 1947; 1507; 3112; 470; 2360; автомат; 8; задний; независимая, пневмоэлемент;; дисковые вентилируемые; дисковые вентилируемые; 250; 4.6; АИ-95; переднее, продольное; 6592; турбонаддув; 632 / 465 при 5600; 800 при 1500 – 5500; V-образное; 12; 4; непосредственный впрыск (прямой); 10; 89 × 88.3
73; Rolls-Royce Ghost I Рестайлинг (Series II)  ; 2018 ; 25 600 000 ; Нов;" Москва
"; 30 июня 2017;  ; 6.6 л; 570 л.с.; автомат; бензин; АИ-95; задний; 4.9 с; Великобритания; 4; 5; 5399; 1948; 1550; 3295; 490; 2360; автомат; 8; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 250; 4.9; АИ-95; переднее, продольное; 6592; турбонаддув; 570 / 420 при 5250; 820 при 1500; V-образное; 12; 4; непосредственный впрыск (прямой); 10; 89 × 88.3
74; Rolls-Royce Phantom VII Рестайлинг (Series II)  ; 2016 ; 39 800 000 ; Нов;" Берёзовский
"; 15 марта 2017;  ; 6.8 л; 460 л.с.; автомат; бензин; АИ-98; задний; 5.8 с; Великобритания; 2; 4; 5612; 1987; 1566; 3320; 315; 2630; автомат; 6; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 240; 5.8; АИ-98; переднее, продольное; 6749; нет; 460 / 338 при 5350; 720 при 3500; V-образное; 12; 4; непосредственный впрыск (прямой); 11; 84.6 × 92
75; Rolls-Royce Silver Cloud II  ; 1960 ;10 535 144 ; 77 000 ;" Екатеринбург
"; 25 марта;  ; 6.2 л; 200 л.с.; автомат; бензин;; задний;; Великобритания; 4; 5; 5410; 1899; 1626; 3124; ;; автомат; 4; задний; независимая, пружинная; зависимая, рессорная; барабанные; барабанные; 183;;;; 6223; нет; 200 / 147 при 4500;; V-образное; 8; 2; карбюратор; 8; 104.1 × 91.4
76; Rolls-Royce Phantom V  ; 1963 ; 12 700 000 ; 59 000 ;" Москва
"; 20 марта;  ; 6.2 л; 182 л.с.; автомат; бензин; АИ-95; задний;; Великобритания; 4; 5, 7; 6045; 2007; 1753; 3683; ; 2591; автомат; 4; задний; независимая, пружинная; зависимая, рессорная; барабанные; барабанные; 163;; АИ-95; переднее, продольное; 6203; нет; 182 / 134 при —;; V-образное; 8; 2; карбюратор;; 104.1 × 91.4
77; Rolls-Royce Silver Spur Mark I  ; 1985 ; 1 150 000 ; 175 000 ;" Астрахань
"; 24 февраля;  ; 6.8 л; 329 л.с.; автомат; бензин; АИ-95; задний; 10.2 с; Великобритания; 4; 5; 5380; 1887; 1485; 3061; ;; автомат; 4; задний; независимая, пружинная;; дисковые вентилируемые; дисковые; 192; 10.2; АИ-95; переднее, продольное; 6748; турбонаддув; 329 / 242 при 4000; 738 при 2100; V-образное; 8; 2; распределенный впрыск (многоточечный); 8; 104.1 × 99.1
78; Rolls-Royce Silver Seraph  ; 2000 ; 6 900 000 ; 58 000 ;" Киров
"; 21 июня 2017;  ; 5.4 л; 326 л.с.; автомат; бензин; АИ-95; задний; 7.6 с; Великобритания; 4; 5; 5390; 1930; 1515; 3116; 410; 2400; автомат; 5; задний; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 225; 7.6; АИ-95; переднее, продольное; 5379; нет; 326 / 240 при 5000; 490 при 3900; V-образное; 12; 2; распределенный впрыск (многоточечный); 10; 85 × 79
79; Rolls-Royce Phantom VII  ; 2004 ; 11 900 000 ; 50 000 ;" Тольятти
"; 5 марта;  ; 6.8 л; 460 л.с.; автомат; бензин; АИ-98; задний; 5.9 с; Великобритания; 4; 5; 5840; 1990; 1638; 3570; 460; 2480; автомат; 6; задний; независимая, пневмоэлемент;; дисковые вентилируемые; дисковые вентилируемые; 240; 5.9; АИ-98; переднее, продольное; 6749; нет; 460 / 338 при 5350; 720 при 3500; V-образное; 12; 4; распределенный впрыск (многоточечный); 11; 84.6 × 92
80; Rolls-Royce Phantom VII  ; 2009 ; 9 000 000 ; 65 600 ;" Екатеринбург
"; 18 апреля;  ; 6.8 л; 460 л.с.; автомат; бензин; АИ-98; задний; 5.9 с; Великобритания; 4; 5; 5840; 1990; 1638; 3570; 460; 2480; автомат; 6; задний; независимая, пневмоэлемент;; дисковые вентилируемые; дисковые вентилируемые; 240; 5.9; АИ-98; переднее, продольное; 6749; нет; 460 / 338 при 5350; 720 при 3500; V-образное; 12; 4; распределенный впрыск (многоточечный); 11; 84.6 × 92
81; Rolls-Royce Corniche I - IV  ; 1973 ; 11 368 860 ; 7 000 ;" Москва
"; 21 февраля;  ; 6.8 л; 260 л.с.; автомат; бензин;; задний; 9.7 с; Великобритания; 2; 4; 5196; 1836; 1490; 3061; ;; автомат; 3; задний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 203; 9.7;;; 6750; нет; 260 / 191 при 4500; 550 при 2500; V-образное; 8; 2; карбюратор; 9; 104.1 × 99.1
82; Rolls-Royce Phantom VII  ; 2009 ; 9 800 000 ; 16 000 ;" Санкт-Петербург
"; 28 декабря 2017;  ; 6.8 л; 460 л.с.; автомат; бензин; АИ-98; задний; 5.9 с; Великобритания; 4; 5; 5840; 1990; 1638; 3570; 460; 2480; автомат; 6; задний; независимая, пневмоэлемент;; дисковые вентилируемые; дисковые вентилируемые; 240; 5.9; АИ-98; переднее, продольное; 6749; нет; 460 / 338 при 5350; 720 при 3500; V-образное; 12; 4; распределенный впрыск (многоточечный); 11; 84.6 × 92
83; Rolls-Royce Ghost I  ; 2012 ; 7 500 000 ; 100 000 ;" Сочи
"; 12 декабря 2017;  ; 6.6 л; 570 л.с.; автомат; бензин; АИ-95; задний; 4.9 с; Великобритания; 4; 5; 5399; 1948; 1550; 3295; 490; 2360; автомат; 8; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 250; 4.9; АИ-95; переднее, продольное; 6592; турбонаддув; 570 / 420 при 5250; 780 при 1500; V-образное; 12; 4; непосредственный впрыск (прямой); 10; 89 × 88.3
84; Rolls-Royce Phantom VII  ; 2005 ; 8 000 000 ; 18 000 ;" Челябинск
"; 24 марта;  ; 6.8 л; 460 л.с.; автомат; бензин; АИ-98; задний; 5.9 с; Великобритания; 4; 5; 5840; 1990; 1638; 3570; 460; 2480; автомат; 6; задний; независимая, пневмоэлемент;; дисковые вентилируемые; дисковые вентилируемые; 240; 5.9; АИ-98; переднее, продольное; 6749; нет; 460 / 338 при 5350; 720 при 3500; V-образное; 12; 4; распределенный впрыск (многоточечный); 11; 84.6 × 92
85; Rolls-Royce 20/25 I  ; 1933 ;3 500 000 ; 81 000 ;" Новосибирск
"; 21 марта;  ; 3.7 л; 25 л.с.; механика; бензин;; задний;; Великобритания; 4; 5; 4851; 1829; 1700; 3353; ;; механика; 4; задний; независимая, пружинная; зависимая, рессорная; барабанные; барабанные; 120;;; переднее, продольное; 3669;; 25 / 18 при —;; рядное; 6;;;; 82 × 114
86; Rolls-Royce Ghost I  ; 2011 ; 8 549 000 ; 37 000 ;" Курск
"; 23 февраля;  ; 6.6 л; 570 л.с.; автомат; бензин; АИ-95; задний; 4.9 с; Великобритания; 4; 5; 5399; 1948; 1550; 3295; 490; 2360; автомат; 8; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 250; 4.9; АИ-95; переднее, продольное; 6592; турбонаддув; 570 / 420 при 5250; 780 при 1500; V-образное; 12; 4; непосредственный впрыск (прямой); 10; 89 × 88.3
87; Rolls-Royce Silver Spur Mark IV  ; 1996 ; 3 500 000 ; 297 000 ;" Железнодорожный
"; 8 августа 2016;  ; 6.8 л; 329 л.с.; автомат; бензин; АИ-95; задний; 8.1 с; Великобритания; 4; 5; 5380; 1887; 1485; 3162; ;; автомат; 4; задний; независимая, пружинная;; дисковые вентилируемые; дисковые; 225; 8.1; АИ-95; переднее, продольное; 6748; турбонаддув; 329 / 242 при 4000; 738 при 2100; V-образное; 8; 2; распределенный впрыск (многоточечный); 8; 104.1 × 99.1
88; Rolls-Royce Phantom VII Рестайлинг (Series II)  ; 2013 ; 17 500 000 ; 61 000 ;" Воронеж
"; 19 марта;  ; 6.8 л; 460 л.с.; автомат; бензин; АИ-98; задний; 5.9 с; Великобритания; 4; 5; 5842; 1990; 1638; 3570; 460; 2560; автомат; 6; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 240; 5.9; АИ-98; переднее, продольное; 6749; нет; 460 / 338 при 5350; 720 при 3500; V-образное; 12; 4; непосредственный впрыск (прямой); 11; 84.6 × 92
89; Rolls-Royce Phantom VII  ; 2011 ; 14 990 000 ; 3 251 ;" Москва
"; 19 апреля;  ; 6.8 л; 460 л.с.; автомат; бензин; АИ-98; задний; 5.8 с; Великобритания; 2; 4; 5612; 1987; 1598; 3320; 395; 2590; автомат; 6; задний; независимая, пневмоэлемент;; дисковые вентилируемые; дисковые вентилируемые; 250; 5.8; АИ-98; переднее, продольное; 6749; нет; 460 / 338 при 5350; 720 при 3500; V-образное; 12; 4; распределенный впрыск (многоточечный); 11; 84.6 × 92
90; Rolls-Royce Phantom VII  ; 2008 ; 8 900 000 ; 38 000 ;" Москва
"; 2 марта;  ; 6.8 л; 460 л.с.; автомат; бензин; АИ-98; задний; 5.8 с; Великобритания; 2; 4; 5612; 1987; 1598; 3320; 395; 2590; автомат; 6; задний; независимая, пневмоэлемент;; дисковые вентилируемые; дисковые вентилируемые; 250; 5.8; АИ-98; переднее, продольное; 6749; нет; 460 / 338 при 5350; 720 при 3500; V-образное; 12; 4; распределенный впрыск (многоточечный); 11; 84.6 × 92
91; Rolls-Royce Phantom VII  ; 2007 ; 7 900 000 ; 35 000 ;" Москва
"; 2 марта;  ; 6.8 л; 460 л.с.; автомат; бензин; АИ-98; задний; 5.9 с; Великобритания; 4; 5; 5840; 1990; 1638; 3570; 460; 2480; автомат; 6; задний; независимая, пневмоэлемент;; дисковые вентилируемые; дисковые вентилируемые; 240; 5.9; АИ-98; переднее, продольное; 6749; нет; 460 / 338 при 5350; 720 при 3500; V-образное; 12; 4; распределенный впрыск (многоточечный); 11; 84.6 × 92
92; Rolls-Royce Wraith  ; 2015 ; 12 495 000 ; 4 000 ;" Пермь
"; 21 апреля;  ; 6.6 л; 632 л.с.; автомат; бензин; АИ-95; задний; 4.6 с; Великобритания; 2; 4; 5269; 1947; 1507; 3112; 470; 2360; автомат; 8; задний; независимая, пневмоэлемент;; дисковые вентилируемые; дисковые вентилируемые; 250; 4.6; АИ-95; переднее, продольное; 6592; турбонаддув; 632 / 465 при 5600; 800 при 1500 – 5500; V-образное; 12; 4; непосредственный впрыск (прямой); 10; 89 × 88.3
93; Rolls-Royce Wraith  ; 2015 ; 11 499 999 ; 15 900 ;" Тимофеевка
"; 31 января;  ; 6.6 л; 632 л.с.; автомат; бензин; АИ-95; задний; 4.6 с; Великобритания; 2; 4; 5269; 1947; 1507; 3112; 470; 2360; автомат; 8; задний; независимая, пневмоэлемент;; дисковые вентилируемые; дисковые вентилируемые; 250; 4.6; АИ-95; переднее, продольное; 6592; турбонаддув; 632 / 465 при 5600; 800 при 1500 – 5500; V-образное; 12; 4; непосредственный впрыск (прямой); 10; 89 × 88.3
94; Rolls-Royce Ghost I Рестайлинг (Series II) Extended Wheelbase  ; 2018 ; 30 000 000 ; Нов;" Нижний Новгород
"; 10 марта;  ; 6.6 л; 570 л.с.; автомат; бензин; АИ-95; задний; 5 с; Великобритания; 4; 5; 5569; 1948; 1550; 3465; 490; 2450; автомат; 8; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 250; 5; АИ-95; переднее, продольное; 6592; турбонаддув; 570 / 420 при 5250; 820 при 1500; V-образное; 12; 4; непосредственный впрыск (прямой); 10; 89 × 88.3
95; Rolls-Royce Phantom VIII Extended Wheelbase  ; 2018 ; 55 000 000 ; Нов;" Екатеринбург
"; 10 марта; 4,6; 6.8 л; 571 л.с.; автомат; бензин; АИ-98; задний; 5.4 с; Великобритания; 4; 4; 5962; 2018; 1646; 3752; ;; автомат; 8; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 250; 5.4; АИ-98; переднее, продольное; 6749; турбонаддув; 571 / 420 при —; 900 при —; V-образное; 12; 4; непосредственный впрыск (прямой);; 
