;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
198; Porsche Macan S Diesel  ; 2017 ; 3 600 000 ; 28 000 ;" Альметьевск
"; 13 апреля; 4,5; 3.0 л; 245 л.с.; робот; дизель; ДТ; полный; 6.3 с; Германия; 5; 5; 4681; 1923; 1624; 2807; 500; 1880; робот; 7; полный; независимая, пневмоэлемент; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 230; 6.3; ДТ; переднее, продольное; 2967; турбонаддув; 245 / 180 при 4000 – 4250; 580 при 1750 – 2500; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.8; 83 × 91.4
199; Porsche Cayenne I Рестайлинг (957) S  ; 2008 ; 850 000 ; 258 170 ;" Москва
"; 13 апреля; 4,6; 4.8 л; 385 л.с.; автомат; бензин; АИ-98; полный; 6.8 с; Германия; 5; 5; 4798; 1928; 1699; 2855; 540/1770; 2245; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 250; 6.8; АИ-98; переднее, продольное; 4806; нет; 385 / 283 при 6200; 500 при 3500; V-образное; 8; 4; непосредственный впрыск (прямой); 12.5; 96 × 83
200; Porsche Boxster III (981)  ; 2012 ; 2 590 000 ; 22 000 ;" Уфа
"; 22 апреля;  ; 2.7 л; 265 л.с.; робот; бензин; АИ-98; задний; 5.7 с; Германия; 2; 2; 4374; 1801; 1282; 2475; 280; 1340; робот; 7; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 262; 5.7; АИ-98; центральное; 2706; нет; 265 / 195 при 6700; 280 при 4500 – 6500; оппозитное; 6; 4; непосредственный впрыск (прямой); 12.5; 89 × 72.5
201; Porsche Cayenne I Рестайлинг (957) S  ; 2009 ; 1 269 000 ; 50 727 ;" Ростов-на-Дону
"; 20 апреля; 4,6; 4.8 л; 385 л.с.; автомат; бензин; АИ-98; полный; 6.8 с; Германия; 5; 5; 4798; 1928; 1699; 2855; 540/1770; 2245; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 250; 6.8; АИ-98; переднее, продольное; 4806; нет; 385 / 283 при 6200; 500 при 3500; V-образное; 8; 4; непосредственный впрыск (прямой); 12.5; 96 × 83
202; Porsche Cayenne II (958)  ; 2011 ; 1 595 000 ; 125 000 ;" Воронеж
"; 19 апреля; 4,5; 3.6 л; 300 л.с.; автомат; бензин; АИ-98; полный; 7.8 с; Германия; 5; 5; 4846; 1939; 1705; 2895; 670/1780; 2030; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 230; 7.8; АИ-98; переднее, продольное; 3598; нет; 300 / 220 при 6300; 400 при 3000; V-образное; 6; 4; непосредственный впрыск (прямой); 11.7; 89 × 96.4
203; Porsche Macan Turbo  ; 2015 ; 3 160 000 ; 57 274 ;" Приволжск
"; 19 апреля; 4,5; 3.6 л; 400 л.с.; робот; бензин; АИ-98; полный; 4.8 с; Германия; 5; 5; 4681; 1923; 1624; 2807; 500; 1925; робот; 7; полный; независимая, пневмоэлемент; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 266; 4.8; АИ-98; переднее, продольное; 3604; турбонаддув; 400 / 294 при 6000; 550 при 1350 – 4500; V-образное; 6; 4; непосредственный впрыск (прямой); 10.5; 96 × 83
204; Porsche Panamera I 4  ; 2012 ; 2 777 777 ; 45 000 ;" Москва
"; 23 апреля; 4,7; 3.6 л; 300 л.с.; робот; бензин; АИ-98; полный; 6.1 с; Германия; 5; 4; 4970; 1931; 1418; 2870; 445/1263; 1820; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 257; 6.1; АИ-98; переднее, продольное; 3605; нет; 300 / 220 при 6200; 400 при 3750; V-образное; 6; 4; непосредственный впрыск (прямой); 12.5; 96 × 83
205; Porsche Cayenne I (955) S  ; 2006 ; 585 000 ; 136 694 ;" Лесной
"; 13 апреля; 4,4; 4.5 л; 340 л.с.; автомат; бензин; АИ-98; полный; 7.2 с; Германия; 5; 5; 4782; 1928; 1699; 2855; 540/1770; 2225; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые вентилируемые; 242; 7.2; АИ-98; переднее, продольное; 4511; нет; 340 / 250 при 6000; 420 при 2500; V-образное; 8; 4; распределенный впрыск (многоточечный); 11.5; 93 × 83
206; Porsche Cayenne I (955) S  ; 2004 ; 500 000 ; 439 000 ;" Каневская
"; 23 апреля; 4,4; 4.5 л; 340 л.с.; автомат; бензин; АИ-98; полный; 7.2 с; Германия; 5; 5; 4782; 1928; 1699; 2855; 540/1770; 2225; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые вентилируемые; 242; 7.2; АИ-98; переднее, продольное; 4511; нет; 340 / 250 при 6000; 420 при 2500; V-образное; 8; 4; распределенный впрыск (многоточечный); 11.5; 93 × 83
207; Porsche Cayenne II (958)  ; 2012 ; 1 815 000 ; 126 020 ;" Тобольск
"; 13 апреля; 4,5; 3.6 л; 300 л.с.; автомат; бензин; АИ-98; полный; 7.8 с; Германия; 5; 5; 4846; 1939; 1705; 2895; 670/1780; 2030; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 230; 7.8; АИ-98; переднее, продольное; 3598; нет; 300 / 220 при 6300; 400 при 3000; V-образное; 6; 4; непосредственный впрыск (прямой); 11.7; 89 × 96.4
