;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
59; Tesla Model S I Рестайлинг 100D  ; 2018 ; 9 980 000 ; Нов;" Москва
"; 22 января;  ; 0.0 л; 449 л.с.; автомат; электро;; полный; 4.2 с; США; 5; 5; 4970; 1964; 1435; 2960; 891;; автомат;; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 250; 4.2;;;;; 449 / 330 при —; 660 при —;; 0;;;; 
60; Tesla Model X P100D  ; 2018 ; 14 000 000 ; Нов;" Москва
"; 22 января;  ; 0.0 л; 762 л.с.; автомат; электро;; полный; 3.1 с; США; 5; 7; 5004; 2083; 1626; 3061; ;; автомат;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 250; 3.1;;;;; 762 / 560 при —; 967 при —;; 0;;;; 
61; Tesla Model X P100D  ; 2018 ; 14 000 000 ; Нов;" Москва
"; 21 января;  ; 0.0 л; 762 л.с.; автомат; электро;; полный; 3.1 с; США; 5; 7; 5004; 2083; 1626; 3061; ;; автомат;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 250; 3.1;;;;; 762 / 560 при —; 967 при —;; 0;;;; 
62; Tesla Model X P100D  ; 2018 ; 14 000 000 ; Нов;" Москва
"; 21 января;  ; 0.0 л; 762 л.с.; автомат; электро;; полный; 3.1 с; США; 5; 7; 5004; 2083; 1626; 3061; ;; автомат;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 250; 3.1;;;;; 762 / 560 при —; 967 при —;; 0;;;; 
63; Tesla Model X P100D  ; 2018 ; 14 000 000 ; Нов;" Москва
"; 21 января;  ; 0.0 л; 762 л.с.; автомат; электро;; полный; 3.1 с; США; 5; 7; 5004; 2083; 1626; 3061; ;; автомат;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 250; 3.1;;;;; 762 / 560 при —; 967 при —;; 0;;;; 
64; Tesla Model X 100D  ; 2018 ; 10 300 000 ; Нов;" Москва
"; 21 января;  ; 0.0 л; 714 л.с.; автомат; электро;; полный; 4.8 с; США; 5; 7; 5004; 2083; 1626; 3061; ;; автомат;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 250; 4.8;;;;; 714 / 525 при —;;; 0;;;; 
65; Tesla Model X 100D  ; 2018 ; 10 300 000 ; Нов;" Москва
"; 21 января;  ; 0.0 л; 714 л.с.; автомат; электро;; полный; 4.8 с; США; 5; 7; 5004; 2083; 1626; 3061; ;; автомат;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 250; 4.8;;;;; 714 / 525 при —;;; 0;;;; 
66; Tesla Model X 100D  ; 2018 ; 10 300 000 ; Нов;" Москва
"; 21 января;  ; 0.0 л; 714 л.с.; автомат; электро;; полный; 4.8 с; США; 5; 7; 5004; 2083; 1626; 3061; ;; автомат;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 250; 4.8;;;;; 714 / 525 при —;;; 0;;;; 
67; Tesla Model X 100D  ; 2018 ; 10 300 000 ; Нов;" Москва
"; 21 января;  ; 0.0 л; 714 л.с.; автомат; электро;; полный; 4.8 с; США; 5; 7; 5004; 2083; 1626; 3061; ;; автомат;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 250; 4.8;;;;; 714 / 525 при —;;; 0;;;; 
68; Tesla Model X 75D  ; 2018 ; 8 660 000 ; Нов;" Москва
"; 21 января;  ; 0.0 л; 333 л.с.; автомат; электро;; полный; 6.2 с; США; 5; 7; 5004; 2083; 1626; 3061; ;; автомат;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 210; 6.2;;;;; 333 / 245 при —; 525 при —;; 0;;;; 
69; Tesla Model X 75D  ; 2018 ; 8 660 000 ; Нов;" Москва
"; 21 января;  ; 0.0 л; 333 л.с.; автомат; электро;; полный; 6.2 с; США; 5; 7; 5004; 2083; 1626; 3061; ;; автомат;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 210; 6.2;;;;; 333 / 245 при —; 525 при —;; 0;;;; 
70; Tesla Model X 75D  ; 2018 ; 8 660 000 ; Нов;" Москва
"; 21 января;  ; 0.0 л; 333 л.с.; автомат; электро;; полный; 6.2 с; США; 5; 7; 5004; 2083; 1626; 3061; ;; автомат;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 210; 6.2;;;;; 333 / 245 при —; 525 при —;; 0;;;; 
71; Tesla Model X 75D  ; 2018 ; 8 660 000 ; Нов;" Москва
"; 21 января;  ; 0.0 л; 333 л.с.; автомат; электро;; полный; 6.2 с; США; 5; 7; 5004; 2083; 1626; 3061; ;; автомат;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 210; 6.2;;;;; 333 / 245 при —; 525 при —;; 0;;;; 
72; Tesla Model S I Рестайлинг P100D  ; 2018 ; 12 950 000 ; Нов;" Москва
"; 17 января;  ; 0.0 л; 762 л.с.; автомат; электро;; полный; 2.7 с; США; 5; 5; 4970; 1964; 1435; 2960; 891;; автомат;; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 250; 2.7;;;;; 762 / 568 при —; 967 при —;; 0;;;; 
