;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
14; Audi 80 IV (B3)  ; 1990 ; 100 000 ; 233 000 ;" Санкт-Петербург
"; 7 февраля; 3,9; 1.8 л; 90 л.с.; механика; бензин; АИ-92; передний; 12.4 с; Германия; 4; 5; 4390; 1700; 1400; 2550; 453; 1025; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 182; 12.4; АИ-92; переднее, продольное; 1781; нет; 90 / 66 при 5500; 142 при 3300; рядное; 4; 2; центральный впрыск (моновпрыск или одноточечный);; 
15; Audi Q5 I Рестайлинг  ; 2013 ; 1 500 000 ; 59 000 ;" Санкт-Петербург
"; 23 апреля; 4,8; 2.0 л; 225 л.с.; автомат; бензин; АИ-95; полный; 7.1 с; Германия; 5; 5; 4629; 1898; 1655; 2807; 540/1560; 1755; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 222; 7.1; АИ-95; переднее, продольное; 1984; турбонаддув; 225 / 165 при 4500 – 6250; 350 при 1500 – 4500; рядное; 4; 4; непосредственный впрыск (прямой); 9.6; 82.5 × 92.8
16; Audi A3 I (8L)  ; 1999 ; 160 000 ; 345 000 ;" Москва
"; 24 апреля; 4,5; 1.8 л; 125 л.с.; механика; бензин; АИ-95; передний; 9.7 с; Германия; 3; 5; 4152; 1735; 1427; 2513; 350/1100; 1160; механика; 5; передний; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 202; 9.7; АИ-95; переднее, поперечное; 1781; нет; 125 / 92 при 6000; 170 при 4200; рядное; 4; 5; распределенный впрыск (многоточечный); 10; 81 × 86.4
17; Audi Q7 I Рестайлинг  ; 2012 ; 1 570 000 ; 142 693 ;" Москва
"; 19 февраля; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18; Audi A3 II (8P) Рестайлинг 2  ; 2012 ; 580 000 ; 138 500 ;" Санкт-Петербург
"; 31 января; 4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19; Audi A4 IV (B8)  ; 2011 ; 680 000 ; 117 954 ;" Саратов
"; 16 апреля; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20; Audi A8 I (D2) Рестайлинг  ; 2001 ; 350 000 ; 280 000 ;" Москва
"; 23 апреля; 4,8; 2.8 л; 193 л.с.; автомат; бензин; АИ-95; передний; 9.6 с; Германия; 4; 5; 5034; 1880; 1440; 2882; 525; 1510; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 233; 9.6; АИ-95; переднее, продольное; 2771; нет; 193 / 142 при 6000; 280 при 3200; V-образное; 6; 5; распределенный впрыск (многоточечный); 10.6; 82.5 × 86.4
21; Audi Q5 I 8tiptronic  ; 2012 ; 1 100 000 ; 61 000 ;" Москва
"; 23 апреля; 4,0; 2.0 л; 211 л.с.; автомат; бензин; АИ-95; полный; 7.2 с; Германия; 5; 5; 4629; 1880; 1653; 2807; 540/1560; 1755; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 222; 7.2; АИ-95; переднее, продольное; 1984; турбонаддув; 211 / 155 при 4300 – 6000; 350 при 1500 – 4200; рядное; 4; 4; непосредственный впрыск (прямой); 9.6; 82.5 × 92.8
22; Audi A4 II (B6)  ; 2004 ; 345 000 ; 235 000 ;" Санкт-Петербург
"; 23 апреля; 4,6; 1.8 л; 170 л.с.; вариатор; бензин; АИ-95; передний;; Германия; 4; 5; 4548; 1772; 1428; 2650; 445/720;; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95; переднее, продольное; 1781; турбонаддув; 170 / 125 при —;; рядное; 4; 5; распределенный впрыск (многоточечный); 9.3; 81 × 86.4
23; Audi A8 III (D4) Long  ; 2013 ; 1 450 000 ; 145 000 ;" Пятигорск
"; 23 апреля; 4,9; 4.0 л; 420 л.с.; автомат; бензин; АИ-95; полный; 4.7 с; Германия; 4; 5; 5267; 1949; 1471; 3122; 510; 1945; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 250; 4.7; АИ-95; переднее, продольное; 3993; турбонаддув; 420 / 309 при 5000; 600 при 1500 – 4500; V-образное; 8; 4; непосредственный впрыск (прямой); 10.1; 84.5 × 89
24; Audi A6 II (C5) Рестайлинг  ; 2004 ; 349 000 ; 265 000 ;" Набережные Челны
"; 11 апреля; 4,4; 2.4 л; 170 л.с.; механика; бензин; АИ-95; передний; 9.3 с; Германия; 4; 5; 4796; 1810; 1453; 2760; 551; 1480; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 224; 9.3; АИ-95; переднее, продольное; 2393; нет; 170 / 125 при 6000; 230 при 3200; V-образное; 6; 5; распределенный впрыск (многоточечный);; 
25; Audi A6 IV (C7) Рестайлинг  ; 2015 ;2 200 000 ; 35 000 ;" Москва
"; 7 апреля; 4,7; 3.0 л; 245 л.с.; робот; дизель; ДТ; полный; 6.1 с; Германия; 4; 5; 4933; 1874; 1455; 2912; 530/995; 1720; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 250; 6.1; ДТ;; 2967; турбонаддув; 245 / 180 при 4000 – 4500; 500 при 1500; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.8; 83 × 91.4
26; Audi A6 IV (C7)  ; 2012 ;1 300 000 ; 122 854 ;" Санкт-Петербург
"; 12 марта; 4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27; Audi A4 IV (B8) Рестайлинг  ; 2012 ; 850 000 ; 129 330 ;" Санкт-Петербург
"; 10 февраля; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28; Audi A6 IV (C7)  ; 2012 ; 1 400 000 ; 167 146 ;" Санкт-Петербург
"; 20 марта; 4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29; Audi A6 IV (C7)  ; 2011 ; 800 000 ; 112 513 ;" Санкт-Петербург
"; 18 апреля; 4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30; Audi A5 I tiptronic  ; 2008 ; 999 999 ; 199 000 ;" Нижний Новгород
"; 21 сентября 2017; 4,6; 3.0 л; 239 л.с.; автомат; дизель; ДТ; полный; 6.1 с; Германия; 2; 4; 4625; 1854; 1372; 2751; 455; 1610; автомат; 6; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 250; 6.1; ДТ; переднее, продольное; 2967; турбонаддув; 239 / 176 при 4000; 500 при 1500; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 17; 83 × 91.4
31; Audi A4 V (B9)  ; 2017 ; 1 630 000 ; 14 700 ;" Балашиха
"; 24 апреля; 4,8; 1.4 л; 150 л.с.; робот; бензин; АИ-95; передний; 8.5 с; Германия; 4; 5; 4726; 1842; 1427; 2820; 480; 1375; робот; 7; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 210; 8.5; АИ-95; переднее, продольное; 1395; турбонаддув; 150 / 110 при 5000 – 6000; 250 при 1500 – 3500; рядное; 4; 4; непосредственный впрыск (прямой); 10; 74.5 × 80
32; Audi A5 I Рестайлинг  ; 2013 ; 999 900 ; 121 927 ;" Москва
"; 23 апреля; 4,8; 2.0 л; 211 л.с.; робот; бензин; АИ-95; полный; 6.6 с; Германия; 5; 4; 4712; 1854; 1391; 2810; 480/980; 1615; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 241; 6.6; АИ-95; переднее, продольное; 1984; турбонаддув; 211 / 155 при 4300 – 6000; 350 при 1500 – 4200; рядное; 4; 4; непосредственный впрыск (прямой); 9.6; 82.5 × 92.8
33; Audi Q7 II  ; 2016 ; 3 279 000 ; 46 924 ;" Москва
"; 23 апреля; 4,6; 3.0 л; 249 л.с.; автомат; дизель; ДТ; полный; 6.9 с; Германия; 5; 5, 7; 5052; 1968; 1740; 2994; 890/2075; 2055; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 225; 6.9; ДТ; переднее, продольное; 2967; турбонаддув; 249 / 183 при 2910 – 4500; 600 при 1500 – 2910; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16; 83 × 91.4
34; Audi Q7 II 7-seat  ; 2015 ; 3 095 000 ; 31 965 ;" Санкт-Петербург
"; 23 апреля; 4,6; 3.0 л; 333 л.с.; автомат; бензин; АИ-95; полный; 6.3 с; Германия; 5; 5, 7; 5052; 1968; 1740; 2994; 890/2075; 2030; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 250; 6.3; АИ-95; переднее, продольное; 2995; турбонаддув; 333 / 245 при 5500 – 6500; 440 при 2900 – 5300; V-образное; 6; 4; комбинированный впрыск (непосредственно-распределенный); 10.8; 89 × 84.5
35; Audi A5 I  ; 2008 ; 635 000 ; 120 000 ;" Москва
"; 15 февраля; 4,6; 3.2 л; 265 л.с.; вариатор; бензин; АИ-95; передний; 6.6 с; Германия; 2; 4; 4625; 1854; 1372; 2751; 455; 1495; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 250; 6.6; АИ-95; переднее, продольное; 3197; нет; 265 / 195 при 6500; 330 при 3000 – 5000; V-образное; 6; 4; непосредственный впрыск (прямой); 12.5; 84.5 × 92.8
36; Audi A4 IV (B8) Рестайлинг  ; 2015 ; 1 138 000 ; 33 656 ;" Москва
"; 23 апреля; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37; Audi Q5 I Рестайлинг  ; 2012 ; 1 245 000 ; 80 000 ;" Санкт-Петербург
"; 23 апреля; 4,8; 2.0 л; 225 л.с.; автомат; бензин; АИ-95; полный; 7.1 с; Германия; 5; 5; 4629; 1898; 1655; 2807; 540/1560; 1755; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 222; 7.1; АИ-95; переднее, продольное; 1984; турбонаддув; 225 / 165 при 4500 – 6250; 350 при 1500 – 4500; рядное; 4; 4; непосредственный впрыск (прямой); 9.6; 82.5 × 92.8
38; Audi A6 III (C6)  ; 2005 ; 449 999 ; 171 000 ;" Москва
"; 3 марта; 4,6; 2.4 л; 177 л.с.; вариатор; бензин; АИ-95; передний; 9.2 с; Германия; 4; 5; 4916; 1855; 1459; 2843; 546; 1526; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 226; 9.2; АИ-95; переднее, продольное; 2393; нет; 177 / 130 при 6000; 230 при 3000; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.3; 81 × 77.4
39; Audi A8 II (D3) Рестайлинг 2 Long  ; 2007 ; 650 000 ; 167 000 ;" Москва
"; 24 апреля; 4,6; 4.2 л; 350 л.с.; автомат; бензин; АИ-98; полный; 6.3 с; Германия; 4; 4, 5; 5192; 1894; 1455; 3074; 500; 1850; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 250; 6.3; АИ-98; переднее, продольное; 4163; нет; 350 / 257 при 6800; 440 при 3500; V-образное; 8; 4; непосредственный впрыск (прямой); 12.5; 84.5 × 92.8
40; Audi Q5 I  ; 2010 ; 890 000 ; 64 191 ;" Москва
"; 14 февраля; 4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41; Audi A8 III (D4) Рестайлинг Long  ; 2013 ;2 450 000 ; 70 311 ;" Москва
"; 1 апреля;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42; Audi A6 III (C6)  ; 2007 ; 500 000 ; 200 000 ;" Москва
"; 24 апреля; 4,6; 2.0 л; 140 л.с.; вариатор; дизель; ДТ; передний; 10.3 с; Германия; 4; 5; 4916; 1855; 1459; 2843; 546; 1540; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 210; 10.3; ДТ; переднее, продольное; 1968; турбонаддув; 140 / 103 при 4000; 320 при 1750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 19.5; 81 × 95.5
43; Audi A7 I  ; 2010 ;1 310 000 ; 50 000 ;" Москва
"; 23 апреля; 4,6; 3.0 л; 300 л.с.; робот; бензин; АИ-95; полный; 5.6 с; Германия; 5; 4, 5; 4969; 1911; 1420; 2914; 535/1360; 1770; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 250; 5.6; АИ-95; переднее, продольное; 2995; компрессор; 300 / 220 при 5250 – 6500; 440 при 2900 – 4500; V-образное; 6; 4; непосредственный впрыск (прямой); 10.3; 84.5 × 89
44; Audi Q5 I  ; 2011 ; 950 000 ; 82 000 ;" Москва
"; 26 марта; 4,0; 2.0 л; 211 л.с.; робот; бензин; АИ-95; полный; 7.2 с; Германия; 5; 5; 4629; 1880; 1653; 2807; 540/1560; 1740; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 222; 7.2; АИ-95; переднее, продольное; 1984; турбонаддув; 211 / 155 при 4300 – 6000; 350 при 1500 – 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 82.5 × 92.8
45; Audi RS 5 I  ; 2014 ;3 300 000 ; 28 377 ;" Санкт-Петербург
"; 22 мая 2017;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46; Audi A6 II (C5)  ; 1998 ; 240 000 ; 325 000 ;" Москва
"; 23 апреля; 4,6; 2.8 л; 193 л.с.; механика; бензин; АИ-98; передний; 8.3 с; Германия; 4; 5; 4796; 1810; 1453; 2760; 551; 1490; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 236; 8.3; АИ-98; переднее, продольное; 2771; нет; 193 / 142 при 6000; 280 при 3200; V-образное; 6; 5; распределенный впрыск (многоточечный); 10.6; 82.5 × 86.4
47; Audi A6 III (C6)  ; 2008 ; 589 000 ; 133 048 ;" Москва
"; 23 апреля; 4,6; 3.1 л; 249 л.с.; автомат; бензин; АИ-95; полный;; Германия; 4; 5; 4916; 1855; 1459; 2843; 546; 1680; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые;;; АИ-95; переднее, продольное; 3123; нет; 249 / 183 при —;; V-образное; 6; 4; непосредственный впрыск (прямой);; 84.5 × 92.8
48; Audi Q7 II  ; 2015 ; 2 950 000 ; 100 210 ;" Москва
"; 23 апреля; 4,6; 3.0 л; 333 л.с.; автомат; бензин; АИ-95; полный; 6.1 с; Германия; 5; 5, 7; 5052; 1968; 1740; 2994; 890/2075; 1970; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 250; 6.1; АИ-95; переднее, продольное; 2995; турбонаддув; 333 / 245 при 5500 – 6500; 440 при 2900 – 5300; V-образное; 6; 4; комбинированный впрыск (непосредственно-распределенный); 10.8; 89 × 84.5
49; Audi Q7 II  ; 2015 ; 3 199 000 ; 16 500 ;" Москва
"; 23 апреля; 4,6; 3.0 л; 249 л.с.; автомат; дизель; ДТ; полный; 6.9 с; Германия; 5; 5, 7; 5052; 1968; 1740; 2994; 890/2075; 2055; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 225; 6.9; ДТ; переднее, продольное; 2967; турбонаддув; 249 / 183 при 2910 – 4500; 600 при 1500 – 2910; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16; 83 × 91.4
50; Audi A4 IV (B8)  ; 2011 ; 465 000 ; 130 000 ;" Москва
"; 23 апреля; 4,5; 2.0 л; 180 л.с.; вариатор; бензин; АИ-95; передний; 8.2 с; Германия; 4; 5; 4703; 1824; 1427; 2808; 480/962; 1465; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 226; 8.2; АИ-95; переднее, продольное; 1984; турбонаддув; 180 / 132 при 4000 – 6000; 320 при 1500 – 3900; рядное; 4; 4; непосредственный впрыск (прямой); 9.6; 82.5 × 92.8
51; Audi A6 allroad I (C5)  ; 2001 ; 380 000 ; 378 147 ;" Москва
"; 23 апреля; 4,4; 2.5 л; 180 л.с.; автомат; дизель; ДТ; полный; 10.7 с; Германия; 5; 5; 4810; 1852; 1551; 2757; 455/1590; 1865; автомат; 5; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 205; 10.7; ДТ; переднее, продольное; 2496; турбонаддув; 180 / 132 при 4000; 370 при 1500; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18.5; 78.3 × 86.4
52; Audi A4 IV (B8)  ; 2011 ; 760 000 ; 58 000 ;" Санкт-Петербург
"; 23 апреля; 4,5; 1.8 л; 120 л.с.; вариатор; бензин; АИ-95; передний; 10.5 с; Германия; 4; 5; 4703; 1824; 1427; 2808; 480/962; 1455; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 200; 10.5; АИ-95; переднее, продольное; 1798; турбонаддув; 120 / 88 при 3650 – 6200; 230 при 1500 – 3650; рядное; 4; 4; непосредственный впрыск (прямой); 9.6; 82.5 × 84.1
53; Audi A6 IV (C7)  ; 2012 ; 1 190 000 ; 150 177 ;" Смоленск
"; 31 марта; 4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
