;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
310; Dodge Avenger II  ; 2007 ; 350 000 ; 216 000 ;" Москва
"; 8 декабря 2017; 4,6; 2.4 л; 175 л.с.; автомат; бензин; АИ-92; передний; 10.4 с; США; 4; 5; 4850; 1843; 1497; 2765; 452; 1560; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 200; 10.4; АИ-92;; 2360; нет; 175 / 129 при 6000; 220 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 88 × 97
311; Dodge Viper II  ; 1999 ; 2 200 000 ; 45 560 ;" Москва
"; 7 декабря 2017;  ; 8.0 л; 456 л.с.; механика; бензин; АИ-92; задний; 4.7 с; США; 2; 2; 4490; 1925; 1195; 2445; 260; 1560; механика; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 290; 4.7; АИ-92; переднее, продольное; 7990; нет; 456 / 335 при 5200; 664 при 3700; V-образное; 10; 2; распределенный впрыск (многоточечный); 9.6; 101.6 × 98.5
312; Dodge Caliber I  ; 2006 ; 360 000 ; 200 000 ;" Красноярск
"; 1 декабря 2017; 4,3; 2.0 л; 156 л.с.; вариатор; бензин; АИ-95; передний; 11.3 с; США; 5; 5; 4415; 1800; 1535; 2635; 352/1013; 1365; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 186; 11.3; АИ-95; переднее, поперечное; 1998; нет; 156 / 115 при 6300; 190 при 5100; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 86 × 86
313; Dodge Caliber I  ; 2008 ; 470 000 ; 222 000 ;" Брянск
"; 29 ноября 2017; 4,3; 2.0 л; 156 л.с.; вариатор; бензин; АИ-95; передний; 11.3 с; США; 5; 5; 4415; 1800; 1535; 2635; 352/1013; 1365; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 186; 11.3; АИ-95; переднее, поперечное; 1998; нет; 156 / 115 при 6300; 190 при 5100; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 86 × 86
314; Dodge RAM IV (DS/DJ)  ; 2012 ; 2 200 000 ; 36 000 ;" Москва
"; 23 ноября 2017; 4,8; 5.7 л; 396 л.с.; автомат; бензин; АИ-95; полный;; США; 2; 3; 5308; 2017; 1894; 3061; 2000; 1750; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95; переднее, продольное; 5654; нет; 396 / 291 при 5600; 556 при 3950; V-образное; 8; 4; распределенный впрыск (многоточечный); 10.5; 
315; Dodge Nitro  ; 2007 ; 750 000 ; 170 000 ;" Тула
"; 22 ноября 2017; 4,2; 3.7 л; 205 л.с.; автомат; бензин; АИ-92; полный; 10.3 с; США; 5; 5; 4584; 1856; 1755; 2763; 397/1479; 1875; автомат; 4; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 190; 10.3; АИ-92; переднее, продольное; 3701; нет; 205 / 151 при 5200; 314 при 4000; V-образное; 6; 2; распределенный впрыск (многоточечный); 9.1; 93 × 90.8
316; Dodge Magnum I  ; 2004 ; 650 000 ; 216 000 ;" Солнечногорск
"; 19 ноября 2017;  ; 2.7 л; 193 л.с.; автомат; бензин; АИ-92; задний; 10.7 с; США; 5; 5; 5020; 1881; 1481; 3050; 770/2030; 1750; автомат; 4; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190; 10.7; АИ-92; переднее, продольное; 2736; нет; 193 / 142 при 6400; 258 при 4000; V-образное; 6; 4; распределенный впрыск (многоточечный); 9.7; 86 × 78.5
317; Dodge Caravan III  ; 2000 ; 200 000 ; 250 000 ;" Мытищи
"; 18 ноября 2017; 4,3; 2.4 л; 152 л.с.; автомат; бензин; АИ-92; передний; 12 с; США; 5; 7; 4733; 1920; 1740; 2878; 450/4140; 1610; автомат; 3; передний; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; барабанные; 170; 12; АИ-92; переднее, поперечное; 2429; нет; 152 / 112 при 5200; 226 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.4; 87.5 × 101.1
318; Dodge Journey I Рестайлинг  ; 2012 ; 875 000 ; 80 000 ;" Конаково
"; 9 ноября 2017; 4,8; 2.4 л; 175 л.с.; автомат; бензин; АИ-92; передний; 11.8 с; США; 5; 5; 4887; 1834; 1692; 2891; 1048; 1805; автомат; 4; передний; независимая, пружинная; независимая, пружинная; керамические вентилируемые; барабанные; 188; 11.8; АИ-92; переднее, поперечное; 2360; нет; 175 / 129 при 6000; 220 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 88 × 97
319; Dodge Caravan IV Grand  ; 2003 ; 400 000 ; 180 000 ;" Москва
"; 7 ноября 2017; 4,4; 3.3 л; 182 л.с.; автомат; бензин; АИ-92; передний; 11.4 с; США; 5; 7; 5093; 1995; 1750; 3030; 580/4680; 1885; автомат; 4; передний; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; барабанные; 177; 11.4; АИ-92; переднее, поперечное; 3301; нет; 182 / 134 при 5200; 285 при 4000; V-образное; 6; 2; распределенный впрыск (многоточечный); 9.3; 93 × 81
320; Dodge Challenger III Рестайлинг SRT-8  ; 2012 ; 3 500 000 ; 22 000 ;" Шуя
"; 7 ноября 2017;  ; 6.4 л; 477 л.с.; автомат; бензин; АИ-92; задний;; США; 2; 5; 5022; 1923; 1450; 2946; 459; 1887; автомат; 5; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые;;; АИ-92; переднее, продольное; 6417; нет; 477 / 351 при 6000; 637 при 4200; V-образное; 8;; распределенный впрыск (многоточечный);; 
321; Dodge Caravan IV  ; 2005 ; 370 000 ; 183 000 ;" Москва
"; 30 октября 2017; 4,4; 2.4 л; 152 л.с.; автомат; бензин; АИ-92; передний; 12.5 с; США; 5; 4, 5; 4805; 1995; 1750; 2878; 445/4080; 1815; автомат; 3; передний; независимая, пружинная; зависимая, рессорная; дисковые; барабанные; 170; 12.5; АИ-92; переднее, поперечное; 2429; нет; 152 / 112 при 5200; 226 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.4; 87.5 × 101
322; Dodge Stratus II  ; 2001 ; 280 000 ; 170 000 ;" Лыткарино
"; 29 октября 2017; 4,3; 2.4 л; 152 л.с.; автомат; бензин; АИ-92; передний; 10.5 с; США; 4; 5; 4855; 1795; 1395; 2740; 453; 1495; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 180; 10.5; АИ-92; переднее, поперечное; 2429; нет; 152 / 112 при 5200; 226 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.4; 87.5 × 101
323; Dodge RAM IV (DS/DJ)  ; 2011 ; 2 780 000 ; 102 000 ;" Михнево
"; 28 октября 2017; 4,8; 6.7 л; 350 л.с.; автомат; дизель; ДТ; полный;; США; 4; 6; 5816; 2017; 1923; 3570; ;; автомат; 6; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые вентилируемые;;; ДТ;; 6690; турбонаддув; 350 / 257 при 3500; 881 при 1500; рядное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 10.3; 
324; Dodge Journey I Рестайлинг  ; 2012 ; 1 050 000 ; 66 240 ;" Воронеж
"; 21 октября 2017; 4,8; 2.4 л; 175 л.с.; автомат; бензин; АИ-92; передний; 11.8 с; США; 5; 5; 4887; 1834; 1692; 2891; 1048; 1805; автомат; 4; передний; независимая, пружинная; независимая, пружинная; керамические вентилируемые; барабанные; 188; 11.8; АИ-92; переднее, поперечное; 2360; нет; 175 / 129 при 6000; 220 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 88 × 97
325; Dodge Caravan IV  ; 2003 ; 220 000 ; 168 000 ;" Красногорск
"; 14 октября 2017; 4,4; 2.4 л; 152 л.с.; автомат; бензин; АИ-92; передний; 12.5 с; США; 5; 4, 5; 4805; 1995; 1750; 2878; 445/4080; 1815; автомат; 3; передний; независимая, пружинная; зависимая, рессорная; дисковые; барабанные; 170; 12.5; АИ-92; переднее, поперечное; 2429; нет; 152 / 112 при 5200; 226 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.4; 87.5 × 101
326; Dodge Caravan IV  ; 2003 ; 335 000 ; 250 000 ;" Москва
"; 10 октября 2017; 4,4; 2.4 л; 152 л.с.; автомат; бензин; АИ-92; передний; 12.5 с; США; 5; 4, 5; 4805; 1995; 1750; 2878; 445/4080; 1815; автомат; 3; передний; независимая, пружинная; зависимая, рессорная; дисковые; барабанные; 170; 12.5; АИ-92; переднее, поперечное; 2429; нет; 152 / 112 при 5200; 226 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.4; 87.5 × 101
327; Dodge Caravan III  ; 2000 ; 250 000 ; 225 000 ;" Москва
"; 28 сентября 2017; 4,3; 3.0 л; 152 л.с.; автомат; бензин; АИ-92; передний; 11.7 с; США; 5; 7; 4733; 1920; 1740; 2878; 450/4140; 1669; автомат; 3; передний; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; барабанные; 170; 11.7; АИ-92; переднее, поперечное; 2972; нет; 152 / 112 при 5200; 239 при 4000; V-образное; 6; 2; распределенный впрыск (многоточечный); 8.9; 91.1 × 76
328; Dodge Caliber I  ; 2007 ; 410 000 ; 181 000 ;" Липецк
"; 24 сентября 2017; 4,3; 2.0 л; 156 л.с.; вариатор; бензин; АИ-95; передний; 11.3 с; США; 5; 5; 4415; 1800; 1535; 2635; 352/1013; 1365; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 186; 11.3; АИ-95; переднее, поперечное; 1998; нет; 156 / 115 при 6300; 190 при 5100; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 86 × 86
