;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
298; SEAT Leon II Рестайлинг  ; 2012 ; 685 000 ; 80 000 ;" Сальск
"; 3 апреля; 4,8; 1.8 л; 160 л.с.; робот; бензин; АИ-95; передний; 7.8 с; Испания; 5; 5; 4315; 1768; 1455; 2578; 341/1166; 1370; робот; 7; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 213; 7.8; АИ-95; переднее, поперечное; 1798; турбонаддув; 160 / 118 при 4500 – 6200; 250 при 1500 – 4500; рядное; 4; 4; непосредственный впрыск (прямой); 9.6; 82.5 × 84.2
299; SEAT Toledo I  ; 1993 ; 60 000 ; 300 ;" Москва
"; 15 марта; 3,7; 1.8 л; 90 л.с.; механика; бензин; АИ-95; передний; 12 с; Испания; 4; 5; 4321; 1662; 1424; 2471; 550/1360; 1050; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; дисковые; 182; 12; АИ-95; переднее, поперечное; 1781; нет; 90 / 66 при 5500; 145 при 4200; рядное; 4; 5; распределенный впрыск (многоточечный); 10.3; 81 × 86.4
300; SEAT Leon II Рестайлинг  ; 2009 ; 390 000 ; 120 000 ;" Москва
"; 4 марта; 4,8; 2.0 л; 150 л.с.; автомат; бензин; АИ-95; передний; 9.4 с; Испания; 5; 5; 4315; 1768; 1455; 2578; 341/1166; 1260; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 208; 9.4; АИ-95; переднее, поперечное; 1984; нет; 150 / 110 при 6000; 200 при 3500; рядное; 4; 4; непосредственный впрыск (прямой); 11.5; 82.5 × 92.8
301; SEAT Cordoba II  ; 2004 ; 180 000 ; 207 000 ;" Москва
"; 22 января;  ; 1.4 л; 75 л.с.; механика; бензин; АИ-95; передний; 13.6 с; Испания; 4; 5; 4280; 1698; 1441; 2460; 485/1140; 1075; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 176; 13.6; АИ-95; переднее, поперечное; 1390; нет; 75 / 55 при 5000; 126 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 76.5 × 75.6
302; SEAT Leon II Рестайлинг  ; 2012 ; 320 000 ; 120 000 ;" Москва
"; 27 марта; 4,8; 1.4 л; 125 л.с.; механика; бензин; АИ-95; передний; 9.8 с; Испания; 5; 5; 4315; 1768; 1455; 2578; 341/1166; 1324; механика; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 197; 9.8; АИ-95; переднее, поперечное; 1390; турбонаддув; 125 / 92 при 5000; 200 при 1500 – 4000; рядное; 4; 4; непосредственный впрыск (прямой); 10; 76.5 × 75.6
303; SEAT Toledo I  ; 1991 ; 60 000 ; 330 000 ;" Москва
"; 21 апреля; 3,7; 1.8 л; 90 л.с.; механика; бензин; АИ-95; передний; 12 с; Испания; 4; 5; 4321; 1662; 1424; 2471; 550/1360; 1050; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; дисковые; 182; 12; АИ-95; переднее, поперечное; 1781; нет; 90 / 66 при 5500; 145 при 4200; рядное; 4; 5; распределенный впрыск (многоточечный); 10.3; 81 × 86.4
304; SEAT Alhambra I  ; 2000 ; 290 000 ; 270 000 ;" Москва
"; 20 апреля;  ; 1.9 л; 110 л.с.; механика; дизель; ДТ; передний; 16.4 с; Испания; 5; 5, 7; 4617; 1810; 1728; 2835; 2000; 1754; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; дисковые; 172; 16.4; ДТ; переднее, поперечное; 1896; турбонаддув; 110 / 81 при 4150; 235 при 1900; рядное; 4; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 19.5; 79.5 × 95.5
305; SEAT Cordoba I  ; 1994 ; 80 000 ; 265 000 ;" Москва
"; 18 апреля; 3,7; 1.8 л; 90 л.с.; автомат; бензин; АИ-95; передний; 14.2 с; Испания; 4; 5; 4109; 1640; 1408; 2440; 455/802; 1015; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 177; 14.2; АИ-95; переднее, поперечное; 1781; нет; 90 / 66 при 5500; 145 при 2900; рядное; 4; 2; центральный впрыск (моновпрыск или одноточечный); 10; 81 × 86.4
306; SEAT Toledo I  ; 1991 ; 60 000 ; 200 000 ;" Москва
"; 17 апреля; 3,7; 1.6 л; 70 л.с.; механика; бензин; АИ-95; передний; 13.3 с; Испания; 4; 5; 4321; 1662; 1424; 2471; 550/1360; 985; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 170; 13.3; АИ-95; переднее, поперечное; 1595; нет; 70 / 51 при 5200; 124 при 2750; рядное; 4; 2; центральный впрыск (моновпрыск или одноточечный); 9; 81 × 77.4
307; SEAT Toledo I  ; 1992 ; 41 000 ; 280 000 ;" Москва
"; 17 апреля; 3,7; 1.8 л; 90 л.с.; механика; бензин; АИ-95; передний; 12 с; Испания; 4; 5; 4321; 1662; 1424; 2471; 550/1360; 1050; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; дисковые; 182; 12; АИ-95; переднее, поперечное; 1781; нет; 90 / 66 при 5500; 145 при 4200; рядное; 4; 5; распределенный впрыск (многоточечный); 10.3; 81 × 86.4
