;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Talbot Rancho I  ; 1983 ; 240 000 ; 80 000 ;" Екатеринбург
"; 22 апреля;  ; 1.4 л; 80 л.с.; механика; бензин;; передний; 16.3 с; Великобритания; 3; 5; 4320; 1660; 1740; 2520; 340; 1130; механика; 4; передний; независимая, пружинная;; дисковые;; 145; 16.3;;; 1398; нет; 80 / 59 при 5600; 120 при 3000; рядное; 4; 2; карбюратор; 9.5; 76.7 × 78
2; Talbot Horizon  ; 1984 ; 25 000 ; 314 000 ;" Тюмень
"; 22 апреля;  ; 1.9 л; 65 л.с.; механика; дизель; ДТ; передний;; Великобритания; 5; 5; 3960; 1680; 1410; 2520; ; 945; механика; 4; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные;;; ДТ;; 1902; нет; 65 / 48 при 4600; 118 при 2000; рядное; 4; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 23.5; 83 × 88
