;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
348; Jaguar F-Pace  ; 2016 ; 2 790 000 ; 35 967 ;" Москва
"; 4 апреля;  ; 2.0 л; 180 л.с.; автомат; дизель; ДТ; полный; 8.7 с; Великобритания; 5; 5; 4731; 1936; 1652; 2874; 650; 1775; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 208; 8.7; ДТ; переднее, продольное; 1999; турбонаддув; 180 / 132 при 4000; 430 при 1750 – 2500; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 15.5; 83 × 92.4
349; Jaguar XF I Рестайлинг  ; 2014 ; 1 249 000 ; 36 095 ;" Воронеж
"; 3 апреля; 4,5; 2.0 л; 240 л.с.; автомат; бензин; АИ-95; задний; 7.9 с; Великобритания; 4; 5; 4961; 1877; 1460; 2909; 500; 1660; автомат; 8; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 241; 7.9; АИ-95; переднее, продольное; 1999; турбонаддув; 240 / 177 при 5500; 340 при 2000 – 4000; рядное; 4; 4; непосредственный впрыск (прямой); 10; 87.5 × 83.1
350; Jaguar F-Pace  ; 2017 ; 3 090 000 ; Нов;" Москва
"; 12 апреля;  ; 2.0 л; 180 л.с.; автомат; дизель; ДТ; полный; 8.7 с; Великобритания; 5; 5; 4731; 1936; 1652; 2874; 650; 1775; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 208; 8.7; ДТ; переднее, продольное; 1999; турбонаддув; 180 / 132 при 4000; 430 при 1750 – 2500; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 15.5; 83 × 92.4
351; Jaguar F-Pace  ; 2016 ; 3 450 000 ; 19 574 ;" Санкт-Петербург
"; 9 апреля;  ; 3.0 л; 340 л.с.; автомат; бензин; АИ-95; полный; 5.8 с; Великобритания; 5; 5; 4731; 1936; 1652; 2874; 650; 1820; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 250; 5.8; АИ-95; переднее, продольное; 2995; турбонаддув; 340 / 250 при 6500; 450 при 4500; V-образное; 6; 4; непосредственный впрыск (прямой); 10.5; 84.5 × 89
352; Jaguar E-Pace  ; 2018 ; 3 657 500 ; Нов;" Хабаровск
"; 10 апреля;  ; 2.0 л; 180 л.с.; автомат; дизель; ДТ; полный; 9.3 с; Великобритания; 5; 5; 4395; 1984; 1649; 2681; 577; 1843; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 205; 9.3; ДТ; переднее, поперечное; 1999; турбонаддув; 180 / 132 при 4000; 430 при 1750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 
353; Jaguar F-Pace  ; 2017 ; 3 555 732 ; Нов;" Самара
"; 10 апреля;  ; 2.0 л; 240 л.с.; автомат; дизель; ДТ; полный; 7.2 с; Великобритания; 5; 5; 4731; 1936; 1652; 2874; 650; 1810; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 217; 7.2; ДТ; переднее, продольное; 1999; турбонаддув; 240 / 177 при 4000; 500 при 1500; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 15.5; 83 × 92.4
354; Jaguar F-Pace  ; 2017 ; 3 555 732 ; Нов;" Москва
"; 10 апреля;  ; 2.0 л; 240 л.с.; автомат; дизель; ДТ; полный; 7.2 с; Великобритания; 5; 5; 4731; 1936; 1652; 2874; 650; 1810; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 217; 7.2; ДТ; переднее, продольное; 1999; турбонаддув; 240 / 177 при 4000; 500 при 1500; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 15.5; 83 × 92.4
355; Jaguar E-Pace  ; 2018 ; 3 657 500 ; Нов;" Владимир
"; 10 апреля;  ; 2.0 л; 180 л.с.; автомат; дизель; ДТ; полный; 9.3 с; Великобритания; 5; 5; 4395; 1984; 1649; 2681; 577; 1843; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 205; 9.3; ДТ; переднее, поперечное; 1999; турбонаддув; 180 / 132 при 4000; 430 при 1750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 
356; Jaguar E-Pace  ; 2018 ; 3 657 500 ; Нов;" Самара
"; 10 апреля;  ; 2.0 л; 180 л.с.; автомат; дизель; ДТ; полный; 9.3 с; Великобритания; 5; 5; 4395; 1984; 1649; 2681; 577; 1843; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 205; 9.3; ДТ; переднее, поперечное; 1999; турбонаддув; 180 / 132 при 4000; 430 при 1750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 
357; Jaguar F-Pace  ; 2017 ; 3 555 732 ; Нов;" Москва
"; 10 апреля;  ; 2.0 л; 240 л.с.; автомат; дизель; ДТ; полный; 7.2 с; Великобритания; 5; 5; 4731; 1936; 1652; 2874; 650; 1810; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 217; 7.2; ДТ; переднее, продольное; 1999; турбонаддув; 240 / 177 при 4000; 500 при 1500; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 15.5; 83 × 92.4
