;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
315; Cadillac Escalade III  ; 2007 ; 1 000 000 ; 186 900 ;" Екатеринбург
"; 12 апреля; 4,6; 6.2 л; 409 л.с.; автомат; бензин; АИ-95; полный; 6.8 с; США; 5; 5, 7; 5144; 2007; 1887; 2946; 479/3084; 2609; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 170; 6.8; АИ-95; переднее, продольное; 6156; нет; 409 / 301 при 5700; 565 при 4400; V-образное; 8; 2; распределенный впрыск (многоточечный); 10.5; 103.2 × 92
316; Cadillac BLS  ; 2008 ; 530 000 ; 113 000 ;" Москва
"; 10 апреля; 4,5; 2.0 л; 210 л.с.; автомат; бензин; АИ-95; передний; 8.8 с; США; 4; 5; 4680; 1752; 1471; 2675; 425; 1485; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 230; 8.8; АИ-95; переднее, поперечное; 1998; турбонаддув; 210 / 154 при 5500; 300 при 2500; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 86 × 86
317; Cadillac Escalade III  ; 2011 ; 1 250 000 ; 82 000 ;" Москва
"; 10 апреля; 4,6; 6.2 л; 409 л.с.; автомат; бензин; АИ-95; полный; 6.8 с; США; 5; 5, 7; 5144; 2007; 1887; 2946; 479/3084; 2609; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 170; 6.8; АИ-95; переднее, продольное; 6156; нет; 409 / 301 при 5700; 565 при 4400; V-образное; 8; 2; распределенный впрыск (многоточечный); 10.5; 103.2 × 92
318; Cadillac Escalade III  ; 2008 ; 870 000 ; 124 000 ;" Санкт-Петербург
"; 7 апреля; 4,6; 6.2 л; 409 л.с.; автомат; бензин; АИ-95; полный; 6.8 с; США; 5; 5, 7; 5144; 2007; 1887; 2946; 479/3084; 2609; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 170; 6.8; АИ-95; переднее, продольное; 6156; нет; 409 / 301 при 5700; 565 при 4400; V-образное; 8; 2; распределенный впрыск (многоточечный); 10.5; 103.2 × 92
319; Cadillac Escalade III  ; 2008 ; 1 000 000 ; 200 000 ;" Москва
"; 30 марта; 4,6; 6.2 л; 409 л.с.; автомат; бензин; АИ-95; полный; 6.8 с; США; 5; 5, 7; 5144; 2007; 1887; 2946; 479/3084; 2609; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 170; 6.8; АИ-95; переднее, продольное; 6156; нет; 409 / 301 при 5700; 565 при 4400; V-образное; 8; 2; распределенный впрыск (многоточечный); 10.5; 103.2 × 92
320; Cadillac SRX II  ; 2011 ; 820 000 ; 54 000 ;" Москва
"; 26 марта; 4,3; 3.0 л; 269 л.с.; автомат; бензин; АИ-95; полный; 8.5 с; США; 5; 5; 4834; 1910; 1669; 2807; 827/1730; 1981; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 200; 8.5; АИ-95; переднее, поперечное; 2986; турбонаддув; 269 / 198 при 6950; 302 при 5100; V-образное; 6; 4; непосредственный впрыск (прямой); 11.7; 89 × 80.3
321; Cadillac Escalade III  ; 2008 ; 950 000 ; 146 000 ;" Санкт-Петербург
"; 24 марта; 4,6; 6.2 л; 409 л.с.; автомат; бензин; АИ-95; полный; 6.8 с; США; 5; 5, 7; 5144; 2007; 1887; 2946; 479/3084; 2609; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 170; 6.8; АИ-95; переднее, продольное; 6156; нет; 409 / 301 при 5700; 565 при 4400; V-образное; 8; 2; распределенный впрыск (многоточечный); 10.5; 103.2 × 92
322; Cadillac SRX I 5-speed  ; 2004 ; 370 000 ; 171 000 ;" Москва
"; 24 марта; 4,3; 4.6 л; 324 л.с.; автомат; бензин; АИ-92; полный; 7.4 с; США; 5; 5, 7; 4950; 1845; 1721; 2957; 827/1968; 2045; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 225; 7.4; АИ-92; переднее, продольное; 4565; нет; 324 / 238 при 6400; 420 при 4400; V-образное; 8; 4; распределенный впрыск (многоточечный); 10.5; 93 × 84
323; Cadillac SRX I  ; 2004 ; 370 000 ; 273 000 ;" Красноярск
"; 22 марта; 4,3; 3.6 л; 255 л.с.; автомат; бензин; АИ-92; полный; 8.1 с; США; 5; 5, 7; 4950; 1845; 1721; 2957; 827/1968; 1960; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 201; 8.1; АИ-92; переднее, продольное; 3564; нет; 255 / 188 при 6500; 346 при 3200; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.2; 94 × 85.6
324; Cadillac Escalade III  ; 2007 ; 750 000 ; 169 228 ;" Калуга
"; 22 марта; 4,6; 6.2 л; 409 л.с.; автомат; бензин; АИ-95; полный; 6.8 с; США; 5; 5, 7; 5144; 2007; 1887; 2946; 479/3084; 2609; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 170; 6.8; АИ-95; переднее, продольное; 6156; нет; 409 / 301 при 5700; 565 при 4400; V-образное; 8; 2; распределенный впрыск (многоточечный); 10.5; 103.2 × 92
