;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
370; Chrysler 300M  ; 1999 ; 245 000 ; 185 325 ;" Москва
"; 2 марта; 4,7; 2.7 л; 203 л.с.; автомат; бензин; АИ-95; передний; 10.2 с; США; 4; 5; 5000; 1890; 1422; 2870; 530; 1610; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 210; 10.2; АИ-95; переднее, продольное; 2736; нет; 203 / 149 при 5800; 258 при 4850; V-образное; 6; 4; распределенный впрыск (многоточечный);; 
371; Chrysler Sebring II  ; 2002 ; 140 000 ; 300 000 ;" Троицк
"; 28 февраля; 4,3; 2.4 л; 152 л.с.; автомат; бензин; АИ-92; передний; 11 с; США; 4; 5; 4844; 1790; 1395; 2745; 455; 1475; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 180; 11; АИ-92; переднее, поперечное; 2429; нет; 152 / 112 при 5200; 226 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
372; Chrysler PT Cruiser  ; 2002 ; 180 000 ; 180 000 ;" Элиста
"; 28 февраля; 4,2; 2.4 л; 143 л.с.; автомат; бензин; АИ-95; передний; 12.2 с; США; 5; 5; 4290; 1705; 1600; 2616; 538/1812;; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 177; 12.2; АИ-95; переднее, поперечное; 2429; нет; 143 / 105 при 5250; 229 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.4; 87.5 × 101
373; Chrysler Pacifica CS  ; 2004 ; 380 000 ; 127 000 ;" Кашин
"; 27 февраля;  ; 3.5 л; 253 л.с.; автомат; бензин; АИ-95; полный; 10 с; США; 5; 5, 7; 5052; 2013; 1688; 2954; 369/2250; 2160; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 190; 10; АИ-95; переднее, поперечное; 3518; нет; 253 / 186 при 6400; 339 при 3900; V-образное; 6; 4; распределенный впрыск (многоточечный); 9.9; 96 × 81
374; Chrysler Voyager IV  ; 2002 ; 250 000 ; 350 000 ;" Москва
"; 25 февраля; 4,3; 2.4 л; 147 л.с.; автомат; бензин; АИ-95; передний; 16 с; США; 5; 5, 7; 4805; 1995; 1750; 2880; 445/4080; 1750; автомат; 4; передний; независимая, пружинная; зависимая, пружинная; дисковые; барабанные; 177; 16; АИ-95; переднее, поперечное; 2429; нет; 147 / 108 при 5200; 218 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 87.5 × 100
375; Chrysler PT Cruiser  ; 2000 ; 210 000 ; 148 000 ;" Губкинский
"; 24 февраля; 4,2; 2.4 л; 143 л.с.; автомат; бензин; АИ-95; передний; 12.2 с; США; 5; 5; 4290; 1705; 1600; 2616; 538/1812;; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 177; 12.2; АИ-95; переднее, поперечное; 2429; нет; 143 / 105 при 5250; 229 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.4; 87.5 × 101
376;" Chrysler Town &amp; Country IV Рестайлинг  "; 2004 ; 460 000 ; 183 757 ;" Санкт-Петербург
"; 21 февраля;  ; 3.3 л; 182 л.с.; автомат; бензин; АИ-92; передний;; США; 5; 7; 5095; 1996; 1750; 3030; 566/4754; 1890; автомат; 4; передний; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; дисковые; 180;; АИ-92;; 3301; нет; 182 / 134 при 5000; 284 при 4000; V-образное; 6; 2; распределенный впрыск (многоточечный); 9.3; 93 × 81
377; Chrysler Cirrus  ; 1999 ; 150 000 ; 180 000 ;" Красногорск
"; 4 февраля; 4,7; 2.5 л; 164 л.с.; автомат; бензин; АИ-92; передний; 10.5 с; США; 4; 5; 4750; 1822; 1380; 2743; 436; 1364; автомат; 4; передний; независимая, рессорная; независимая, пружинная; дисковые; барабанные; 210; 10.5; АИ-92;; 2497; нет; 164 / 121 при 5900; 221 при 4350; V-образное; 6; 4; распределенный впрыск (многоточечный); 9.4; 83.5 × 76
378; Chrysler PT Cruiser  ; 2003 ; 195 000 ; 215 000 ;" Москва
"; 29 января; 4,2; 2.4 л; 143 л.с.; автомат; бензин; АИ-95; передний; 12.2 с; США; 5; 5; 4290; 1705; 1600; 2616; 538/1812;; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 177; 12.2; АИ-95; переднее, поперечное; 2429; нет; 143 / 105 при 5250; 229 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.4; 87.5 × 101
379; Chrysler 300C I  ; 2005 ; 650 000 ; 252 800 ;" Москва
"; 28 января; 4,5; 2.7 л; 193 л.с.; автомат; бензин; АИ-95; задний; 11.1 с; США; 4; 5; 5015; 1880; 1475; 3050; 504; 1735; автомат; 4; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 209; 11.1; АИ-95; переднее, продольное; 2736; нет; 193 / 142 при 6400; 258 при 4000; V-образное; 6; 4; распределенный впрыск (многоточечный); 9.7; 86 × 78.5
