;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Mitsuoka Viewt I (K11)  ; 1995 ; 200 000 ; 133 728 ;" Москва
"; 13 марта;  ; 1.0 л; 58 л.с.; автомат; бензин; АИ-92; передний;; Япония; 4; 5; 4250; 1640; 1425; 2360; ; 850; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные;;; АИ-92; переднее, поперечное; 997; нет; 58 / 43 при 6000; 79 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 71 × 63
2; Mitsuoka Nouera I  ; 2004 ; 520 000 ; 156 000 ;" Реутов
"; 25 декабря 2017;  ; 2.4 л; 200 л.с.; автомат; бензин; АИ-95; передний;; Япония; 4; 5; 4860; 1760; 1450; 2670; ; 1450; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95; переднее, поперечное; 2354; нет; 200 / 147 при 6800; 232 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 87 × 99
3; Mitsuoka Ryoga I (P11)  ; 2000 ; 350 000 ; 170 ;" Одинцово
"; 17 марта;  ; 1.8 л; 125 л.с.; автомат; бензин; АИ-92; передний;; Япония; 4; 5; 4570; 1695; 1400; 2600; ;; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные;;; АИ-92; переднее, поперечное; 1838; нет; 125 / 92 при 6000; 157 при 4800; рядное; 4; 4; распределенный впрыск (многоточечный);; 
4; Mitsuoka Le-Seyde  ; 1991 ; 1 200 000 ; 1 ;" Москва
"; 26 марта;  ; 1.8 л; 125 л.с.; автомат; бензин; АИ-92; задний; 12 с; Япония; 2; 4; 5320; 1880; 1270; 3425; ; 1350; автомат; 4; задний; независимая, пружинная;; дисковые вентилируемые;;; 12; АИ-92;; 1838; нет; 125 / 92 при 6000; 157 при 4800; рядное; 4;; распределенный впрыск (многоточечный);; 
