;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
187; Daihatsu Mira IV  ; 1994 ; 75 000 ; 90 000 ;" Колпино
"; 10 апреля;  ; 0.7 л; 40 л.с.; автомат; бензин; АИ-92; передний;; Япония; 3; 4; 3295; 1395; 1435; 2280; ; 650; автомат; 3; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные;;; АИ-92; переднее, поперечное; 659; нет; 40 / 29 при 6500; 52 при 3500; рядное; 3; 4; карбюратор; 9.5; 68 × 60.5
188; Daihatsu YRV  ; 2000 ; 210 000 ; 238 000 ;" Москва
"; 25 марта;  ; 1.3 л; 140 л.с.; автомат; бензин; АИ-95; передний; 9.3 с; Япония; 5; 5; 3765; 1620; 1550; 2355; 165/1075; 990; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 190; 9.3; АИ-95; переднее, поперечное; 1298; турбонаддув; 140 / 103 при 6400; 177 при 3200; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 72 × 79.7
189; Daihatsu Terios II  ; 2007 ; 580 000 ; 103 000 ;" Москва
"; 8 января; 4,5; 1.5 л; 105 л.с.; автомат; бензин; АИ-95; полный; 14 с; Япония; 5; 5; 4055; 1695; 1740; 2580; 380/755; 1200; автомат; 4; полный; независимая, пружинная; зависимая, пружинная; дисковые; барабанные; 160; 14; АИ-95; переднее, продольное; 1495; нет; 105 / 77 при 6000; 140 при 4400; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 72 × 91.7
190; Daihatsu YRV  ; 2001 ; 250 000 ; 230 000 ;" Москва
"; 20 апреля 2017;  ; 1.3 л; 140 л.с.; автомат; бензин; АИ-92; передний;; Япония; 5; 5; 3765; 1620; 1550; 2355; 165/1075; 950; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные;;; АИ-92; переднее, поперечное; 1297; турбонаддув; 140 / 103 при 6400; 177 при 3200; рядное; 4; 4; распределенный впрыск (многоточечный); 8.5; 72 × 79.7
191; Daihatsu Rocky  ; 1987 ; 300 000 ; 50 000 ;" Москва
"; 18 апреля;  ; 2.8 л; 91 л.с.; механика; дизель; ДТ; полный;; Япония; 3; 4; 3705; 1635; 1725; 2175; ;; механика; 5; полный; независимая, торсионная; независимая, пружинная; дисковые вентилируемые;;;; ДТ;; 2768; турбонаддув; 91 / 67 при —;; рядное; 4;; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 
192; Daihatsu Storia  ; 1998 ; 140 000 ; 200 000 ;" Москва
"; 5 апреля; 4,3; 1.0 л; 60 л.с.; автомат; бензин; АИ-92; полный;; Япония; 5; 5; 3660; 1600; 1450; 2370; ; 900; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные;;; АИ-92; переднее, поперечное; 989; нет; 60 / 44 при 6000; 94 при 3600; рядное; 3; 4; распределенный впрыск (многоточечный); 10; 72 × 81
193; Daihatsu Mira VII  ; 2010 ; 235 000 ; 96 000 ;" Москва и Московская область
"; 29 марта;  ; 0.7 л; 58 л.с.; автомат; бензин; АИ-92; передний;; Япония; 3; 5; 3395; 1475; 1425; 2360; ; 750; автомат; 4; передний; независимая, торсионная; полунезависимая, торсионная; дисковые; барабанные;;; АИ-92; переднее, поперечное; 658; нет; 58 / 43 при 7200; 65 при 4000; рядное; 3; 4; распределенный впрыск (многоточечный); 10.8; 63 × 70.4
194; Daihatsu Terios I  ; 1997 ; 100 000 ; 275 000 ;" Москва
"; 29 марта; 4,1; 1.3 л; 86 л.с.; автомат; бензин; АИ-95; полный; 16.1 с; Япония; 5; 5; 3845; 1555; 1695; 2420; 205; 1050; автомат; 4; полный; независимая, пружинная; зависимая, пружинная; дисковые; барабанные; 145; 16.1; АИ-95; переднее, поперечное; 1296; нет; 86 / 63 при 6000; 120 при 3200; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 76 × 71.4
195; Daihatsu YRV  ; 2001 ; 190 000 ; 200 000 ;" Ростов-на-Дону
"; 28 марта;  ; 1.3 л; 90 л.с.; механика; бензин; АИ-92; передний;; Япония; 5; 5; 3765; 1620; 1550; 2355; 165/1075; 910; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные;;; АИ-92; переднее, поперечное; 1297; нет; 90 / 66 при 6000; 123 при 3200; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 72 × 79.7
196; Daihatsu YRV  ; 2001 ; 199 000 ; 240 000 ;" Москва
"; 25 марта;  ; 1.3 л; 140 л.с.; автомат; бензин; АИ-92; передний;; Япония; 5; 5; 3765; 1620; 1550; 2355; 165/1075; 950; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные;;; АИ-92; переднее, поперечное; 1297; турбонаддув; 140 / 103 при 6400; 177 при 3200; рядное; 4; 4; распределенный впрыск (многоточечный); 8.5; 72 × 79.7
