;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
284; SsangYong Kyron I Рестайлинг 6-speed  ; 2014 ; 875 000 ; 55 124 ;" Петрозаводск
"; 14 апреля; 3,9; 2.0 л; 141 л.с.; автомат; дизель; ДТ; полный; 16.2 с; Южная Корея; 5; 5; 4660; 1880; 1755; 2740; 625; 1920; автомат; 6; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 166; 16.2; ДТ; переднее, продольное; 1998; турбонаддув; 141 / 104 при 4000; 310 при 1800 – 2750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 17.5; 86.2 × 85.6
285; SsangYong Actyon II  ; 2013 ; 659 196 ; 40 000 ;" Санкт-Петербург
"; 21 апреля; 4,1; 2.0 л; 149 л.с.; механика; бензин; АИ-95; полный; 11 с; Южная Корея; 5; 5; 4410; 1830; 1675; 2650; 486; 1693; механика; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 163; 11; АИ-95; переднее, поперечное; 1998; нет; 149 / 110 при 6000; 197 при 3500 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 86 × 86
286; SsangYong Actyon II  ; 2011 ; 510 000 ; 59 000 ;" Пенза
"; 13 апреля; 4,1; 2.0 л; 149 л.с.; автомат; дизель; ДТ; полный; 11 с; Южная Корея; 5; 5; 4410; 1830; 1675; 2650; 486; 1767; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 184; 11; ДТ; переднее, поперечное; 1998; турбонаддув; 149 / 110 при 3000 – 4000; 360 при 2000 – 2500; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.5; 86.2 × 85.6
287; SsangYong Kyron I Рестайлинг  ; 2012 ; 620 000 ; 77 309 ;" Тула
"; 14 апреля; 3,9; 2.3 л; 150 л.с.; механика; бензин; АИ-95; полный; 14.2 с; Южная Корея; 5; 5; 4660; 1880; 1755; 2740; 625; 1862; механика; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 168; 14.2; АИ-95; переднее, продольное; 2295; нет; 150 / 110 при 5500; 214 при 3500 – 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.4; 90.9 × 88.4
288; SsangYong Actyon II  ; 2012 ; 629 990 ; 39 110 ;" Великий Новгород
"; 20 апреля; 4,1; 2.0 л; 149 л.с.; механика; бензин; АИ-95; полный; 11 с; Южная Корея; 5; 5; 4410; 1830; 1675; 2650; 486; 1693; механика; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 163; 11; АИ-95; переднее, поперечное; 1998; нет; 149 / 110 при 6000; 197 при 3500 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 86 × 86
289; SsangYong Rexton II  ; 2008 ; 655 000 ; 87 000 ;" Москва
"; 22 апреля; 4,1; 2.7 л; 186 л.с.; автомат; дизель; ДТ; полный; 11.6 с; Южная Корея; 5; 5; 4720; 1870; 1830; 2820; 925/1525; 1995; автомат; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 181; 11.6; ДТ; переднее, продольное; 2696; турбонаддув; 186 / 137 при 4000; 402 при 1600 – 3000; рядное; 5; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 17.5; 86.2 × 92.4
290; SsangYong Kyron I Рестайлинг 5-speed  ; 2008 ; 420 000 ; 175 412 ;" Орёл
"; 13 апреля; 3,9; 2.0 л; 141 л.с.; автомат; дизель; ДТ; полный; 16.2 с; Южная Корея; 5; 5; 4660; 1880; 1755; 2740; 625; 1920; автомат; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 166; 16.2; ДТ; переднее, продольное; 1998; турбонаддув; 141 / 104 при 4000; 310 при 1800 – 2750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 17.5; 86.2 × 85.6
291; SsangYong Kyron I Рестайлинг  ; 2013 ; 639 000 ; 78 000 ;" Казань
"; 14 апреля; 3,9; 2.3 л; 150 л.с.; механика; бензин; АИ-95; полный; 14.2 с; Южная Корея; 5; 5; 4660; 1880; 1755; 2740; 625; 1862; механика; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 168; 14.2; АИ-95; переднее, продольное; 2295; нет; 150 / 110 при 5500; 214 при 3500 – 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.4; 90.9 × 88.4
292; SsangYong Kyron I Рестайлинг  ; 2008 ; 435 000 ; 149 000 ;" Сургут
"; 14 апреля; 3,9; 2.0 л; 141 л.с.; механика; дизель; ДТ; полный; 16.2 с; Южная Корея; 5; 5; 4660; 1880; 1755; 2740; 625; 1893; механика; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 167; 16.2; ДТ; переднее, продольное; 1998; турбонаддув; 141 / 104 при 4000; 310 при 1800 – 2750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 17.5; 86.2 × 85.6
293; SsangYong Rexton II  ; 2007 ; 600 000 ; 139 000 ;" Орёл
"; 22 апреля; 4,1; 2.7 л; 186 л.с.; автомат; дизель; ДТ; полный; 11.6 с; Южная Корея; 5; 5; 4720; 1870; 1830; 2820; 925/1525; 1995; автомат; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 181; 11.6; ДТ; переднее, продольное; 2696; турбонаддув; 186 / 137 при 4000; 402 при 1600 – 3000; рядное; 5; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 17.5; 86.2 × 92.4
294; SsangYong Kyron I Рестайлинг 6-speed  ; 2012 ; 620 000 ; 60 000 ;" Калининград
"; 23 апреля; 3,9; 2.3 л; 150 л.с.; автомат; бензин; АИ-95; полный; 14.4 с; Южная Корея; 5; 5; 4660; 1880; 1755; 2740; 625; 2010; автомат; 6; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 170; 14.4; АИ-95; переднее, продольное; 2295; нет; 150 / 110 при 5500; 214 при 3500 – 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.4; 90.9 × 88.4
295; SsangYong Korando Sports  ; 2012 ;650 000 ; 115 000 ;" Берёзовский
"; 5 сентября 2017;  ; 2.0 л; 155 л.с.; автомат; дизель; ДТ; полный;; Южная Корея; 4; 5; 4990; 1910; 1790; 3060; ; 1860; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 172;; ДТ;; 1998; турбонаддув; 155 / 114 при 4000; 360 при 1500 – 2800; рядное; 4;; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.5; 86.2 × 85.6
296; SsangYong Actyon Sports I  ; 2008 ; 390 000 ; 119 000 ;" Москва
"; 14 апреля; 4,1; 2.0 л; 141 л.с.; автомат; дизель; ДТ; полный; 15 с; Южная Корея; 4; 5; 4965; 1900; 1755; 3060; 750; 1960; автомат; 6; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 165; 15; ДТ; переднее, продольное; 1998; турбонаддув; 141 / 104 при 4000; 310 при 1800 – 2700; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 17.5; 86.2 × 85.6
297; SsangYong Kyron I Рестайлинг  ; 2008 ; 604 000 ; 92 951 ;" Воронеж
"; 20 апреля; 3,9; 2.0 л; 141 л.с.; механика; дизель; ДТ; полный; 16.2 с; Южная Корея; 5; 5; 4660; 1880; 1755; 2740; 625; 1893; механика; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 167; 16.2; ДТ; переднее, продольное; 1998; турбонаддув; 141 / 104 при 4000; 310 при 1800 – 2750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 17.5; 86.2 × 85.6
298; SsangYong Rexton I  ; 2006 ; 289 000 ; 166 300 ;" Воронеж
"; 14 апреля; 4,4; 2.3 л; 140 л.с.; механика; бензин; АИ-95; полный;; Южная Корея; 5; 5, 7; 4720; 1870; 1760; 2820; 500/1920; 1815; механика; 5; полный; независимая, торсионная; независимая, пружинная; дисковые вентилируемые; дисковые; 170;; АИ-95; переднее, продольное; 2295; нет; 140 / 103 при 5250; 209 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.4; 90.9 × 88.4
