;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
386; Jeep Grand Cherokee III (WK)  ; 2005 ; 620 000 ; 192 725 ; 18 марта; 4,4; 4.7 л; 238 л.с.; автомат; бензин; АИ-92; полный; 8.8 с; США; 5; 5; 4750; 1870; 1740; 2780; 978/1909; 2130; автомат; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 201; 8.8; АИ-92; переднее, продольное; 4701; нет; 238 / 175 при 4800; 414 при 3600; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.5; 93 × 86.5
387; Jeep Grand Cherokee IV (WK2)  ; 2013 ; 1 500 000 ; 92 000 ; 18 марта; 4,5; 3.0 л; 243 л.с.; автомат; дизель; ДТ; полный; 8.2 с; США; 5; 5; 4822; 1943; 1781; 2915; 782/1554; 2272; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 202; 8.2; ДТ; переднее, продольное; 2987; турбонаддув; 243 / 179 при 4000; 550 при 1800 – 2800; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 83 × 92
388; Jeep Wrangler III (JK)  ; 2013 ; 1 980 000 ; 53 000 ; 17 марта; 4,0; 3.6 л; 286 л.с.; автомат; бензин; АИ-92; полный; 8.9 с; США; 5; 5; 4751; 1877; 1800; 2947; 498/935; 1995; автомат; 5; полный; зависимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 180; 8.9; АИ-92; переднее, продольное; 3604; нет; 286 / 210 при 6350; 347 при 4300; V-образное; 6; 4; распределенный впрыск (многоточечный);; 
389; Jeep Wrangler III (JK)  ; 2013 ; 1 649 991 ; 41 824 ; 17 марта; 4,0; 3.6 л; 284 л.с.; автомат; бензин; АИ-92; полный; 8.1 с; США; 3; 4; 4223; 1873; 1800; 2424; 141/430; 1828; автомат; 5; полный; зависимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 180; 8.1; АИ-92; переднее, продольное; 3604; нет; 284 / 209 при 6350; 347 при 4300; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.2; 96 × 83
390; Jeep Grand Cherokee IV (WK2)  ; 2011 ; 1 350 000 ; 160 000 ; 16 марта; 4,5; 3.0 л; 243 л.с.; автомат; дизель; ДТ; полный; 8.2 с; США; 5; 5; 4822; 1943; 1781; 2915; 782/1554; 2272; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 202; 8.2; ДТ; переднее, продольное; 2987; турбонаддув; 243 / 179 при 4000; 550 при 1800 – 2800; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 83 × 92
391; Jeep Compass I  ; 2006 ; 330 000 ; 218 000 ; 15 марта; 4,4; 2.4 л; 170 л.с.; вариатор; бензин; АИ-95; полный; 11.3 с; США; 5; 5; 4405; 1810; 1630; 2635; 458/1269; 1480; вариатор;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 185; 11.3; АИ-95; переднее, поперечное; 2360; нет; 170 / 125 при 6000; 220 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 88 × 97
392; Jeep Grand Cherokee IV (WK2)  ; 2012 ; 1 498 000 ; 164 326 ; 14 марта; 4,5; 3.0 л; 243 л.с.; автомат; дизель; ДТ; полный; 8.2 с; США; 5; 5; 4822; 1943; 1781; 2915; 782/1554; 2272; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 202; 8.2; ДТ; переднее, продольное; 2987; турбонаддув; 243 / 179 при 4000; 550 при 1800 – 2800; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 83 × 92
393; Jeep Commander  ; 2008 ; 1 000 000 ; 127 700 ; 13 марта; 4,4; 3.0 л; 218 л.с.; автомат; дизель; ДТ; полный; 9 с; США; 5; 7; 4787; 1900; 1826; 2781; 170/1950; 2280; автомат; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 191; 9; ДТ; переднее, продольное; 2987; турбонаддув; 218 / 160 при 4000; 510 при 1600; V-образное; 6; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18; 83 × 92
394; Jeep Grand Cherokee IV (WK2)  ; 2011 ; 1 050 000 ; 150 000 ; 12 марта; 4,5; 3.6 л; 286 л.с.; автомат; бензин; АИ-95; полный; 9.1 с; США; 5; 5; 4822; 1943; 1781; 2915; 782/1554; 2191; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 206; 9.1; АИ-95; переднее, продольное; 3604; нет; 286 / 210 при 6350; 347 при 4300; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.2; 96 × 83
395; Jeep Cherokee II (XJ)  ; 1987 ; 120 000 ; 133 456 ; 11 марта; 3,6; 4.0 л; 173 л.с.; механика; бензин; АИ-92; полный; 12 с; США; 5; 5; 4322; 1790; 1695; 2678; ; 1340; механика; 5; полный; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 170; 12; АИ-92; переднее, продольное; 3964; нет; 173 / 127 при 4500; 297 при 2600; V-образное; 6; 2; распределенный впрыск (многоточечный);; 
396; Jeep Grand Cherokee III (WK)  ; 2008 ; 880 000 ; 204 000 ; 10 марта; 4,4; 3.0 л; 218 л.с.; автомат; дизель; ДТ; полный; 9 с; США; 5; 5; 4750; 1870; 1740; 2780; 978/1909; 2140; автомат; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 200; 9; ДТ; переднее, продольное; 2987; турбонаддув; 218 / 160 при 4000; 510 при 1600 – 2400; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18; 83 × 92
397; Jeep Wrangler III (JK)  ; 2013 ; 1 900 000 ; 58 000 ; 10 марта; 4,0; 2.8 л; 200 л.с.; механика; дизель; ДТ; полный; 13.1 с; США; 3; 4; 4223; 1873; 1800; 2424; 141/430; 1926; механика; 6; полный; зависимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 169; 13.1; ДТ; переднее, продольное; 2777; турбонаддув; 200 / 147 при 3800; 410 при 2600 – 3200; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.5; 94 × 100
398; Jeep Cherokee V (KL)  ; 2014 ; 1 290 000 ; 26 570 ; 9 марта; 4,5; 2.4 л; 177 л.с.; автомат; бензин; АИ-95; полный; 10.4 с; США; 5; 5; 4623; 1859; 1669; 2699; 591/1267; 1842; автомат; 9; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 187; 10.4; АИ-95; переднее, поперечное; 2360; нет; 177 / 130 при 6400; 229 при 3900; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 88 × 97
399; Jeep Grand Cherokee IV (WK2)  ; 2012 ; 1 400 000 ; 175 000 ; 9 марта; 4,5; 3.6 л; 286 л.с.; автомат; бензин; АИ-95; полный; 9.1 с; США; 5; 5; 4822; 1943; 1781; 2915; 782/1554; 2191; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 206; 9.1; АИ-95; переднее, продольное; 3604; нет; 286 / 210 при 6350; 347 при 4300; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.2; 96 × 83
400; Jeep Cherokee V (KL)  ; 2014 ; 1 499 000 ; 38 000 ; 8 марта; 4,5; 2.4 л; 177 л.с.; автомат; бензин; АИ-95; полный; 10.4 с; США; 5; 5; 4623; 1859; 1669; 2699; 591/1267; 1842; автомат; 9; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 187; 10.4; АИ-95; переднее, поперечное; 2360; нет; 177 / 130 при 6400; 229 при 3900; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 88 × 97
