;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
339; Ford Fusion I Рестайлинг  ; 2007 ; 240 000 ; 140 065 ; 23 апреля; 4,0; 1.4 л; 80 л.с.; робот; бензин; АИ-95; передний; 14 с; США; 5; 5; 4013; 1724; 1543; 2486; 337/1175; 1090; робот; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 163; 14; АИ-95; переднее, поперечное; 1388; нет; 80 / 59 при 5700; 124 при 3500; рядное; 4; 4; распределенный впрыск (многоточечный); 11; 76 × 76.5
340; Ford Focus II Рестайлинг  ; 2010 ; 290 000 ; 148 000 ; 16 апреля; 4,0; 1.6 л; 100 л.с.; механика; бензин; АИ-95; передний; 12 с; США; 4; 5; 4488; 1840; 1497; 2640; 467/931; 1215; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 182; 12; АИ-95; переднее, поперечное; 1596; нет; 100 / 74 при 6000; 143 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 11; 79 × 81.4
341; Ford Fiesta Mk6 Рестайлинг  ; 2016 ; 730 000 ; 4 000 ; 23 апреля; 4,2; 1.6 л; 105 л.с.; робот; бензин; АИ-95; передний; 11.9 с; США; 5; 5; 3969; 1722; 1495; 2489; 295/960; 1111; робот; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 181; 11.9; АИ-95; переднее, поперечное; 1596; нет; 105 / 77 при 6000; 148 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 11; 79 × 81.4
342; Ford Mustang V Рестайлинг  ; 2011 ; 2 100 000 ; 51 000 ; 23 апреля;  ; 3.7 л; 305 л.с.; механика; бензин; АИ-92; задний; 6 с; США; 2; 4; 4778; 1877; 1412; 2720; 379;; механика; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 256; 6; АИ-92; переднее, продольное; 3720; нет; 305 / 224 при 6500; 280 при 4250; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.5; 95.5 × 86.7
343; Ford Focus II Рестайлинг  ; 2010 ; 395 000 ; 106 000 ; 23 апреля; 4,0; 1.6 л; 100 л.с.; механика; бензин; АИ-95; передний; 11.9 с; США; 5; 5; 4342; 1840; 1497; 2640; 282/1144; 1242; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 180; 11.9; АИ-95; переднее, поперечное; 1596; нет; 100 / 74 при 6000; 143 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 11; 79 × 81.4
344; Ford Galaxy II  ; 2006 ; 555 000 ; 179 000 ; 23 апреля; 4,6; 2.0 л; 145 л.с.; механика; бензин; АИ-95; передний; 11.2 с; США; 5; 7; 4820; 1854; 1723; 2850; 308/2325; 1735; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 194; 11.2; АИ-95; переднее, поперечное; 1999; нет; 145 / 107 при 6000; 190 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 87.5 × 83.1
345; Ford Fusion I  ; 2004 ; 234 000 ; 195 000 ; 23 апреля; 4,4; 1.6 л; 101 л.с.; механика; бензин; АИ-95; передний; 10.9 с; США; 5; 5; 4020; 1708; 1503; 2488; 337/1175; 1080; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 178; 10.9; АИ-95; переднее, поперечное; 1596; нет; 101 / 74 при 6000; 143 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
346; Ford Focus III  ; 2012 ; 515 000 ; 74 300 ; 23 апреля; 4,2; 1.6 л; 125 л.с.; робот; бензин; АИ-95; передний; 11.7 с; США; 5; 5; 4358; 1823; 1484; 2648; 277/1062; 1316; робот; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 193; 11.7; АИ-95; переднее, поперечное; 1596; нет; 125 / 92 при 6000; 159 при 4000; рядное; 4; 4; непосредственный впрыск (прямой); 11; 79 × 81.4
347; Ford Mondeo III Рестайлинг  ; 2005 ; 320 000 ; 137 652 ; 22 апреля; 4,7; 2.0 л; 145 л.с.; автомат; бензин; АИ-95; передний; 11.5 с; США; 4; 5; 4731; 1812; 1429; 2754; 500; 1335; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 201; 11.5; АИ-95; переднее, поперечное; 1999; нет; 145 / 107 при 6000; 190 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 87.5 × 83.1
348; Ford Focus III  ; 2015 ; 680 000 ; 40 000 ; 22 апреля; 4,2; 1.6 л; 105 л.с.; робот; бензин; АИ-95; передний; 13.1 с; США; 5; 5; 4358; 1823; 1484; 2648; 277/1062; 1316; робот; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 182; 13.1; АИ-95; переднее, поперечное; 1596; нет; 105 / 77 при 6000; 150 при 4000 – 4500; рядное; 4; 4; непосредственный впрыск (прямой); 11; 79 × 81.4
349; Ford Focus III  ; 2015 ; 628 000 ; 25 333 ; 22 апреля; 4,2; 1.6 л; 105 л.с.; робот; бензин; АИ-95; передний; 13.3 с; США; 5; 5; 4556; 1823; 1505; 2648; 476/1502; 1340; робот; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 182; 13.3; АИ-95; переднее, поперечное; 1596; нет; 105 / 77 при 6000; 150 при 4000 – 4500; рядное; 4; 4; непосредственный впрыск (прямой); 11; 79 × 81.4
350; Ford Focus III  ; 2014 ; 549 000 ; 43 317 ; 22 апреля; 4,2; 1.6 л; 125 л.с.; робот; бензин; АИ-95; передний; 11.8 с; США; 4; 5; 4534; 1823; 1484; 2648; 372; 1324; робот; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 195; 11.8; АИ-95; переднее, поперечное; 1596; нет; 125 / 92 при 6000; 159 при 4000; рядное; 4; 4; непосредственный впрыск (прямой); 11; 79 × 81.4
351; Ford Focus III  ; 2013 ; 499 000 ; 38 000 ; 22 апреля; 4,2; 1.6 л; 105 л.с.; механика; бензин; АИ-95; передний; 12.4 с; США; 4; 5; 4534; 1823; 1484; 2648; 372; 1290; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 189; 12.4; АИ-95; переднее, поперечное; 1596; нет; 105 / 77 при 6000; 150 при 4000 – 4500; рядное; 4; 4; непосредственный впрыск (прямой); 11; 79 × 81.4
352; Ford Focus II Рестайлинг  ; 2008 ; 300 000 ; 140 000 ; 22 апреля; 4,0; 1.6 л; 100 л.с.; механика; бензин; АИ-95; передний; 11.9 с; США; 5; 5; 4342; 1840; 1497; 2640; 282/1144; 1242; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 180; 11.9; АИ-95; переднее, поперечное; 1596; нет; 100 / 74 при 6000; 143 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 11; 79 × 81.4
353; Ford Focus I Рестайлинг  ; 2001 ; 240 000 ; 123 554 ; 22 апреля; 3,7; 2.0 л; 130 л.с.; автомат; бензин; АИ-95; передний; 10.6 с; США; 4; 5; 4362; 1698; 1430; 2615; 490; 1235; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 197; 10.6; АИ-95; переднее, поперечное; 1988; нет; 130 / 96 при 5500; 160 при 4400; рядное; 4; 4; распределенный впрыск (многоточечный);; 
354; Ford Focus III  ; 2012 ; 430 000 ; 98 000 ; 22 апреля; 4,2; 1.6 л; 105 л.с.; механика; бензин; АИ-95; передний; 12.5 с; США; 5; 5; 4556; 1823; 1505; 2648; 476/1502; 1307; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 187; 12.5; АИ-95; переднее, поперечное; 1596; нет; 105 / 77 при 6000; 150 при 4000 – 4500; рядное; 4; 4; непосредственный впрыск (прямой); 11; 79 × 81.4
