;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
308; Fiat Sedici  ; 2008 ; 440 000 ; 120 000 ; 13 марта;  ; 1.6 л; 107 л.с.; автомат; бензин; АИ-95; передний; 12.3 с; Италия; 5; 5; 4115; 1755; 1620; 2500; 270/670; 1175; автомат; 4; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 180; 12.3; АИ-95; переднее, продольное; 1586; нет; 107 / 79 при 5600; 145 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 78 × 83
309; Fiat Punto I  ; 1999 ; 71 000 ; 260 000 ; 13 марта; 4,0; 1.1 л; 55 л.с.; механика; бензин; АИ-95; передний; 16.5 с; Италия; 5; 5; 3760; 1625; 1460; 2450; 275/1080; 842; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 150; 16.5; АИ-95; переднее, поперечное; 1108; нет; 55 / 40 при 5500; 85 при 3500; рядное; 4; 2; центральный впрыск (моновпрыск или одноточечный); 9.6; 70 × 72
310; Fiat Punto III Grande Punto  ; 2007 ; 230 000 ; 110 000 ; 12 марта; 4,3; 1.4 л; 77 л.с.; механика; бензин; АИ-95; передний; 13.2 с; Италия; 3; 5; 4030; 1687; 1490; 2510; 275/1030; 1040; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 165; 13.2; АИ-95; переднее, поперечное; 1368; нет; 77 / 57 при 6000; 115 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 11; 72 × 84
311; Fiat Doblo I Рестайлинг  ; 2011 ; 370 000 ; 113 000 ; 12 марта; 3,5; 1.4 л; 77 л.с.; механика; бензин; АИ-95; передний; 17 с; Италия; 5; 5; 4253; 1722; 1818; 2583; 750/3000; 1235; механика; 5; передний; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; барабанные; 148; 17; АИ-95; переднее, поперечное; 1368; нет; 77 / 57 при 6000; 115 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 11.1; 72 × 84
312; Fiat Albea I Рестайлинг  ; 2010 ; 190 000 ; 125 000 ; 11 марта; 4,0; 1.4 л; 77 л.с.; механика; бензин; АИ-95; передний; 13.5 с; Италия; 4; 5; 4186; 1703; 1490; 2439; 515; 1015; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 162; 13.5; АИ-95; переднее, поперечное; 1368; нет; 77 / 57 при 6000; 115 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 11.7; 72 × 84
313; Fiat Fiorino III  ; 2008 ; 330 000 ; 173 000 ; 11 марта;  ; 1.3 л; 75 л.с.; робот; дизель; ДТ; передний;; Италия; 5; 5; 4159; 1622; 1904; 2581; ; 1260; робот; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 155;; ДТ;; 1248; турбонаддув; 75 / 55 при 4000; 190 при 1750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 17.6; 69.6 × 82
314; Fiat Doblo I  ; 2002 ; 200 000 ; 100 000 ; 11 марта; 4,1; 1.2 л; 65 л.с.; механика; бензин; АИ-95; передний; 18.9 с; Италия; 5; 5; 4158; 1715; 1801; 2565; 750; 1405; механика; 5; передний; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; барабанные; 142; 18.9; АИ-95;; 1242; нет; 65 / 48 при 5500; 102 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 11; 70.8 × 78.9
315; Fiat Linea  ; 2012 ; 380 000 ; 76 000 ; 10 марта; 4,4; 1.4 л; 77 л.с.; механика; бензин; АИ-95; передний; 14.6 с; Италия; 4; 5; 4560; 1730; 1494; 2603; 500; 1160; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 165; 14.6; АИ-95; переднее, поперечное; 1368; нет; 77 / 57 при 6000; 115 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 11; 72 × 84
316; Fiat 500 II  ; 2008 ; 405 000 ; 61 500 ; 10 марта; 4,5; 1.4 л; 100 л.с.; механика; бензин; АИ-95; передний; 10.5 с; Италия; 3; 4; 3546; 1627; 1488; 2300; 185/550; 1005; механика; 6; передний; независимая, пружинная; полунезависимая, торсионная; дисковые; дисковые; 182; 10.5; АИ-95; переднее, поперечное; 1368; нет; 100 / 74 при 6000; 131 при 4250; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 72 × 84
317; Fiat Albea I Рестайлинг  ; 2012 ; 310 000 ; 65 000 ; 10 марта; 4,0; 1.4 л; 77 л.с.; механика; бензин; АИ-95; передний; 13.5 с; Италия; 4; 5; 4186; 1703; 1490; 2439; 515; 1015; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 162; 13.5; АИ-95; переднее, поперечное; 1368; нет; 77 / 57 при 6000; 115 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 11.7; 72 × 84
