;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
238; Renault Scenic II Рестайлинг  ; 2007 ; 305 000 ; 239 700 ; 23 апреля;  ; 1.6 л; 115 л.с.; автомат; бензин; АИ-95; передний; 14.3 с; Франция; 5; 5; 4264; 1805; 1621; 2685; 406/1840; 1370; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; дисковые; 175; 14.3; АИ-95; переднее, поперечное; 1598; нет; 115 / 82 при 6000; 152 при 4250; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 79.5 × 80.5
239; Renault Duster I  ; 2013 ; 555 000 ; 71 039 ; 23 апреля; 4,1; 2.0 л; 135 л.с.; автомат; бензин; АИ-95; передний; 11.2 с; Франция; 5; 5; 4315; 1822; 1625; 2673; 408/1570; 1299; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 168; 11.2; АИ-95; переднее, поперечное; 1998; нет; 135 / 99 при 5500; 195 при 3750; рядное; 4; 4; распределенный впрыск (многоточечный); 11.05; 82.7 × 93
240; Renault Logan I Рестайлинг  ; 2010 ; 250 000 ; 91 000 ; 10 марта; 3,9; 1.4 л; 75 л.с.; механика; бензин; АИ-92; передний; 13 с; Франция; 4; 5; 4288; 1740; 1534; 2630; 510; 975; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 162; 13; АИ-92; переднее, поперечное; 1390; нет; 75 / 55 при 5500; 112 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.5; 79.5 × 70
241; Renault Logan I Рестайлинг  ; 2012 ; 230 000 ; 181 000 ; 23 апреля; 3,9; 1.4 л; 75 л.с.; механика; бензин; АИ-92; передний; 13 с; Франция; 4; 5; 4288; 1740; 1534; 2630; 510; 975; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 162; 13; АИ-92; переднее, поперечное; 1390; нет; 75 / 55 при 5500; 112 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.5; 79.5 × 70
242; Renault Sandero I Stepway  ; 2014 ; 450 000 ; 74 500 ; 14 апреля; 4,0; 1.6 л; 103 л.с.; автомат; бензин; АИ-95; передний; 12.4 с; Франция; 5; 5; 4024; 1746; 1550; 2588; 320/1200; 1138; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 171; 12.4; АИ-95; переднее, поперечное; 1598; нет; 103 / 76 при 5750; 147 при 3750; рядное; 4; 4; распределенный впрыск (многоточечный); 9.8; 79.5 × 80.5
243; Renault Symbol ll  ; 2008 ; 219 000 ; 113 491 ; 10 сентября 2017; 4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
244; Renault Kangoo II  ; 2012 ; 510 000 ; 90 767 ; 23 апреля; 4,2; 1.6 л; 84 л.с.; механика; бензин; АИ-95; передний; 15.8 с; Франция; 5; 5; 4213; 2133; 1882; 2697; 660/1521; 1337; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 158; 15.8; АИ-95; переднее, поперечное; 1598; нет; 84 / 62 при 5500; 128 при 3750; рядное; 4; 2; распределенный впрыск (многоточечный); 9.5; 79.5 × 80.5
245; Renault Espace IV Рестайлинг  ; 2010 ; 690 000 ; 175 000 ; 15 февраля; 4,8; 2.0 л; 150 л.с.; механика; дизель; ДТ; передний; 10.6 с; Франция; 5; 5, 7; 4656; 1860; 1728; 2803; 291/2860; 1780; механика; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 194; 10.6; ДТ; переднее, поперечное; 1995; турбонаддув; 150 / 110 при 4000; 340 при 2000; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 84 × 90
246; Renault Logan I  ; 2007 ; 238 000 ; 120 000 ; 23 апреля; 3,7; 1.6 л; 87 л.с.; механика; бензин; АИ-95; передний; 11.5 с; Франция; 4; 5; 4250; 1735; 1525; 2630; 510; 980; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 175; 11.5; АИ-95; переднее, поперечное; 1598; нет; 87 / 64 при 5500; 128 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.5; 79.5 × 80.5
247; Renault 19 II  ; 1994 ; 130 000 ; 399 500 ; 23 апреля; 3,3; 1.4 л; 80 л.с.; механика; бензин; АИ-95; передний; 12.2 с; Франция; 4; 5; 4249; 1699; 1410; 2540; 464; 948; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 173; 12.2; АИ-95; переднее, поперечное; 1390; нет; 80 / 59 при 6000; 107 при 3500; рядное; 4; 2; центральный впрыск (моновпрыск или одноточечный); 9.5; 75.8 × 77
248; Renault Megane III  ; 2010 ; 370 000 ; 21 324 ; 23 апреля; 4,5; 1.5 л; 110 л.с.; механика; дизель; ДТ; передний; 12.6 с; Франция; 5; 5; 4559; 1804; 1469; 2701; ; 1302; механика; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 190; 12.6; ДТ; переднее, поперечное; 1461; турбонаддув; 110 / 81 при 4000; 240 при 1750; рядное; 4; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 76 × 80.5
249; Renault Sandero I  ; 2013 ; 389 000 ; 60 562 ; 23 апреля; 4,0; 1.6 л; 84 л.с.; механика; бензин; АИ-95; передний; 11.5 с; Франция; 5; 5; 4020; 1746; 1534; 2588; 320/1200; 1048; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 175; 11.5; АИ-95; переднее, поперечное; 1598; нет; 84 / 62 при 5500; 124 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.5; 79.5 × 80.5
250; Renault Sandero I Stepway  ; 2012 ; 425 000 ; 64 551 ; 23 апреля; 4,0; 1.6 л; 103 л.с.; автомат; бензин; АИ-95; передний; 12.4 с; Франция; 5; 5; 4024; 1746; 1550; 2588; 320/1200; 1138; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 171; 12.4; АИ-95; переднее, поперечное; 1598; нет; 103 / 76 при 5750; 147 при 3750; рядное; 4; 4; распределенный впрыск (многоточечный); 9.8; 79.5 × 80.5
251; Renault Clio III Рестайлинг  ; 2010 ; 395 000 ; 110 000 ; 23 апреля;  ; 1.5 л; 86 л.с.; механика; дизель; ДТ; передний;; Франция; 5; 5; 4202; 1707; 1497; 2575; ;; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные;;; ДТ; переднее, поперечное; 1461; турбонаддув; 86 / 63 при 3750; 200 при 1900; рядное; 4; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 17.9; 76 × 80.5
252; Renault Duster I  ; 2013 ; 495 000 ; 58 000 ; 23 апреля; 4,1; 1.6 л; 102 л.с.; механика; бензин; АИ-95; передний; 11.8 с; Франция; 5; 5; 4315; 1822; 1625; 2673; 408/1570; 1205; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 163; 11.8; АИ-95; переднее, поперечное; 1598; нет; 102 / 75 при 5750; 145 при 3750; рядное; 4; 4; распределенный впрыск (многоточечный); 9.8; 79.5 × 80.5
253; Renault Fluence I  ; 2011 ; 380 000 ; 132 000 ; 2 апреля; 4,4; 2.0 л; 138 л.с.; вариатор; бензин; АИ-95; передний; 10.1 с; Франция; 4; 5; 4618; 1809; 1479; 2702; 530; 1323; вариатор;; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 195; 10.1; АИ-95; переднее, поперечное; 1997; нет; 138 / 101 при 6000; 190 при 3700; рядное; 4; 4; распределенный впрыск (многоточечный); 10.2; 84 × 90.1
254; Renault Megane II  ; 2006 ; 260 000 ; 180 000 ; 23 апреля; 4,4; 2.0 л; 136 л.с.; автомат; бензин; АИ-95; передний; 11.1 с; Франция; 4; 5; 4498; 1777; 1465; 2686; 520; 1275; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 195; 11.1; АИ-95; переднее, поперечное; 1998; нет; 136 / 100 при 5500; 191 при 3750; рядное; 4; 4; распределенный впрыск (многоточечный); 9.8; 82.7 × 93
255; Renault Scenic III  ; 2010 ; 418 000 ; 143 000 ; 23 апреля; 4,4; 1.5 л; 105 л.с.; механика; дизель; ДТ; передний; 12.3 с; Франция; 5; 5; 4344; 1845; 1637; 2702; 437/522; 1420; механика; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 180; 12.3; ДТ; переднее, поперечное; 1461; турбонаддув; 105 / 77 при 4000; 240 при 2000 – 2500; рядное; 4; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 15.3; 76 × 80.5
256; Renault Duster I  ; 2014 ; 639 000 ; 88 000 ; 23 апреля; 4,1; 2.0 л; 135 л.с.; автомат; бензин; АИ-95; полный; 11.7 с; Франция; 5; 5; 4315; 1822; 1625; 2673; 408/1570; 1400; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 172; 11.7; АИ-95; переднее, поперечное; 1998; нет; 135 / 99 при 5500; 195 при 3750; рядное; 4; 4; распределенный впрыск (многоточечный); 11.05; 82.7 × 93
257; Renault Sandero I  ; 2011 ; 365 000 ; 80 000 ; 23 апреля; 4,0; 1.6 л; 84 л.с.; механика; бензин; АИ-95; передний; 11.5 с; Франция; 5; 5; 4020; 1746; 1534; 2588; 320/1200; 1048; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 175; 11.5; АИ-95; переднее, поперечное; 1598; нет; 84 / 62 при 5500; 124 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.5; 79.5 × 80.5
258; Renault Logan I Рестайлинг  ; 2014 ; 330 000 ; 71 150 ; 23 апреля; 3,9; 1.4 л; 75 л.с.; механика; бензин; АИ-92; передний; 13 с; Франция; 4; 5; 4288; 1740; 1534; 2630; 510; 975; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 162; 13; АИ-92; переднее, поперечное; 1390; нет; 75 / 55 при 5500; 112 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.5; 79.5 × 70
259; Renault Megane III  ; 2011 ; 420 000 ; 117 176 ; 23 апреля; 4,5; 1.6 л; 106 л.с.; автомат; бензин; АИ-95; передний; 13.9 с; Франция; 5; 5; 4292; 1808; 1471; 2641; 368; 1288; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 180; 13.9; АИ-95; переднее, поперечное; 1598; нет; 106 / 78 при 6000; 145 при 4250; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 79.5 × 80.5
260; Renault Fluence I Рестайлинг  ; 2014 ; 490 000 ; 72 020 ; 23 апреля; 4,0; 1.6 л; 114 л.с.; вариатор; бензин; АИ-95; передний; 11.9 с; Франция; 4; 5; 4622; 1809; 1479; 2703; 530; 1285; вариатор;; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 175; 11.9; АИ-95; переднее, поперечное; 1598; нет; 114 / 84 при 6000; 155 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.7; 78 × 83.6
