;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; DongFeng H30 Cross  ; 2016 ; 500 000 ; 72 000 ; 23 апреля;  ; 1.6 л; 117 л.с.; автомат; бензин; АИ-95; передний;; Китай; 5; 5; 4351; 1760; 1528; 2610; 417/1137; 1240; автомат; 4; передний; независимая, пружинная; независимая, торсионная; дисковые вентилируемые; дисковые; 180;; АИ-95; переднее, поперечное; 1556; нет; 117 / 86 при 6000; 153 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
2; DongFeng H30 Cross  ; 2016 ; 670 000 ; 22 000 ; 23 апреля;  ; 1.6 л; 117 л.с.; автомат; бензин; АИ-95; передний;; Китай; 5; 5; 4351; 1760; 1528; 2610; 417/1137; 1240; автомат; 4; передний; независимая, пружинная; независимая, торсионная; дисковые вентилируемые; дисковые; 180;; АИ-95; переднее, поперечное; 1556; нет; 117 / 86 при 6000; 153 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
3; DongFeng AX7 I  ; 2018 ; 1 179 000 ; Нов; 23 апреля;  ; 2.0 л; 140 л.с.; автомат; бензин; АИ-95; передний;; Китай; 5; 5; 4690; 1850; 1727; 2712; 565/1572; 1625; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 180;; АИ-95; переднее, поперечное; 1997; нет; 140 / 103 при 6000; 200 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
4; DongFeng AX7 I  ; 2018 ; 1 279 000 ; Нов; 23 апреля;  ; 2.0 л; 140 л.с.; автомат; бензин; АИ-95; передний;; Китай; 5; 5; 4690; 1850; 1727; 2712; 565/1572; 1625; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 180;; АИ-95; переднее, поперечное; 1997; нет; 140 / 103 при 6000; 200 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
5; DongFeng H30 Cross  ; 2015 ; 488 000 ; 4 134 ; 19 апреля;  ; 1.6 л; 117 л.с.; автомат; бензин; АИ-95; передний;; Китай; 5; 5; 4351; 1760; 1528; 2610; 417/1137; 1240; автомат; 4; передний; независимая, пружинная; независимая, торсионная; дисковые вентилируемые; дисковые; 180;; АИ-95; переднее, поперечное; 1556; нет; 117 / 86 при 6000; 153 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
6; DongFeng H30 Cross  ; 2015 ; 430 000 ; 88 000 ; 23 апреля;  ; 1.6 л; 117 л.с.; автомат; бензин; АИ-95; передний;; Китай; 5; 5; 4351; 1760; 1528; 2610; 417/1137; 1240; автомат; 4; передний; независимая, пружинная; независимая, торсионная; дисковые вентилируемые; дисковые; 180;; АИ-95; переднее, поперечное; 1556; нет; 117 / 86 при 6000; 153 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
7; DongFeng H30 Cross  ; 2016 ; 530 000 ; 35 000 ; 22 апреля;  ; 1.6 л; 117 л.с.; автомат; бензин; АИ-95; передний;; Китай; 5; 5; 4351; 1760; 1528; 2610; 417/1137; 1240; автомат; 4; передний; независимая, пружинная; независимая, торсионная; дисковые вентилируемые; дисковые; 180;; АИ-95; переднее, поперечное; 1556; нет; 117 / 86 при 6000; 153 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
8; DongFeng H30 Cross  ; 2015 ; 500 000 ; 13 000 ; 20 апреля;  ; 1.6 л; 117 л.с.; автомат; бензин; АИ-95; передний;; Китай; 5; 5; 4351; 1760; 1528; 2610; 417/1137; 1240; автомат; 4; передний; независимая, пружинная; независимая, торсионная; дисковые вентилируемые; дисковые; 180;; АИ-95; переднее, поперечное; 1556; нет; 117 / 86 при 6000; 153 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
9; DongFeng H30 Cross  ; 2015 ; 489 000 ; 50 000 ; 22 апреля;  ; 1.6 л; 117 л.с.; автомат; бензин; АИ-95; передний;; Китай; 5; 5; 4351; 1760; 1528; 2610; 417/1137; 1240; автомат; 4; передний; независимая, пружинная; независимая, торсионная; дисковые вентилируемые; дисковые; 180;; АИ-95; переднее, поперечное; 1556; нет; 117 / 86 при 6000; 153 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
10; DongFeng S30  ; 2015 ; 424 000 ; 49 578 ; 12 апреля;  ; 1.6 л; 117 л.с.; автомат; бензин; АИ-95; передний; 12.5 с; Китай; 4; 5; 4526; 1740; 1465; 2610; 487; 1220; автомат; 4; передний; независимая, пружинная; независимая, торсионная; дисковые вентилируемые; дисковые; 180; 12.5; АИ-95; переднее, поперечное; 1556; нет; 117 / 86 при 6000; 153 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
11; DongFeng S30  ; 2015 ; 488 000 ; 16 167 ; 11 апреля;  ; 1.6 л; 117 л.с.; автомат; бензин; АИ-95; передний; 12.5 с; Китай; 4; 5; 4526; 1740; 1465; 2610; 487; 1220; автомат; 4; передний; независимая, пружинная; независимая, торсионная; дисковые вентилируемые; дисковые; 180; 12.5; АИ-95; переднее, поперечное; 1556; нет; 117 / 86 при 6000; 153 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
12; DongFeng AX7 I  ; 2017 ; 1 279 000 ; Нов; 17 апреля;  ; 2.0 л; 140 л.с.; автомат; бензин; АИ-95; передний;; Китай; 5; 5; 4690; 1850; 1727; 2712; 565/1572; 1625; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 180;; АИ-95; переднее, поперечное; 1997; нет; 140 / 103 при 6000; 200 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
13; DongFeng H30 Cross  ; 2015 ; 500 000 ; 9 500 ; 22 апреля;  ; 1.6 л; 117 л.с.; механика; бензин; АИ-95; передний; 11 с; Китай; 5; 5; 4351; 1760; 1528; 2610; 417/1137; 1220; механика; 5; передний; независимая, пружинная; независимая, торсионная; дисковые вентилируемые; дисковые; 183; 11; АИ-95; переднее, поперечное; 1556; нет; 117 / 86 при 6000; 153 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
14; DongFeng H30 Cross  ; 2015 ; 385 000 ; 121 000 ; 3 апреля;  ; 1.6 л; 117 л.с.; автомат; бензин; АИ-95; передний;; Китай; 5; 5; 4351; 1760; 1528; 2610; 417/1137; 1240; автомат; 4; передний; независимая, пружинная; независимая, торсионная; дисковые вентилируемые; дисковые; 180;; АИ-95; переднее, поперечное; 1556; нет; 117 / 86 при 6000; 153 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
15; DongFeng H30 Cross  ; 2014 ; 390 000 ; 57 089 ; 15 апреля;  ; 1.6 л; 117 л.с.; автомат; бензин; АИ-95; передний;; Китай; 5; 5; 4351; 1760; 1528; 2610; 417/1137; 1240; автомат; 4; передний; независимая, пружинная; независимая, торсионная; дисковые вентилируемые; дисковые; 180;; АИ-95; переднее, поперечное; 1556; нет; 117 / 86 при 6000; 153 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
16; DongFeng S30  ; 2015 ; 460 000 ; 31 000 ; 17 марта;  ; 1.6 л; 117 л.с.; автомат; бензин; АИ-95; передний; 12.5 с; Китай; 4; 5; 4526; 1740; 1465; 2610; 487; 1220; автомат; 4; передний; независимая, пружинная; независимая, торсионная; дисковые вентилируемые; дисковые; 180; 12.5; АИ-95; переднее, поперечное; 1556; нет; 117 / 86 при 6000; 153 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
17; DongFeng H30 Cross  ; 2015 ; 485 000 ; 25 000 ; 1 февраля;  ; 1.6 л; 117 л.с.; автомат; бензин; АИ-95; передний;; Китай; 5; 5; 4351; 1760; 1528; 2610; 417/1137; 1240; автомат; 4; передний; независимая, пружинная; независимая, торсионная; дисковые вентилируемые; дисковые; 180;; АИ-95; переднее, поперечное; 1556; нет; 117 / 86 при 6000; 153 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
18; DongFeng H30 Cross  ; 2016 ; 730 000 ; 2 300 ; 14 декабря 2017;  ; 1.6 л; 117 л.с.; автомат; бензин; АИ-95; передний;; Китай; 5; 5; 4351; 1760; 1528; 2610; 417/1137; 1240; автомат; 4; передний; независимая, пружинная; независимая, торсионная; дисковые вентилируемые; дисковые; 180;; АИ-95; переднее, поперечное; 1556; нет; 117 / 86 при 6000; 153 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
19; DongFeng H30 Cross  ; 2015 ; 473 000 ; 66 000 ; 26 марта;  ; 1.6 л; 117 л.с.; механика; бензин; АИ-95; передний; 11 с; Китай; 5; 5; 4351; 1760; 1528; 2610; 417/1137; 1220; механика; 5; передний; независимая, пружинная; независимая, торсионная; дисковые вентилируемые; дисковые; 183; 11; АИ-95; переднее, поперечное; 1556; нет; 117 / 86 при 6000; 153 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
