;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
104; Lincoln MKZ II  ; 2013 ; 1 600 000 ; 47 000 ; 18 декабря 2017;  ; 3.7 л; 300 л.с.; автомат; бензин; АИ-95; полный; 6.7 с; США; 4; 5; 4930; 1864; 1478; 2850; 436; 1815; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 248; 6.7; АИ-95; переднее, поперечное; 3726; нет; 300 / 221 при 6500; 376 при 4000; V-образное; 6; 4; распределенный впрыск (многоточечный);; 
105; Lincoln Navigator I  ; 1997 ; 330 000 ; 240 000 ; 13 декабря 2017; 4,9; 5.4 л; 232 л.с.; автомат; бензин; АИ-92; полный;; США; 5; 5, 8; 5200; 2030; 1850; 3025; 878/3295; 2520; автомат; 4; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые; дисковые; 190;; АИ-92; переднее, продольное; 5408; нет; 232 / 171 при 4250; 441 при 3000; V-образное; 8;; распределенный впрыск (многоточечный); 9.1; 90.2 × 105.7
106; Lincoln Town Car II  ; 1993 ; 450 000 ; 270 000 ; 5 декабря 2017; 4,5; 4.6 л; 190 л.с.; автомат; бензин; АИ-92; задний;; США; 4; 6; 5560; 1953; 1440; 2982; ; 1800; автомат; 4; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-92; переднее, продольное; 4601; нет; 190 / 140 при 4500; 359 при 3250; V-образное; 8; 2; распределенный впрыск (многоточечный); 9; 101.6 × 76.2
107; Lincoln Navigator I  ; 1999 ; 350 000 ; 450 000 ; 19 ноября 2017; 4,9; 5.4 л; 264 л.с.; автомат; бензин; АИ-92; полный; 10.3 с; США; 5; 5, 8; 5200; 2030; 1850; 3025; 878/3295; 2520; автомат; 4; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые; дисковые; 190; 10.3; АИ-92;; 5408; нет; 264 / 194 при 4500; 474 при 2500; V-образное; 8; 4; распределенный впрыск (многоточечный); 9; 90.2 × 105.7
108; Lincoln Navigator I  ; 2000 ; 500 000 ; 90 000 ; 9 сентября 2017; 4,9; 5.4 л; 232 л.с.; автомат; бензин; АИ-92; полный;; США; 5; 5, 8; 5200; 2030; 1850; 3025; 878/3295; 2520; автомат; 4; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые; дисковые; 190;; АИ-92; переднее, продольное; 5408; нет; 232 / 171 при 4250; 441 при 3000; V-образное; 8;; распределенный впрыск (многоточечный); 9.1; 90.2 × 105.7
109; Lincoln MKZ II  ; 2013 ; 1 266 193 ; 102 000 ; 3 сентября 2017;  ; 2.0 л; 141 л.с.; вариатор; гибрид; АИ-95; передний;; США; 4; 5; 4930; 1864; 1478; 2850; 436; 1736; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые;;; АИ-95; переднее, поперечное; 1999; нет; 141 / 104 при 6000; 175 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
110; Lincoln Navigator II  ; 2003 ; 450 000 ; 250 000 ; 16 августа 2017; 4,6; 5.4 л; 304 л.с.; автомат; бензин; АИ-92; полный; 9.3 с; США; 5; 5, 8; 5232; 2038; 1980; 3020; 507/2965; 2705; автомат; 4; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 170; 9.3; АИ-92; переднее, продольное; 5398; нет; 304 / 224 при 5000; 481 при 2750; V-образное; 8; 3; распределенный впрыск (многоточечный); 9.5; 90.2 × 105.7
111; Lincoln Navigator II  ; 2003 ; 750 000 ; 275 000 ; 25 апреля 2017; 4,6; 5.4 л; 304 л.с.; автомат; бензин; АИ-92; полный; 9.3 с; США; 5; 5, 8; 5232; 2038; 1980; 3020; 507/2965; 2705; автомат; 4; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 170; 9.3; АИ-92; переднее, продольное; 5398; нет; 304 / 224 при 5000; 481 при 2750; V-образное; 8; 3; распределенный впрыск (многоточечный); 9.5; 90.2 × 105.7
112; Lincoln Town Car III  ; 2001 ; 399 000 ; 100 000 ; 8 апреля 2017;  ; 4.6 л; 208 л.с.; автомат; бензин; АИ-92; задний; 9.5 с; США; 4; 6; 5470; 1985; 1470; 2990; 583; 1820; автомат; 4; задний; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 180; 9.5; АИ-92; переднее, продольное; 4601; нет; 208 / 152 при 4500; 380 при 3000; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.4; 90.2 × 90
113; Lincoln Town Car III Рестайлинг  ; 2003 ; 650 000 ; 176 000 ; 4 марта;  ; 4.6 л; 242 л.с.; автомат; бензин; АИ-92; задний; 9.5 с; США; 4; 6; 5490; 1985; 1470; 2990; 595; 1990; автомат; 4; задний; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 177; 9.5; АИ-92; переднее, продольное; 4601; нет; 242 / 178 при 4900; 389 при 4100; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.4; 90.2 × 90
114; Lincoln Town Car III Рестайлинг  ; 2003 ; 400 000 ; 250 000 ; 31 января;  ; 4.6 л; 242 л.с.; автомат; бензин; АИ-92; задний; 9.5 с; США; 4; 6; 5490; 1985; 1470; 2990; 595; 1990; автомат; 4; задний; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 177; 9.5; АИ-92; переднее, продольное; 4601; нет; 242 / 178 при 4900; 389 при 4100; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.4; 90.2 × 90
115; Lincoln Town Car III  ; 1998 ; 545 000 ; 150 000 ; 27 сентября 2017;  ; 4.6 л; 239 л.с.; автомат; бензин; АИ-92; задний; 9.5 с; США; 4; 6; 5470; 1985; 1470; 2990; 583; 1980; автомат; 4; задний; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 180; 9.5; АИ-92; переднее, продольное; 4601; нет; 239 / 176 при 4900; 389 при 4100; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.4; 90.2 × 90
116; Lincoln MKS I  ; 2009 ; 1 480 000 ; 115 000 ; 26 сентября 2017;  ; 3.7 л; 274 л.с.; автомат; бензин;; полный; 7.4 с; США; 4; 5; 5184; 1928; 1565; 2868; 530;; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 239; 7.4;;; 3726; нет; 274 / 202 при 6250; 270 при 4250; V-образное; 6; 4; распределенный впрыск (многоточечный);; 
117; Lincoln Continental V  ; 1977 ; 6 100 000 ; 24 000 ; 6 сентября 2017;  ; 7.5 л; 365 л.с.; автомат; бензин;; задний;; США; 2; 5; 5794; 2027; 1359; 3058; ;; автомат; 3; задний; независимая, пружинная;; дисковые;;;;;; 7500;; 365 / 268 при —;; V-образное; 8;;;; 
118; Lincoln Town Car II  ; 1989 ; 430 000 ; 150 000 ; 10 марта 2017; 4,5; 5.0 л; 150 л.с.; автомат; бензин; АИ-92; задний;; США; 4; 6; 5560; 1953; 1440; 2982; ;; автомат; 4; задний; независимая, пружинная; зависимая, пневмоэлемент; дисковые вентилируемые; дисковые;;; АИ-92;; 4949; нет; 150 / 110 при —; 370 при 2000; V-образное; 8; 2; распределенный впрыск (многоточечный); 9; 101.6 × 76.2
119; Lincoln Town Car II  ; 1990 ; 500 000 ; 120 000 ; 8 октября 2014; 4,5; 5.0 л; 150 л.с.; автомат; бензин; АИ-92; задний;; США; 4; 6; 5560; 1953; 1440; 2982; ;; автомат; 4; задний; независимая, пружинная; зависимая, пневмоэлемент; дисковые вентилируемые; дисковые;;; АИ-92;; 4949; нет; 150 / 110 при —; 370 при 2000; V-образное; 8; 2; распределенный впрыск (многоточечный); 9; 101.6 × 76.2
120; Lincoln Town Car III  ; 1998 ; 870 000 ; 290 000 ; 15 сентября 2014;  ; 4.6 л; 223 л.с.; автомат; бензин; АИ-92; задний; 9.5 с; США; 4; 6; 5470; 1985; 1470; 2990; 583; 1950; автомат; 4; задний; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 180; 9.5; АИ-92; переднее, продольное; 4601; нет; 223 / 164 при 4750; 360 при 3000; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.4; 90.2 × 90
121; Lincoln Town Car II  ; 1994 ; 280 000 ; 220 000 ; 16 апреля; 4,5; 4.6 л; 210 л.с.; автомат; бензин; АИ-92; задний;; США; 4; 6; 5560; 1953; 1440; 2982; ;; автомат; 4; задний; независимая, пружинная; зависимая, пневмоэлемент; дисковые вентилируемые; дисковые;;; АИ-92;; 4601; нет; 210 / 154 при —; 373 при 3250; V-образное; 8; 2;;; 
122; Lincoln Town Car II  ; 1995 ; 340 000 ; 265 000 ; 7 апреля; 4,5; 4.6 л; 210 л.с.; автомат; бензин; АИ-92; задний;; США; 4; 6; 5560; 1953; 1440; 2982; ;; автомат; 4; задний; независимая, пружинная; зависимая, пневмоэлемент; дисковые вентилируемые; дисковые;;; АИ-92;; 4601; нет; 210 / 154 при —; 373 при 3250; V-образное; 8; 2;;; 
