;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
45; GMC Yukon I (GMT400)  ; 1996 ; 300 000 ; 280 000 ; 8 января;  ; 5.7 л; 258 л.с.; автомат; бензин; АИ-92; полный;; США; 3; 5; 4775; 1956; 1829; 2832; 3347; 2280; автомат; 4; полный; независимая, пружинная; зависимая, пружинная; дисковые; барабанные;;; АИ-92; переднее, продольное; 5733; нет; 258 / 190 при 4600; 447 при 2800; V-образное; 8; 2; распределенный впрыск (многоточечный);; 
46; GMC Yukon I (GMT400)  ; 1995 ; 500 000 ; 10 000 ; 5 декабря 2017;  ; 5.7 л; 258 л.с.; автомат; бензин; АИ-92; полный;; США; 5; 5; 5070; 1951; 1848; 2985; 3347; 2280; автомат; 4; полный; независимая, пружинная; зависимая, пружинная; дисковые; барабанные;;; АИ-92; переднее, продольное; 5733; нет; 258 / 190 при 4600; 447 при 2800; V-образное; 8; 2; распределенный впрыск (многоточечный);; 
47; GMC Vandura  ; 1983 ; 550 000 ; 39 854 ; 25 ноября 2017;  ; 6.2 л; 135 л.с.; автомат; дизель;; задний;; США; 4; 8; 5136; 2019; 2080; 3175; ;; автомат; 4; задний; независимая, пружинная;; дисковые;;;;;; 6200; нет; 135 / 99 при —; 325 при —; V-образное; 8;;;; 
48; GMC Sierra I (GMT800)  ; 2007 ; 2 000 000 ; 140 000 ; 12 сентября 2017; 5,0; 6.0 л; 323 л.с.; автомат; бензин; АИ-92; полный;; США; 4; 5; 5200; 1994; 1808; 3200; ;; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные;;; АИ-92; переднее, продольное; 5967; нет; 323 / 238 при 5000;; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.4; 101.6 × 92
49; GMC Savana I Рестайлинг  ; 2011 ; 1 900 000 ; 140 000 ; 23 декабря 2017; 5,0; 5.3 л; 301 л.с.; автомат; бензин; АИ-92; полный;; США; 4; 8; 5692; 2012; 2126; 3429; ;; автомат; 4; полный; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; дисковые вентилируемые;;; АИ-92;; 5327; нет; 301 / 221 при 4500; 330 при 4500; V-образное; 8; 2; распределенный впрыск (многоточечный);; 
50; GMC Yukon II (GMT800) XL 1500  ; 2003 ; 750 000 ; 165 000 ; 20 апреля;  ; 5.3 л; 288 л.с.; автомат; бензин; АИ-92; полный; 9.5 с; США; 5; 5, 7; 5570; 2002; 1923; 3302; 1294/3726; 2400; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 156; 9.5; АИ-92; переднее, продольное; 5327; нет; 288 / 212 при 5200; 440 при 4400; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.5; 96 × 92
51; GMC Savana I Рестайлинг  ; 2004 ; 980 000 ; 120 000 ; 2 апреля; 5,0; 4.8 л; 285 л.с.; автомат; бензин;; задний;; США; 4; 8; 5692; 2012; 2126; 3429; ;; автомат; 4; задний; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; дисковые вентилируемые;;;; переднее, продольное; 4807; нет; 285 / 210 при 5400; 400 при 4600; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.2; 96 × 83
52; GMC Vandura  ; 1995 ; 800 000 ; 194 000 ; 8 марта;  ; 5.7 л; 190 л.с.; автомат; бензин;; задний;; США; 4; 8; 5136; 2019; 2080; 3175; ;; автомат; 4; задний; независимая, пружинная;; дисковые;;;;;; 5733; нет; 190 / 140 при 3600; 407 при 2400; V-образное; 8;;;; 
53; GMC Savana I Рестайлинг  ; 2003 ; 700 000 ; 168 000 ; 11 октября 2017; 5,0; 5.3 л; 301 л.с.; автомат; бензин; АИ-92; полный;; США; 4; 8; 5692; 2012; 2126; 3429; ;; автомат; 4; полный; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; дисковые вентилируемые;;; АИ-92;; 5327; нет; 301 / 221 при 4500; 330 при 4500; V-образное; 8; 2; распределенный впрыск (многоточечный);; 
54; GMC Safari II  ; 1995 ; 350 000 ; 200 000 ; 11 ноября 2017;  ; 4.3 л; 192 л.с.; автомат; бензин; АИ-80; полный;; США; 4; 8; 4600; 1800; 1750; 2800; ;; автомат; 4; полный; независимая, пружинная;; дисковые вентилируемые;;;; АИ-80; переднее, продольное; 4300; нет; 192 / 141 при 4400; 339 при 2800; V-образное; 6; 2; распределенный впрыск (многоточечный); 9.2; 101.6 × 88.4
