;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
362; Mercedes-Benz CL-klasse III (C216) 550  ; 2008 ; 1 790 000 ; 86 000 ; 23 апреля; 4,9; 5.5 л; 388 л.с.; автомат; бензин; АИ-98; полный; 4.9 с; Германия; 2; 4; 5065; 1871; 1419; 2955; 490; 1995; автомат; 7; полный; независимая, пневмоэлемент; независимая, гидропневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 250; 4.9; АИ-98; центральное; 5461; нет; 388 / 285 при 6000; 530 при 2800 – 4800; V-образное; 8; 4; распределенный впрыск (многоточечный); 10.7; 98 × 90.5
363; Mercedes-Benz M-klasse II (W164) 320  ; 2008 ; 745 000 ; 190 000 ; 21 апреля; 4,5; 3.0 л; 224 л.с.; автомат; дизель; ДТ; полный; 8.6 с; Германия; 5; 5; 4788; 1910; 1815; 2915; 551/2050; 2185; автомат; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 216; 8.6; ДТ; переднее, продольное; 2987; турбонаддув; 224 / 165 при 3800; 510 при 1600 – 2800; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18; 83 × 92
364; Mercedes-Benz CLA-klasse I (C117, X117) 200  ; 2013 ; 980 000 ; 67 000 ; 23 апреля;  ; 1.6 л; 156 л.с.; робот; бензин; АИ-95; передний; 8.5 с; Германия; 4; 5; 4630; 1777; 1432; 2699; 470; 1430; робот; 7; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 230; 8.5; АИ-95; переднее, поперечное; 1595; турбонаддув; 156 / 115 при 5300; 250 при 1250 – 4000; рядное; 4; 4; непосредственный впрыск (прямой); 10.3; 83 × 73.7
365; Mercedes-Benz Vito III (W447) 119 BlueTEC L2  ; 2016 ; 3 149 000 ; 28 000 ; 23 апреля;  ; 2.1 л; 190 л.с.; автомат; дизель; ДТ; полный;; Германия; 4; 9; 5140; 1928; 1890; 3200; ; 1990; автомат; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; ДТ;; 2143; турбонаддув; 190 / 140 при 3800; 440 при 1400 – 2400; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.2; 88 × 88.3
366; Mercedes-Benz C-klasse III (W204) Рестайлинг 180  ; 2013 ; 1 200 000 ; 114 645 ; 23 апреля; 4,5; 1.6 л; 156 л.с.; автомат; бензин; АИ-95; задний; 8.5 с; Германия; 4; 5; 4591; 1770; 1447; 2760; 475; 1485; автомат; 7; задний; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 223; 8.5; АИ-95; переднее, продольное; 1595; турбонаддув; 156 / 115 при 5300; 250 при 1250 – 4000; рядное; 4; 4; непосредственный впрыск (прямой); 10.3; 83 × 73.7
367; Mercedes-Benz E-klasse III (W211, S211) Рестайлинг 280  ; 2008 ;850 000 ; 188 000 ; 13 декабря 2017; 4,3; 3.0 л; 231 л.с.; автомат; бензин; АИ-95; задний; 7.3 с; Германия; 4; 5; 4852; 1822; 1483; 2854; 540; 1660; автомат; 7; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 248; 7.3; АИ-95; переднее, продольное; 2996; нет; 231 / 170 при 6000; 300 при 2500; V-образное; 6; 4; распределенный впрыск (многоточечный); 11.3; 88 × 82.1
368; Mercedes-Benz V-klasse II 250 BlueTEC  ; 2017 ; 14 900 000 ; 1 ; 23 апреля; 4,3; 2.1 л; 190 л.с.; автомат; дизель; ДТ; полный; 9.1 с; Германия; 5; 6; 5140; 1928; 1880; 3200; 1030; 2180; автомат; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 206; 9.1; ДТ; переднее, поперечное; 2143; турбонаддув; 190 / 140 при 3800; 440 при 1400 – 2400; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 
369; Mercedes-Benz CLA-klasse I (C117, X117) Рестайлинг 200  ; 2016 ; 1 700 000 ; 31 500 ; 23 апреля; 4,6; 1.6 л; 150 л.с.; робот; бензин; АИ-95; передний; 7.9 с; Германия; 4; 5; 4640; 1777; 1432; 2699; 470; 1430; робот; 7; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 230; 7.9; АИ-95; переднее, поперечное; 1595; турбонаддув; 150 / 110 при 5300; 250 при 1250 – 4000; рядное; 4; 4; непосредственный впрыск (прямой); 10.3; 83 × 73.7
370; Mercedes-Benz S-klasse VI (W222, C217) 500  ; 2015 ; 6 599 000 ; 18 000 ; 18 апреля;  ; 4.7 л; 455 л.с.; автомат; бензин; АИ-95; полный; 4.6 с; Германия; 2; 4; 5027; 1899; 1411; 2945; 400; 2090; автомат; 7; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 250; 4.6; АИ-95; переднее, продольное; 4663; турбонаддув; 455 / 335 при 5250 – 5500; 700 при 1800 – 3500; V-образное; 8; 4; непосредственный впрыск (прямой); 10.5; 92.9 × 86
371; Mercedes-Benz E-klasse IV (W212, S212, C207) Рестайлинг 200  ; 2015 ;1 390 000 ; 72 000 ; 23 апреля; 4,4; 2.0 л; 184 л.с.; автомат; бензин; АИ-95; задний; 7.9 с; Германия; 4; 5; 4879; 1854; 1474; 2874; 540; 1655; автомат; 7; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 233; 7.9; АИ-95; переднее, продольное; 1991; турбонаддув; 184 / 135 при 5500; 270 при 1200 – 4000; рядное; 4; 4; непосредственный впрыск (прямой); 9.8; 83 × 92
