;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
119; Land Rover Range Rover III Рестайлинг 2 Supercharged  ; 2010 ; 1 270 000 ; 199 000 ; 20 января; 4,7; 5.0 л; 510 л.с.; автомат; бензин; АИ-98; полный; 6.2 с; Великобритания; 5; 5; 4972; 2034; 1877; 2880; 535/2091; 2590; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 225; 6.2; АИ-98; переднее, продольное; 5000; компрессор; 510 / 375 при 6500; 625 при 2500 – 5500; V-образное; 8; 4; распределенный впрыск (многоточечный); 9.5; 92.5 × 93
120; Land Rover Discovery V  ; 2017 ; 4 238 240 ; Нов; 23 апреля;  ; 3.0 л; 249 л.с.; автомат; дизель; ДТ; полный; 8.1 с; Великобритания; 5; 7; 4970; 2073; 1846; 2923; 1231/2500; 2230; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 209; 8.1; ДТ; переднее, продольное; 2993; турбонаддув; 249 / 183 при 3750; 600 при 1750 – 2250; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.1; 84 × 90
121; Land Rover Range Rover Evoque I Рестайлинг  ; 2017 ; 3 518 346 ; Нов; 23 апреля; 4,4; 2.0 л; 240 л.с.; автомат; бензин; АИ-95; полный; 7.6 с; Великобритания; 5; 5; 4371; 1965; 1660; 2660; 575/1145; 1658; автомат; 9; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 217; 7.6; АИ-95; переднее, поперечное; 1999; турбонаддув; 240 / 177 при 5800; 340 при 1750; рядное; 4; 4; непосредственный впрыск (прямой); 10; 87.5 × 83.1
122; Land Rover Discovery IV  ; 2013 ; 1 875 000 ; 84 763 ; 23 апреля; 4,6; 3.0 л; 211 л.с.; автомат; дизель; ДТ; полный; 10.7 с; Великобритания; 5; 5, 7; 4829; 1915; 1887; 2885; 1260/2558; 2486; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 180; 10.7; ДТ;; 2993; турбонаддув; 211 / 155 при 4000; 520 при 2000; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 
123; Land Rover Discovery Sport  ; 2016 ; 2 375 000 ; 21 953 ; 23 апреля; 3,7; 2.0 л; 180 л.с.; автомат; дизель; ДТ; полный; 8.9 с; Великобритания; 5; 5, 7; 4599; 2069; 1724; 2741; 829; 1775; автомат; 9; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 188; 8.9; ДТ; переднее, поперечное; 1999; турбонаддув; 180 / 132 при 4000; 430 при 1750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 15.5; 83 × 92.35
124; Land Rover Range Rover IV  ; 2016 ; 5 540 000 ; 12 602 ; 23 апреля; 4,1; 3.0 л; 248 л.с.; автомат; дизель; ДТ; полный; 7.9 с; Великобритания; 5; 5; 4999; 2220; 1835; 2922; 909/2030; 2160; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 209; 7.9; ДТ; переднее, продольное; 2993; турбонаддув; 248 / 182 при 4000; 600 при 2000; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.1; 84 × 90
125; Land Rover Range Rover III Рестайлинг 2  ; 2011 ;1 800 000 ; 85 500 ; 11 апреля; 4,7; 4.4 л; 313 л.с.; автомат; дизель; ДТ; полный; 7.8 с; Великобритания; 5; 5; 4972; 2034; 1877; 2880; 535/2091; 2580; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 210; 7.8; ДТ; переднее, поперечное; 4367; турбонаддув; 313 / 230 при 4000; 700 при 1500 – 3000; V-образное; 8; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.5; 84 × 98.5
126; Land Rover Freelander II  ; 2010 ; 734 888 ; 145 176 ; 18 февраля; 4,6; 2.2 л; 160 л.с.; автомат; дизель; ДТ; полный; 11.2 с; Великобритания; 5; 5; 4500; 1910; 1740; 2660; 755/1670; 1805; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 181; 11.2; ДТ; переднее, поперечное; 2179; турбонаддув; 160 / 118 при 4000; 400 при 2000; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.5; 85 × 96
127; Land Rover Range Rover Sport I  ; 2006 ; 720 000 ; 180 000 ; 23 апреля; 4,7; 4.4 л; 299 л.с.; автомат; бензин; АИ-95; полный; 8.9 с; Великобритания; 5; 5; 4790; 1930; 1785; 2745; 960/2015; 2410; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 209; 8.9; АИ-95; переднее, продольное; 4394; нет; 299 / 220 при 5500; 425 при 4000; V-образное; 8; 4; распределенный впрыск (многоточечный); 10.8; 88 × 90.3
128; Land Rover Range Rover Sport II  ; 2015 ; 3 250 000 ; 92 882 ; 23 апреля; 4,1; 3.0 л; 249 л.с.; автомат; дизель; ДТ; полный; 7.6 с; Великобритания; 5; 5, 7; 4850; 1983; 1780; 2923; 489/1761; 2115; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 210; 7.6; ДТ; переднее, продольное; 2993; турбонаддув; 249 / 183 при 4000; 600 при 2400; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.1; 84 × 90
129; Land Rover Discovery III  ; 2005 ; 660 000 ; 203 000 ; 22 марта; 4,6; 2.7 л; 190 л.с.; автомат; дизель; ДТ; полный; 11.7 с; Великобритания; 5; 7; 4835; 1915; 1887; 2885; 280/2558; 2435; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые; дисковые; 180; 11.7; ДТ; переднее, продольное; 2720; турбонаддув; 190 / 140 при 4000; 440 при 1900; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18; 81 × 88
130; Land Rover Discovery V  ; 2017 ; 4 900 000 ; 2 017 ; 22 апреля;  ; 3.0 л; 249 л.с.; автомат; дизель; ДТ; полный; 8.1 с; Великобритания; 5; 7; 4970; 2073; 1846; 2923; 1231/2500; 2230; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 209; 8.1; ДТ; переднее, продольное; 2993; турбонаддув; 249 / 183 при 3750; 600 при 1750 – 2250; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.1; 84 × 90
131; Land Rover Discovery Sport  ; 2015 ; 1 920 000 ; 52 000 ; 23 апреля; 3,7; 2.0 л; 240 л.с.; автомат; бензин; АИ-95; полный; 8.2 с; Великобритания; 5; 5, 7; 4599; 2069; 1724; 2741; 829; 1744; автомат; 9; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 200; 8.2; АИ-95; переднее, поперечное; 1999; турбонаддув; 240 / 177 при 5800; 340 при 1750; рядное; 4; 4; непосредственный впрыск (прямой); 10; 87.5 × 83.1
132; Land Rover Freelander II  ; 2008 ; 540 000 ; 168 000 ; 23 апреля; 4,6; 2.2 л; 160 л.с.; автомат; дизель; ДТ; полный; 11.2 с; Великобритания; 5; 5; 4500; 1910; 1740; 2660; 755/1670; 1805; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 181; 11.2; ДТ; переднее, поперечное; 2179; турбонаддув; 160 / 118 при 4000; 400 при 2000; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.5; 85 × 96
133; Land Rover Discovery IV  ; 2011 ; 1 230 000 ; 142 000 ; 23 апреля; 4,6; 2.7 л; 190 л.с.; механика; дизель; ДТ; полный; 11.7 с; Великобритания; 5; 5, 7; 4829; 1915; 1887; 2885; 1260/2558; 2476; механика; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 180; 11.7; ДТ; переднее, продольное; 2720; турбонаддув; 190 / 140 при 4000; 440 при 1900; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18; 81 × 88
134; Land Rover Discovery IV  ; 2012 ; 2 400 000 ; 61 000 ; 23 апреля; 4,6; 2.7 л; 190 л.с.; автомат; дизель; ДТ; полный; 12.7 с; Великобритания; 5; 5, 7; 4829; 1915; 1887; 2885; 1260/2558; 2486; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 180; 12.7; ДТ; переднее, продольное; 2720; турбонаддув; 190 / 140 при 4000; 440 при 1900; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18; 81 × 88
135; Land Rover Discovery III  ; 2005 ; 630 000 ; 250 000 ; 23 апреля; 4,6; 2.7 л; 190 л.с.; автомат; дизель; ДТ; полный; 11.7 с; Великобритания; 5; 7; 4835; 1915; 1887; 2885; 280/2558; 2435; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые; дисковые; 180; 11.7; ДТ; переднее, продольное; 2720; турбонаддув; 190 / 140 при 4000; 440 при 1900; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18; 81 × 88
136; Land Rover Range Rover Sport I Рестайлинг  ; 2012 ; 2 400 000 ; 63 000 ; 29 марта; 4,5; 3.0 л; 245 л.с.; автомат; дизель; ДТ; полный; 9.3 с; Великобритания; 5; 5; 4783; 2004; 1784; 2745; 960/2015; 2535; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 193; 9.3; ДТ; переднее, продольное; 2993; турбонаддув; 245 / 180 при 4000; 600 при 2000; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16; 84 × 90
137; Land Rover Discovery III  ; 2008 ; 715 000 ; 161 000 ; 23 апреля; 4,6; 2.7 л; 190 л.с.; автомат; дизель; ДТ; полный; 11.7 с; Великобритания; 5; 7; 4835; 1915; 1887; 2885; 280/2558; 2435; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые; дисковые; 180; 11.7; ДТ; переднее, продольное; 2720; турбонаддув; 190 / 140 при 4000; 440 при 1900; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18; 81 × 88
