;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; TATA Telcoline  ; 2005 ; 345 000 ; 40 560 ; 3 марта;  ; 2.0 л; 87 л.с.; механика; дизель; ДТ; полный;; Индия; 4; 5; 4910; 1755; 1810; 3150; ; 1920; механика; 5; полный; независимая, торсионная; зависимая, рессорная; дисковые вентилируемые; барабанные; 123;; ДТ; переднее, продольное; 1948; турбонаддув; 87 / 64 при 4300; 190 при 2000 – 3000; рядное; 4; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 
2; TATA Xenon  ; 2007 ; 360 000 ; 106 000 ; 7 апреля;  ; 2.2 л; 140 л.с.; механика; дизель; ДТ; полный;; Индия; 4; 5; 5125; 1860; 1833; 3150; ; 1950; механика; 5; полный; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; барабанные;;; ДТ; переднее, продольное; 2179; турбонаддув; 140 / 103 при 4000; 320 при 1700 – 2700; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 
