;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
126; Suzuki SX4 I (Classic) Рестайлинг  ; 2010 ; 519 000 ; 70 000 ; 20 апреля; 4,3; 1.6 л; 112 л.с.; автомат; бензин; АИ-95; передний; 12.3 с; Япония; 5; 5; 4150; 1755; 1605; 2500; 270/625; 1155; автомат; 4; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 175; 12.3; АИ-95; переднее, поперечное; 1586; нет; 112 / 82 при 5600; 150 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 78 × 83
127; Suzuki Jimny III Рестайлинг 2  ; 2015 ; 880 000 ; 29 000 ; 23 апреля;  ; 1.3 л; 85 л.с.; автомат; бензин; АИ-95; полный; 17.2 с; Япония; 3; 4; 3695; 1600; 1705; 2250; 113/816; 1074; автомат; 4; полный; зависимая, пружинная; зависимая, пружинная; дисковые; барабанные; 135; 17.2; АИ-95; переднее, продольное; 1328; нет; 85 / 63 при 6000; 110 при 4100; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 78 × 69.5
128; Suzuki Grand Vitara III  ; 2008 ; 540 000 ; 110 000 ; 7 апреля; 4,3; 2.0 л; 140 л.с.; механика; бензин; АИ-95; полный; 12.1 с; Япония; 5; 5; 4470; 1810; 1695; 2640; 399/1300; 1580; механика; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые;; 175; 12.1; АИ-95; переднее, продольное; 1995; нет; 140 / 103 при 6000; 183 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 84 × 90
129; Suzuki Swift III  ; 2008 ; 355 000 ; 107 000 ; 23 апреля; 4,4; 1.5 л; 102 л.с.; автомат; бензин; АИ-95; передний; 11.7 с; Япония; 5; 4, 5; 3760; 1690; 1500; 2380; 185/481; 1020; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 180; 11.7; АИ-95; переднее, поперечное; 1490; нет; 102 / 75 при 5900; 133 при 4100; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 78 × 78
130; Suzuki Grand Vitara III  ; 2005 ; 489 000 ; 134 010 ; 20 апреля; 4,3; 2.0 л; 140 л.с.; автомат; бензин; АИ-95; полный; 12.5 с; Япония; 5; 5; 4470; 1810; 1695; 2640; 399/1300; 1580; автомат; 4; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; барабанные; 175; 12.5; АИ-95; переднее, продольное; 1995; нет; 140 / 103 при 6000; 183 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 84 × 90
131; Suzuki Jimny III Рестайлинг 2  ; 2012 ; 649 000 ; 75 000 ; 20 апреля;  ; 1.3 л; 85 л.с.; автомат; бензин; АИ-95; полный; 17.2 с; Япония; 3; 4; 3695; 1600; 1705; 2250; 113/816; 1074; автомат; 4; полный; зависимая, пружинная; зависимая, пружинная; дисковые; барабанные; 135; 17.2; АИ-95; переднее, продольное; 1328; нет; 85 / 63 при 6000; 110 при 4100; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 78 × 69.5
132; Suzuki Grand Vitara III  ; 2007 ; 495 000 ; 90 000 ; 20 апреля; 4,3; 2.0 л; 140 л.с.; автомат; бензин; АИ-95; полный; 12.5 с; Япония; 5; 5; 4470; 1810; 1695; 2640; 399/1300; 1580; автомат; 4; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; барабанные; 175; 12.5; АИ-95; переднее, продольное; 1995; нет; 140 / 103 при 6000; 183 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 84 × 90
133; Suzuki Baleno I  ; 1999 ; 95 000 ; 200 800 ; 20 апреля;  ; 1.3 л; 85 л.с.; механика; бензин; АИ-95; передний; 12.5 с; Япония; 4; 5; 4225; 1690; 1390; 2480; 340/840; 960; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 165; 12.5; АИ-95; переднее, поперечное; 1299; нет; 85 / 63 при 6000; 103 при 3000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 74 × 75.5
134; Suzuki SX4 I (Classic) Рестайлинг  ; 2012 ; 498 000 ; 118 000 ; 20 апреля; 4,3; 1.6 л; 112 л.с.; механика; бензин; АИ-95; передний; 10.7 с; Япония; 5; 5; 4150; 1755; 1605; 2500; 270/625; 1140; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 185; 10.7; АИ-95; переднее, поперечное; 1586; нет; 112 / 82 при 5600; 150 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 78 × 83
135; Suzuki SX4 I (Classic) Рестайлинг  ; 2011 ; 594 995 ; 28 000 ; 21 апреля; 4,3; 1.6 л; 112 л.с.; автомат; бензин; АИ-95; передний; 12.3 с; Япония; 5; 5; 4150; 1755; 1605; 2500; 270/625; 1155; автомат; 4; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 175; 12.3; АИ-95; переднее, поперечное; 1586; нет; 112 / 82 при 5600; 150 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 78 × 83
136; Suzuki SX4 I (Classic) Рестайлинг  ; 2011 ; 289 000 ; 228 420 ; 20 апреля; 4,3; 1.6 л; 112 л.с.; механика; бензин; АИ-95; передний; 10.7 с; Япония; 4; 5; 4490; 1730; 1545; 2500; 515; 1160; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 10.7; АИ-95; переднее, поперечное; 1586; нет; 112 / 82 при 5600; 150 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 78 × 83
137; Suzuki Grand Vitara III Рестайлинг  ; 2008 ; 469 000 ; 120 000 ; 20 апреля; 4,3; 1.6 л; 106 л.с.; механика; бензин; АИ-95; полный; 14.4 с; Япония; 3; 4; 4060; 1810; 1695; 2440; 184/964; 1405; механика; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 160; 14.4; АИ-95; переднее, продольное; 1586; нет; 106 / 78 при 5900; 145 при 4100; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 78 × 83
138; Suzuki Grand Vitara III  ; 2005 ; 440 000 ; 173 000 ; 20 апреля; 4,3; 2.0 л; 140 л.с.; автомат; бензин; АИ-95; полный; 12.5 с; Япония; 5; 5; 4470; 1810; 1695; 2640; 399/1300; 1580; автомат; 4; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; барабанные; 175; 12.5; АИ-95; переднее, продольное; 1995; нет; 140 / 103 при 6000; 183 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 84 × 90
139; Suzuki Escudo I  ; 1993 ; 130 000 ; 222 000 ; 19 апреля;  ; 1.6 л; 101 л.с.; автомат; бензин; АИ-95; полный;; Япония; 3; 4; 3560; 1635; 1260; 2200; ;; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые;;;; АИ-95; переднее, продольное; 1590; нет; 101 / 74 при 6000; 134 при 3000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 75 × 90
140; Suzuki Grand Vitara III Рестайлинг  ; 2011 ; 749 000 ; 153 597 ; 20 апреля; 4,3; 2.4 л; 169 л.с.; автомат; бензин; АИ-95; полный; 12 с; Япония; 5; 5; 4500; 1810; 1695; 2640; 398/1386; 1567; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 175; 12; АИ-95; переднее, продольное; 2393; нет; 169 / 124 при 6000; 227 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 92 × 90
141; Suzuki Grand Vitara III Рестайлинг  ; 2011 ; 663 300 ; 139 349 ; 20 апреля; 4,3; 2.0 л; 140 л.с.; автомат; бензин; АИ-95; полный; 13.6 с; Япония; 5; 5; 4500; 1810; 1695; 2640; 398/1386; 1548; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 170; 13.6; АИ-95; переднее, продольное; 1995; нет; 140 / 103 при 6000; 183 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 84 × 90
