;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
107; Honda Civic VIII  ; 2007 ; 395 000 ; 120 350 ; 23 апреля; 4,4; 1.8 л; 140 л.с.; автомат; бензин; АИ-95; передний; 10.4 с; Япония; 4; 5; 4545; 1750; 1435; 2700; 375; 1225; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 200; 10.4; АИ-95; переднее, поперечное; 1798; нет; 140 / 103 при 6300; 174 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 87.3
108; Honda Civic V  ; 1996 ; 120 000 ; 274 000 ; 23 апреля; 4,0; 1.6 л; 126 л.с.; механика; бензин; АИ-95; передний; 10 с; Япония; 5; 5; 4315; 1695; 1390; 2620; 380; 1145; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 197; 10; АИ-95; центральное; 1590; нет; 126 / 93 при 6500; 144 при 5200; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 75 × 90
109; Honda CR-V IV  ; 2013 ; 1 100 000 ; 108 000 ; 18 апреля; 4,4; 2.0 л; 150 л.с.; автомат; бензин; АИ-92; полный; 12.8 с; Япония; 5; 5; 4571; 1820; 1685; 2620; 589/1669; 1561; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 182; 12.8; АИ-92; переднее, поперечное; 1997; нет; 150 / 110 при 6500; 190 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.6; 81 × 96.9
110; Honda Fit I  ; 2004 ; 270 000 ; 150 000 ; 24 апреля; 4,4; 1.5 л; 110 л.с.; автомат; бензин; АИ-95; передний;; Япония; 5; 5; 3830; 1675; 1525; 2450; ; 1103; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные;;; АИ-95; переднее, поперечное; 1496; нет; 110 / 81 при 5800; 143 при 4800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.4; 73 × 89.4
111; Honda Pilot I Рестайлинг  ; 2008 ; 829 000 ; 119 400 ; 23 апреля;  ; 3.5 л; 258 л.с.; автомат; бензин; АИ-92; полный; 9.9 с; Япония; 5; 8; 4774; 1969; 1821; 2700; 461/2700; 2050; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 177; 9.9; АИ-92; переднее, поперечное; 3471; нет; 258 / 190 при 5600; 339 при 4500; V-образное; 6; 4; распределенный впрыск (многоточечный); 10; 89 × 93
112; Honda CR-V II Рестайлинг  ; 2005 ; 555 000 ; 174 000 ; 23 апреля; 4,2; 2.0 л; 150 л.с.; автомат; бензин; АИ-95; полный; 10.8 с; Япония; 5; 5; 4635; 1785; 1710; 2630; 527/1568; 1498; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 177; 10.8; АИ-95; переднее, поперечное; 1997; нет; 150 / 110 при 6500; 192 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.8; 86 × 86
113; Honda CR-V III Рестайлинг  ; 2012 ; 1 020 000 ; 119 240 ; 23 апреля; 4,9; 2.0 л; 150 л.с.; автомат; бензин; АИ-95; полный; 12.2 с; Япония; 5; 5; 4574; 1820; 1675; 2620; 442/955; 1534; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 177; 12.2; АИ-95; переднее, поперечное; 1997; нет; 150 / 110 при 6200; 192 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 96.9
114; Honda Jazz II Рестайлинг  ; 2011 ; 500 000 ; 52 300 ; 23 апреля;  ; 1.3 л; 100 л.с.; вариатор; бензин; АИ-95; передний; 12.8 с; Япония; 5; 5; 3900; 1695; 1525; 2500; 335/883; 1079; вариатор;; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 175; 12.8; АИ-95; переднее, поперечное; 1339; нет; 100 / 74 при 6000; 127 при 4800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 73 × 80
115; Honda Pilot II  ; 2008 ; 780 000 ; 152 096 ; 23 апреля; 4,6; 3.5 л; 257 л.с.; автомат; бензин; АИ-92; полный; 9.9 с; Япония; 5; 8; 4870; 1995; 1845; 2780; 510/2464; 2062; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 180; 9.9; АИ-92;; 3471; нет; 257 / 189 при 5700; 347 при 4800; V-образное; 6; 4; распределенный впрыск (многоточечный); 10; 89 × 93
116; Honda CR-V III  ; 2008 ; 685 000 ; 140 000 ; 22 апреля; 4,4; 2.2 л; 140 л.с.; механика; дизель; ДТ; полный; 10.3 с; Япония; 5; 5; 4530; 1820; 1675; 2620; 556/955; 1617; механика; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 185; 10.3; ДТ; переднее, поперечное; 2204; турбонаддув; 140 / 103 при 4000; 340 при 2000; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.7; 85 × 97.1
117; Honda Pilot II Рестайлинг  ; 2012 ; 1 275 000 ; 243 363 ; 22 апреля; 4,7; 3.5 л; 249 л.с.; автомат; бензин; АИ-92; полный; 9.9 с; Япония; 5; 8; 4875; 1995; 1845; 2775; 510/2464; 2062; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 180; 9.9; АИ-92; переднее, поперечное; 3471; нет; 249 / 186 при 5700; 347 при 4800; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.5; 89 × 93
118; Honda CR-V II Рестайлинг  ; 2005 ; 505 000 ; 130 000 ; 23 апреля; 4,2; 2.0 л; 150 л.с.; автомат; бензин; АИ-95; полный; 10.8 с; Япония; 5; 5; 4635; 1785; 1710; 2630; 527/1568; 1498; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 177; 10.8; АИ-95; переднее, поперечное; 1997; нет; 150 / 110 при 6500; 192 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.8; 86 × 86
