;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
135; Kia Sportage III  ; 2011 ; 890 000 ; 117 000 ; 23 апреля; 4,3; 2.0 л; 150 л.с.; автомат; бензин; АИ-95; полный; 11.2 с; Южная Корея; 5; 5; 4440; 1855; 1635; 2640; 564/1353; 1469; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 180; 11.2; АИ-95; переднее, поперечное; 1998; нет; 150 / 110 при 6200; 197 при 4600; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 86 × 86
136; Kia Cee'd II  ; 2014 ; 735 000 ; 52 000 ; 23 апреля; 4,3; 1.6 л; 129 л.с.; автомат; бензин; АИ-95; передний; 11.5 с; Южная Корея; 5; 5; 4310; 1780; 1470; 2650; 380/1318; 1296; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 192; 11.5; АИ-95; переднее, поперечное; 1591; нет; 129 / 95 при 6300; 157 при 4850; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 77 × 85.4
137; Kia Sportage III  ; 2012 ; 847 000 ; 102 873 ; 23 апреля; 4,3; 2.0 л; 136 л.с.; автомат; дизель; ДТ; полный; 12.1 с; Южная Корея; 5; 5; 4440; 1855; 1635; 2640; 564/1353; 1601; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 180; 12.1; ДТ; переднее, поперечное; 1995; турбонаддув; 136 / 100 при 4000; 373 при 2000 – 2500; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.5; 84 × 90
138; Kia Cee'd I  ; 2007 ; 269 000 ; 150 947 ; 23 апреля; 4,3; 1.4 л; 109 л.с.; механика; бензин; АИ-95; передний; 11.6 с; Южная Корея; 5; 5; 4235; 1790; 1480; 2650; 340/1300; 1195; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 187; 11.6; АИ-95; переднее, поперечное; 1396; нет; 109 / 80 при 6200; 137 при 5000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 77 × 75
139; Kia Cee'd II Рестайлинг  ; 2015 ; 629 000 ; 84 000 ; 23 апреля; 4,5; 1.6 л; 130 л.с.; механика; бензин; АИ-95; передний; 10.5 с; Южная Корея; 5; 5; 4310; 1780; 1470; 2650; 380/1318; 1189; механика; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 195; 10.5; АИ-95; переднее, поперечное; 1591; нет; 130 / 96 при 6300; 157 при 4850; рядное; 4; 4; распределенный впрыск (многоточечный);; 77 × 85.4
140; Kia Cerato III  ; 2014 ; 649 000 ; 49 337 ; 23 апреля; 4,2; 1.6 л; 130 л.с.; механика; бензин; АИ-95; передний; 10.1 с; Южная Корея; 4; 5; 4560; 1780; 1445; 2700; 482; 1178; механика; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 200; 10.1; АИ-95; переднее, поперечное; 1591; нет; 130 / 95 при 6300; 157 при 4850; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 77 × 85.4
141; Kia Cee'd II  ; 2013 ; 595 000 ; 77 400 ; 23 апреля; 4,3; 1.6 л; 129 л.с.; механика; бензин; АИ-95; передний; 10.5 с; Южная Корея; 5; 5; 4310; 1780; 1470; 2650; 380/1318; 1263; механика; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 195; 10.5; АИ-95; переднее, поперечное; 1591; нет; 129 / 95 при 6300; 157 при 4850; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 77 × 85.4
142; Kia Rio III  ; 2013 ; 417 000 ; 104 400 ; 23 апреля; 4,1; 1.4 л; 107 л.с.; механика; бензин; АИ-92; передний; 11.5 с; Южная Корея; 4; 5; 4370; 1700; 1470; 2570; 500; 1115; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 190; 11.5; АИ-92; переднее, поперечное; 1396; нет; 107 / 79 при 6300; 135 при 5000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 77 × 74.9
143; Kia Rio I  ; 2001 ; 110 000 ; 200 000 ; 23 апреля;  ; 1.5 л; 98 л.с.; автомат; бензин; АИ-95; передний; 12.2 с; Южная Корея; 4; 5; 4215; 1675; 1440; 2410; 326; 1040; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 170; 12.2; АИ-95; переднее, поперечное; 1493; нет; 98 / 71 при 5500; 132 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 75.5 × 83.4
144; Kia Cee'd I  ; 2008 ; 380 000 ; 130 000 ; 23 апреля; 4,3; 1.6 л; 122 л.с.; автомат; бензин; АИ-95; передний; 11.4 с; Южная Корея; 5; 5; 4235; 1790; 1480; 2650; 340/1300; 1220; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 187; 11.4; АИ-95; переднее, поперечное; 1591; нет; 122 / 90 при 6200; 154 при 5200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 77 × 85.45
145; Kia Sportage IV  ; 2017 ; 1 390 000 ; 4 500 ; 23 апреля; 4,6; 2.0 л; 150 л.с.; автомат; бензин; АИ-95; передний; 11.1 с; Южная Корея; 5; 5; 4480; 1855; 1645; 2670; 491/1492; 1426; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 181; 11.1; АИ-95; переднее, поперечное; 1999; нет; 150 / 110 при 6200; 192 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
146; Kia Sportage III Рестайлинг  ; 2014 ; 899 000 ; 65 000 ; 23 апреля; 4,5; 2.0 л; 150 л.с.; механика; бензин; АИ-95; передний; 10.7 с; Южная Корея; 5; 5; 4440; 1855; 1630; 2640; 564/1353; 1455; механика; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 185; 10.7; АИ-95; переднее, поперечное; 1999; нет; 150 / 110 при 6200; 191 при 4700; рядное; 4; 4; распределенный впрыск (многоточечный);; 
147; Kia Cerato II 6-speed  ; 2012 ; 470 000 ; 115 600 ; 23 апреля; 4,4; 1.6 л; 126 л.с.; механика; бензин; АИ-95; передний; 10.3 с; Южная Корея; 4; 5; 4530; 1775; 1460; 2650; 415; 1236; механика; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 190; 10.3; АИ-95; переднее, поперечное; 1591; нет; 126 / 91 при 6300; 156 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 77 × 85.4
148; Kia Sportage III Рестайлинг  ; 2015 ; 1 099 000 ; 42 867 ; 23 апреля; 4,5; 2.0 л; 150 л.с.; автомат; бензин; АИ-95; передний; 11.5 с; Южная Корея; 5; 5; 4440; 1855; 1630; 2640; 564/1353; 1472; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 176; 11.5; АИ-95; переднее, поперечное; 1999; нет; 150 / 110 при 6200; 191 при 4700; рядное; 4; 4; распределенный впрыск (многоточечный);; 
149; Kia Sportage III  ; 2011 ; 738 000 ; 126 000 ; 23 апреля; 4,3; 2.0 л; 150 л.с.; автомат; бензин; АИ-95; полный; 11.2 с; Южная Корея; 5; 5; 4440; 1855; 1635; 2640; 564/1353; 1469; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 180; 11.2; АИ-95; переднее, поперечное; 1998; нет; 150 / 110 при 6200; 197 при 4600; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 86 × 86
150; Kia Soul I Рестайлинг  ; 2013 ; 520 000 ; 114 000 ; 23 апреля; 4,4; 1.6 л; 129 л.с.; механика; бензин; АИ-95; передний; 10.8 с; Южная Корея; 5; 5; 4120; 1785; 1610; 2550; 340/818; 1270; механика; 6; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 180; 10.8; АИ-95; переднее, поперечное; 1591; нет; 129 / 94 при 6300; 157 при 4850; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 77 × 85.4
