;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Ravon Nexia R3  ; 2018 ; 585 000 ; 3 000 ; 23 апреля; 4,5; 1.5 л; 107 л.с.; автомат; бензин; АИ-92; передний; 11.9 с; Узбекистан; 4; 5; 4330; 1690; 1505; 2480; 220; 1168; автомат; 6; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые;;; 11.9; АИ-92;; 1485; нет; 107 / 79 при 5800; 141 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный);; 
2; Ravon R2  ; 2016 ; 425 000 ; 37 000 ; 21 апреля; 4,3; 1.3 л; 85 л.с.; автомат; бензин; АИ-95; передний; 12.4 с; Узбекистан; 5; 5; 3640; 1597; 1522; 2375; 170; 950; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 161; 12.4; АИ-95; переднее, поперечное; 1249; нет; 85 / 63 при 6400;; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 70.5 × 80
3; Ravon Gentra  ; 2015 ; 420 000 ; 34 000 ; 23 апреля; 3,7; 1.5 л; 107 л.с.; механика; бензин; АИ-95; передний; 11.9 с; Узбекистан; 4; 5; 4515; 1725; 1445; 2600; 405/1225; 1245; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 180; 11.9; АИ-95; переднее, поперечное; 1485; нет; 107 / 79 при 5800; 141 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.2; 74.71 × 84.7
4; Ravon R2  ; 2016 ; 390 000 ; 24 000 ; 21 апреля; 4,3; 1.3 л; 85 л.с.; автомат; бензин; АИ-95; передний; 12.4 с; Узбекистан; 5; 5; 3640; 1597; 1522; 2375; 170; 950; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 161; 12.4; АИ-95; переднее, поперечное; 1249; нет; 85 / 63 при 6400;; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 70.5 × 80
5; Ravon R4  ; 2017 ; 629 000 ; Нов; 23 апреля; 4,6; 1.5 л; 106 л.с.; автомат; бензин; АИ-92; передний; 12.6 с; Узбекистан; 4; 5; 4479; 1735; 1514; 2620; 545; 1243; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 170; 12.6; АИ-92; переднее, поперечное; 1485; нет; 106 / 78 при 5800; 134 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.2; 74.71 × 84.7
6; Ravon R2  ; 2018 ; 485 000 ; Нов; 23 апреля; 4,3; 1.3 л; 85 л.с.; автомат; бензин; АИ-95; передний; 12.4 с; Узбекистан; 5; 5; 3640; 1597; 1522; 2375; 170; 950; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 161; 12.4; АИ-95; переднее, поперечное; 1249; нет; 85 / 63 при 6400;; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 70.5 × 80
7; Ravon Matiz  ; 2015 ; 223 900 ; 24 000 ; 17 апреля;  ; 0.8 л; 52 л.с.; механика; бензин; АИ-92; передний; 17 с; Узбекистан; 5; 5; 3497; 1495; 1485; 2340; 155/480; 770; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 144; 17; АИ-92; переднее, поперечное; 796; нет; 52 / 38 при 5900; 69 при 4600; рядное; 3; 2; распределенный впрыск (многоточечный); 9.3; 68.5 × 72
8; Ravon Matiz  ; 2015 ; 227 000 ; 6 500 ; 16 апреля;  ; 0.8 л; 52 л.с.; механика; бензин; АИ-92; передний; 17 с; Узбекистан; 5; 5; 3497; 1495; 1485; 2340; 155/480; 770; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 144; 17; АИ-92; переднее, поперечное; 796; нет; 52 / 38 при 5900; 69 при 4600; рядное; 3; 2; распределенный впрыск (многоточечный); 9.3; 68.5 × 72
9; Ravon Gentra  ; 2016 ; 399 000 ; 44 000 ; 22 апреля; 3,7; 1.5 л; 107 л.с.; механика; бензин; АИ-95; передний; 11.9 с; Узбекистан; 4; 5; 4515; 1725; 1445; 2600; 405/1225; 1245; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 180; 11.9; АИ-95; переднее, поперечное; 1485; нет; 107 / 79 при 5800; 141 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.2; 74.71 × 84.7
