;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
360; Volkswagen Touareg I Рестайлинг  ; 2008 ; 870 000 ; 101 000 ; 23 апреля; 4,8; 2.5 л; 174 л.с.; автомат; дизель; ДТ; полный; 12.9 с; Германия; 5; 5; 4754; 1928; 1726; 2855; 555/1570; 2229; автомат; 6; полный; независимая, гидропневмоэлемент; независимая, гидропневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 179; 12.9; ДТ; переднее, продольное; 2461; турбонаддув; 174 / 128 при 3500; 400 при 2000; рядное; 5; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18.5; 91 × 95.5
361; Volkswagen Passat B7  ; 2012 ; 880 000 ; 47 500 ; 23 апреля; 4,4; 1.8 л; 152 л.с.; робот; бензин; АИ-95; передний; 8.8 с; Германия; 4; 5; 4769; 1820; 1470; 2712; 565; 1514; робот; 7; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 214; 8.8; АИ-95; переднее, поперечное; 1798; турбонаддув; 152 / 112 при 5000; 250 при 1500 – 4200; рядное; 4; 4; непосредственный впрыск (прямой); 9.6; 82.5 × 84.2
362; Volkswagen Polo V  ; 2012 ; 289 000 ; 120 420 ; 23 апреля; 4,0; 1.6 л; 105 л.с.; механика; бензин; АИ-95; передний; 10.5 с; Германия; 4; 5; 4384; 1699; 1465; 2552; 460; 1159; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 190; 10.5; АИ-95; переднее, поперечное; 1598; нет; 105 / 77 при 5250; 153 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 76.5 × 86.9
363; Volkswagen Caddy III  ; 2005 ; 355 000 ; 270 000 ; 23 апреля; 4,3; 2.0 л; 70 л.с.; механика; дизель; ДТ; передний; 20.5 с; Германия; 5; 5, 7; 4405; 1794; 1833; 2682; 626/1266; 1581; механика; 5; передний; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; дисковые; 142; 20.5; ДТ; переднее, поперечное; 1968; нет; 70 / 51 при 4200; 140 при 2200; рядное; 4; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 19; 81 × 95.5
364; Volkswagen Passat B7  ; 2011 ; 620 000 ; 132 000 ; 23 апреля; 4,4; 1.4 л; 122 л.с.; механика; бензин; АИ-95; передний; 10.3 с; Германия; 4; 5; 4769; 1820; 1470; 2712; 565; 1440; механика; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 203; 10.3; АИ-95; переднее, поперечное; 1390; турбонаддув; 122 / 90 при 5000; 200 при 1500 – 4000; рядное; 4; 4; непосредственный впрыск (прямой); 10; 76.5 × 75.6
365; Volkswagen Passat CC I  ; 2011 ; 600 000 ; 142 000 ; 23 апреля; 4,5; 1.8 л; 152 л.с.; робот; бензин; АИ-95; передний; 8.6 с; Германия; 4; 4; 4799; 1855; 1417; 2711; 532; 1430; робот; 7; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 222; 8.6; АИ-95; переднее, поперечное; 1798; турбонаддув; 152 / 112 при 5000 – 6200; 250 при 1500 – 4200; рядное; 4; 4; непосредственный впрыск (прямой); 9.8; 82.5 × 84.2
366; Volkswagen Multivan T5 Рестайлинг  ; 2013 ; 1 769 000 ; 148 900 ; 23 апреля;  ; 2.0 л; 180 л.с.; робот; дизель; ДТ; полный; 12.1 с; Германия; 4; 5, 7; 4892; 1904; 1970; 3000; 1210/4525; 2200; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 188; 12.1; ДТ; переднее, поперечное; 1968; турбонаддув; 180 / 155 при 4000; 400 при 2000; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 
367; Volkswagen Passat CC I  ; 2011 ;800 000 ; 103 000 ; 23 апреля; 4,5; 1.8 л; 152 л.с.; робот; бензин; АИ-95; передний; 8.6 с; Германия; 4; 4; 4799; 1855; 1417; 2711; 532; 1430; робот; 7; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 222; 8.6; АИ-95; переднее, поперечное; 1798; турбонаддув; 152 / 112 при 5000 – 6200; 250 при 1500 – 4200; рядное; 4; 4; непосредственный впрыск (прямой); 9.8; 82.5 × 84.2
368; Volkswagen Scirocco III  ; 2010 ; 650 000 ; 118 633 ; 23 апреля; 4,5; 1.4 л; 122 л.с.; механика; бензин; АИ-95; передний; 9.7 с; Германия; 3; 4; 4256; 1810; 1404; 2578; 312/1006; 1244; механика; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 200; 9.7; АИ-95; переднее, поперечное; 1390; турбонаддув; 122 / 90 при 5000; 200 при 1500 – 4000; рядное; 4; 4; непосредственный впрыск (прямой); 10; 76.5 × 75.6
369; Volkswagen Multivan T5  ; 2008 ; 930 000 ; 209 000 ; 23 апреля; 4,6; 2.5 л; 174 л.с.; автомат; дизель; ДТ; передний; 12.3 с; Германия; 5; 5, 7; 4890; 1904; 1945; 3000; 1210/4525; 2174; автомат; 6; передний; независимая, пружинная;; дисковые вентилируемые; дисковые; 183; 12.3; ДТ;; 2460; турбонаддув; 174 / 128 при 3500; 400 при 2000; рядное; 5; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18.5; 81 × 95.5
370; Volkswagen Passat CC I Рестайлинг  ; 2012 ; 767 000 ; 94 000 ; 23 апреля; 4,4; 1.8 л; 152 л.с.; робот; бензин; АИ-95; передний; 8.5 с; Германия; 4; 4, 5; 4802; 1885; 1417; 2711; 532; 1513; робот; 7; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 222; 8.5; АИ-95; переднее, поперечное; 1798; турбонаддув; 152 / 112 при 5000 – 6200; 250 при 1500 – 4200; рядное; 4; 4; непосредственный впрыск (прямой);; 
371; Volkswagen Passat B7  ; 2010 ; 419 000 ; 223 720 ; 23 апреля; 4,4; 2.0 л; 140 л.с.; робот; дизель; ДТ; передний; 10 с; Германия; 5; 5; 4771; 1820; 1516; 2712; 603/1731; 1601; робот; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 208; 10; ДТ; переднее, поперечное; 1968; турбонаддув; 140 / 103 при 4200; 320 при 1750; рядное; 4; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18.5; 81 × 95.5
372; Volkswagen Passat B7  ; 2013 ; 729 000 ; 161 704 ; 23 апреля; 4,4; 1.8 л; 152 л.с.; робот; бензин; АИ-95; передний; 8.8 с; Германия; 4; 5; 4769; 1820; 1470; 2712; 565; 1514; робот; 7; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 214; 8.8; АИ-95; переднее, поперечное; 1798; турбонаддув; 152 / 112 при 5000; 250 при 1500 – 4200; рядное; 4; 4; непосредственный впрыск (прямой); 9.6; 82.5 × 84.2
373; Volkswagen Passat B7  ; 2011 ; 649 000 ; 54 868 ; 23 апреля; 4,4; 1.8 л; 152 л.с.; робот; бензин; АИ-95; передний; 8.8 с; Германия; 4; 5; 4769; 1820; 1470; 2712; 565; 1514; робот; 7; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 214; 8.8; АИ-95; переднее, поперечное; 1798; турбонаддув; 152 / 112 при 5000; 250 при 1500 – 4200; рядное; 4; 4; непосредственный впрыск (прямой); 9.6; 82.5 × 84.2
374; Volkswagen Passat B7  ; 2012 ; 685 000 ; 125 000 ; 23 апреля; 4,4; 1.8 л; 152 л.с.; робот; бензин; АИ-95; передний; 8.8 с; Германия; 4; 5; 4769; 1820; 1470; 2712; 565; 1514; робот; 7; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 214; 8.8; АИ-95; переднее, поперечное; 1798; турбонаддув; 152 / 112 при 5000; 250 при 1500 – 4200; рядное; 4; 4; непосредственный впрыск (прямой); 9.6; 82.5 × 84.2
375; Volkswagen Passat B8  ; 2016 ; 1 350 000 ; 14 800 ; 23 апреля; 4,3; 1.4 л; 150 л.с.; робот; бензин; АИ-95; передний; 8.4 с; Германия; 4; 5; 4767; 1832; 1456; 2791; 586/1152; 1413; робот; 7; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 220; 8.4; АИ-95; переднее, поперечное; 1395; турбонаддув; 150 / 110 при 5000 – 6000; 250 при 1500 – 3000; рядное; 4; 4; непосредственный впрыск (прямой);; 
376; Volkswagen Jetta V  ; 2010 ; 450 000 ; 51 000 ; 23 апреля; 4,6; 1.6 л; 102 л.с.; автомат; бензин; АИ-95; передний; 13.3 с; Германия; 4; 5; 4554; 1781; 1459; 2578; 527; 1268; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 183; 13.3; АИ-95; переднее, поперечное; 1595; нет; 102 / 75 при 5700; 148 при 4500; рядное; 4; 2; распределенный впрыск (многоточечный); 10.5; 81 × 77.4
377; Volkswagen Passat CC I Рестайлинг  ; 2012 ;790 000 ; 120 000 ; 13 марта; 4,4; 1.8 л; 152 л.с.; робот; бензин; АИ-95; передний; 8.5 с; Германия; 4; 4, 5; 4802; 1885; 1417; 2711; 532; 1513; робот; 7; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 222; 8.5; АИ-95; переднее, поперечное; 1798; турбонаддув; 152 / 112 при 5000 – 6200; 250 при 1500 – 4200; рядное; 4; 4; непосредственный впрыск (прямой);; 
