;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Porsche Cayenne II Рестайлинг (958) Turbo S  ; 2015 ;5 800 000 ; 30 000 ; 2 апреля;  ; 4.8 л; 570 л.с.; автомат; бензин; АИ-98; полный; 4.1 с; Германия; 5; 5; 4855; 1939; 1705; 2895; 670/1728; 2235; автомат; 8; полный; независимая, пружинная; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 284; 4.1; АИ-98; переднее, продольное; 4806; турбонаддув; 570 / 419 при 6000; 800 при 2500 – 4000; V-образное; 8; 4; непосредственный впрыск (прямой); 10.5; 96 × 83
2; Porsche 718 Boxster S  ; 2016 ; 4 990 000 ; 15 ; 30 июля 2017;  ; 2.5 л; 350 л.с.; робот; бензин; АИ-95; задний; 4.4 с; Германия; 2; 2; 4379; 1801; 1281; 2475; 125/150; 1385; робот; 7; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 285; 4.4; АИ-95; центральное; 2497; турбонаддув; 350 / 257 при 6500; 420 при 1900 – 4500; рядное; 4; 4; непосредственный впрыск (прямой); 9.5; 102 × 76.4
3; Porsche Boxster I (986) Рестайлинг S  ; 2004 ;999 999 ; 45 000 ; 22 апреля;  ; 3.2 л; 260 л.с.; автомат; бензин; АИ-98; задний; 6.4 с; Германия; 2; 2; 4320; 1780; 1290; 2415; 260; 1360; автомат; 5; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 258; 6.4; АИ-98; центральное; 3179; нет; 260 / 191 при 6200; 310 при 4600; оппозитное; 6; 4; распределенный впрыск (многоточечный); 11; 93 × 78
4; Porsche Macan  ; 2016 ;3 200 000 ; 12 067 ; 28 марта; 4,5; 2.0 л; 252 л.с.; робот; бензин; АИ-95; полный; 6.7 с; Германия; 5; 5; 4681; 1923; 1624; 2807; 500; 1845; робот; 7; полный; независимая, пневмоэлемент; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 229; 6.7; АИ-95; переднее, продольное; 1984; турбонаддув; 252 / 185 при 5000 – 6800; 370 при 1600 – 4500; рядное; 4; 4; непосредственный впрыск (прямой); 9.6; 
5; Porsche Cayenne II (958)  ; 2011 ; 1 799 000 ; 45 800 ; 9 февраля; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6; Porsche Cayman I (987) S  ; 2006 ; 1 200 000 ; 87 054 ; 4 июня 2017; 4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7; Porsche 911 VII (991) Carrera 4S  ; 2013 ; 6 799 000 ; 3 919 ; 24 апреля; 4,8; 3.8 л; 400 л.с.; робот; бензин; АИ-98; полный; 4.5 с; Германия; 2; 4; 4491; 1808; 1299; 2450; 135; 1535; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 294; 4.5; АИ-98; заднее; 3800; нет; 400 / 294 при 7400; 440 при 5600; оппозитное; 6; 4; непосредственный впрыск (прямой); 12.5; 102 × 77.5
8; Porsche Cayenne II (958)  ; 2013 ; 3 000 000 ; 40 000 ; 24 апреля; 4,5; 3.6 л; 300 л.с.; автомат; бензин; АИ-98; полный; 7.8 с; Германия; 5; 5; 4846; 1939; 1705; 2895; 670/1780; 2030; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 230; 7.8; АИ-98; переднее, продольное; 3598; нет; 300 / 220 при 6300; 400 при 3000; V-образное; 6; 4; непосредственный впрыск (прямой); 11.7; 89 × 96.4
9; Porsche 911 VII (991) Carrera 4S  ; 2014 ; 6 390 000 ; 10 989 ; 24 апреля; 4,8; 3.8 л; 400 л.с.; робот; бензин; АИ-98; полный; 4.3 с; Германия; 2; 4; 4491; 1808; 1303; 2450; 135; 1465; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 297; 4.3; АИ-98; заднее; 3800; нет; 400 / 294 при 7400; 440 при 5600; оппозитное; 6; 4; непосредственный впрыск (прямой); 12.5; 102 × 77.5
