;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
364; Opel Astra J Рестайлинг  ; 2013 ; 550 000 ; 80 900 ; 23 апреля; 4,5; 1.6 л; 115 л.с.; автомат; бензин; АИ-95; передний; 13.3 с; Германия; 5; 5; 4419; 1814; 1510; 2685; 370/1235; 1340; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 182; 13.3; АИ-95; переднее, поперечное; 1598; нет; 115 / 85 при 6000; 155 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 79 × 81.5
365; Opel Astra J Рестайлинг  ; 2013 ; 510 000 ; 67 248 ; 22 апреля; 4,5; 1.6 л; 115 л.с.; автомат; бензин; АИ-95; передний; 13.3 с; Германия; 4; 5; 4658; 1814; 1500; 2685; 460/1010; 1420; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 185; 13.3; АИ-95; переднее, поперечное; 1598; нет; 115 / 85 при 6000; 155 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 79 × 81.5
366; Opel Astra H Рестайлинг GTC  ; 2010 ; 337 900 ; 175 336 ; 22 апреля; 4,4; 1.6 л; 115 л.с.; механика; бензин; АИ-95; передний; 11.6 с; Германия; 3; 4, 5; 4290; 1804; 1435; 2614; 340/1070; 1180; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 193; 11.6; АИ-95; переднее, поперечное; 1598; нет; 115 / 85 при 6000; 155 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 79 × 81.5
367; Opel Insignia I  ; 2008 ; 470 000 ; 80 000 ; 21 апреля; 4,2; 1.8 л; 140 л.с.; механика; бензин; АИ-95; передний; 11.4 с; Германия; 5; 5; 4830; 1856; 1498; 2737; 530/1465; 1503; механика; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 207; 11.4; АИ-95; переднее, поперечное; 1796; нет; 140 / 103 при 6300; 175 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 80.5 × 88.2
368; Opel Astra J Рестайлинг  ; 2012 ; 487 000 ; 99 298 ; 22 апреля; 4,5; 1.6 л; 115 л.с.; автомат; бензин; АИ-95; передний; 13.3 с; Германия; 4; 5; 4658; 1814; 1500; 2685; 460/1010; 1420; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 185; 13.3; АИ-95; переднее, поперечное; 1598; нет; 115 / 85 при 6000; 155 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 79 × 81.5
369; Opel Corsa D  ; 2008 ; 295 000 ; 69 300 ; 22 апреля; 4,3; 1.4 л; 90 л.с.; автомат; бензин; АИ-95; передний; 14.8 с; Германия; 3; 5; 3999; 1713; 1488; 2511; 285/1050; 1100; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 166; 14.8; АИ-95; переднее, поперечное; 1364; нет; 90 / 66 при 5600; 125 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 73.4 × 82.6
370; Opel Astra H  ; 2007 ; 285 000 ; 115 000 ; 22 апреля; 4,3; 1.8 л; 140 л.с.; механика; бензин; АИ-95; передний; 10.1 с; Германия; 5; 5; 4249; 1753; 1460; 2614; 350/1270; 1200; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 210; 10.1; АИ-95; переднее, поперечное; 1796; нет; 140 / 102 при 6300; 175 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 80.5 × 88.2
371; Opel Astra H Рестайлинг GTC  ; 2010 ;400 000 ; 86 000 ; 23 апреля; 4,4; 1.6 л; 115 л.с.; робот; бензин; АИ-95; передний; 12.6 с; Германия; 3; 4, 5; 4290; 1804; 1435; 2614; 340/1070; 1180; робот; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 194; 12.6; АИ-95; переднее, поперечное; 1598; нет; 115 / 85 при 6000; 155 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 79 × 81.5
372; Opel Astra H Рестайлинг GTC  ; 2010 ; 360 000 ; 134 000 ; 23 апреля; 4,4; 1.6 л; 115 л.с.; робот; бензин; АИ-95; передний; 12.6 с; Германия; 3; 4, 5; 4290; 1804; 1435; 2614; 340/1070; 1180; робот; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 194; 12.6; АИ-95; переднее, поперечное; 1598; нет; 115 / 85 при 6000; 155 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 79 × 81.5
373; Opel Astra J Рестайлинг  ; 2014 ; 490 000 ; 57 000 ; 22 апреля; 4,5; 1.6 л; 115 л.с.; механика; бензин; АИ-95; передний; 11.7 с; Германия; 5; 5; 4419; 1814; 1510; 2685; 370/1235; 1320; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 188; 11.7; АИ-95; переднее, поперечное; 1598; нет; 115 / 85 при 6000; 155 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 79 × 81.5
